76,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,117799,NrInfeasibleMatchings,81784
Time,Value 
660,560
630,560
600,560
570,560
540,560
510,560
480,560
450,560
420,560
390,560
0,640
30,640
60,639
90,639
120,639
150,638
180,638
210,568
240,563
270,561
300,560
330,560
360,560
Final, 560,685

Round,H_team,A_team 
0,1,0
0,2,4
0,3,5
0,6,9
0,7,10
0,8,12
0,11,13
0,15,14
0,16,18
0,17,19
0,20,22
0,21,28
0,23,29
0,24,31
0,25,32
0,26,33
0,27,34
0,30,35
0,36,37
0,39,38
1,14,0
1,1,35
1,2,17
1,3,25
1,7,4
1,8,5
1,6,16
1,11,9
1,15,10
1,20,12
1,21,13
1,23,18
1,24,19
1,22,37
1,26,28
1,27,29
1,30,31
1,36,32
1,33,38
1,39,34
2,5,0
2,26,1
2,6,2
2,3,13
2,14,4
2,7,8
2,9,18
2,10,28
2,11,23
2,33,12
2,15,24
2,22,16
2,30,17
2,19,29
2,20,27
2,21,39
2,36,25
2,31,34
2,32,37
2,35,38
3,0,9
3,37,1
3,10,2
3,4,3
3,5,6
3,33,7
3,13,8
3,39,11
3,12,23
3,29,14
3,22,15
3,28,16
3,34,17
3,18,27
3,38,19
3,24,20
3,25,21
3,31,26
3,32,30
3,35,36
4,0,19
4,38,1
4,13,2
4,12,3
4,4,36
4,5,11
4,39,6
4,24,7
4,16,8
4,37,9
4,29,10
4,34,14
4,25,15
4,17,22
4,18,33
4,31,20
4,32,21
4,23,30
4,35,26
4,28,27
5,38,0
5,1,9
5,2,32
5,3,22
5,16,4
5,36,5
5,6,11
5,26,7
5,8,33
5,17,10
5,12,35
5,13,31
5,18,14
5,39,15
5,27,19
5,23,20
5,24,21
5,25,30
5,29,28
5,37,34
6,27,0
6,1,28
6,2,12
6,3,29
6,9,4
6,14,5
6,6,25
6,7,13
6,8,22
6,30,10
6,11,31
6,15,32
6,16,33
6,17,35
6,36,18
6,19,34
6,20,37
6,21,38
6,23,24
6,26,39
7,0,4
7,1,29
7,2,36
7,19,3
7,15,5
7,6,24
7,7,39
7,8,17
7,9,38
7,10,37
7,11,16
7,21,12
7,27,13
7,14,35
7,30,18
7,20,25
7,22,31
7,26,23
7,28,34
7,33,32
8,0,16
8,14,1
8,35,2
8,33,3
8,4,12
8,5,23
8,20,6
8,22,7
8,9,8
8,10,11
8,34,13
8,18,15
8,37,17
8,19,30
8,21,26
8,28,24
8,38,25
8,31,27
8,29,36
8,32,39
9,0,33
9,13,1
9,16,2
9,35,3
9,4,19
9,5,22
9,10,6
9,18,7
9,25,8
9,34,9
9,28,11
9,12,14
9,29,15
9,17,21
9,39,20
9,31,23
9,24,26
9,32,27
9,37,30
9,38,36
10,34,0
10,1,19
10,2,7
10,3,21
10,4,38
10,39,5
10,17,6
10,8,26
10,13,9
10,16,10
10,24,11
10,12,32
10,23,14
10,15,20
10,25,18
10,27,22
10,30,28
10,29,31
10,36,33
10,37,35
11,7,0
11,1,32
11,2,19
11,3,37
11,8,4
11,9,5
11,6,21
11,20,10
11,11,35
11,12,38
11,15,13
11,17,14
11,16,29
11,26,18
11,23,22
11,24,39
11,25,28
11,27,33
11,30,34
11,36,31
12,0,35
12,10,1
12,2,39
12,3,24
12,4,15
12,5,13
12,6,36
12,7,25
12,8,23
12,9,29
12,11,17
12,19,12
12,14,37
12,20,16
12,22,18
12,21,27
12,30,26
12,31,28
12,38,32
12,33,34
13,0,13
13,34,1
13,28,2
13,20,3
13,4,6
13,5,24
13,14,7
13,21,8
13,9,15
13,10,23
13,11,30
13,18,12
13,31,16
13,33,17
13,19,39
13,22,36
13,37,25
13,38,26
13,35,27
13,32,29
14,0,12
14,18,1
14,29,2
14,32,3
14,13,4
14,34,5
14,14,6
14,37,7
14,15,8
14,35,9
14,10,38
14,22,11
14,26,16
14,31,17
14,19,25
14,21,20
14,39,23
14,27,24
14,28,36
14,33,30
15,36,0
15,1,4
15,2,38
15,17,3
15,12,5
15,15,6
15,27,7
15,8,20
15,25,9
15,39,10
15,11,21
15,13,35
15,16,14
15,18,32
15,28,19
15,26,22
15,23,33
15,24,30
15,34,29
15,37,31
16,17,0
16,1,31
16,2,9
16,3,10
16,23,4
16,7,5
16,6,35
16,8,32
16,11,14
16,12,28
16,16,13
16,15,21
16,20,18
16,36,19
16,39,22
16,24,33
16,25,29
16,26,34
16,27,37
16,30,38
17,29,0
17,1,22
17,5,2
17,3,8
17,4,10
17,6,37
17,7,20
17,9,14
17,12,11
17,13,18
17,16,15
17,17,26
17,19,31
17,23,21
17,36,24
17,25,39
17,30,27
17,32,28
17,35,33
17,38,34
18,0,37
18,33,1
18,14,2
18,9,3
18,4,11
18,5,17
18,32,6
18,7,12
18,10,8
18,13,30
18,19,15
18,21,16
18,18,24
18,35,20
18,22,25
18,28,23
18,29,26
18,38,27
18,31,39
18,34,36
19,0,30
19,5,1
19,33,2
19,38,3
19,4,17
19,29,6
19,9,7
19,18,8
19,10,21
19,19,11
19,12,27
19,13,20
19,14,36
19,28,15
19,32,16
19,22,24
19,34,23
19,31,25
19,37,26
19,35,39
