85,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,8,NrInfeasibleMatchings,129153
Time,Value 
270,599
240,599
210,599
180,599
150,599
120,599
90,599
60,600
30,600
0,600
Final, 599,286

Round,H_team,A_team 
0,19,0
0,21,1
0,22,2
0,23,3
0,24,4
0,25,5
0,26,6
0,27,7
0,28,8
0,29,9
0,30,10
0,31,11
0,32,12
0,33,13
0,34,14
0,35,15
0,36,16
0,37,17
0,38,18
0,39,20
1,21,0
1,19,1
1,23,2
1,22,3
1,25,4
1,24,5
1,27,6
1,26,7
1,29,8
1,28,9
1,31,10
1,30,11
1,33,12
1,32,13
1,35,14
1,34,15
1,37,16
1,36,17
1,39,18
1,38,20
2,0,22
2,1,23
2,2,19
2,3,21
2,4,26
2,5,27
2,6,24
2,7,25
2,8,30
2,9,31
2,10,28
2,11,29
2,12,34
2,13,35
2,14,32
2,15,33
2,16,38
2,17,39
2,18,36
2,20,37
3,23,0
3,22,1
3,21,2
3,19,3
3,27,4
3,26,5
3,25,6
3,24,7
3,31,8
3,30,9
3,29,10
3,28,11
3,35,12
3,34,13
3,33,14
3,32,15
3,39,16
3,38,17
3,37,18
3,36,20
4,39,0
4,37,1
4,36,2
4,38,3
4,19,4
4,21,5
4,22,6
4,23,7
4,32,8
4,33,9
4,34,10
4,35,11
4,28,12
4,29,13
4,30,14
4,31,15
4,24,16
4,25,17
4,26,18
4,27,20
5,0,36
5,1,38
5,2,37
5,3,39
5,4,21
5,5,19
5,6,23
5,7,22
5,8,27
5,9,32
5,10,35
5,11,34
5,12,29
5,13,28
5,14,31
5,15,30
5,16,26
5,17,24
5,18,25
5,20,33
6,0,37
6,1,39
6,2,38
6,3,27
6,4,22
6,5,23
6,6,19
6,7,21
6,8,33
6,9,34
6,10,32
6,11,36
6,12,30
6,13,31
6,14,28
6,15,29
6,16,35
6,17,26
6,18,24
6,20,25
7,0,38
7,1,25
7,2,26
7,3,37
7,4,23
7,5,22
7,6,21
7,7,39
7,8,34
7,9,27
7,10,33
7,11,32
7,12,31
7,13,30
7,14,29
7,15,36
7,16,28
7,17,19
7,18,35
7,20,24
8,24,0
8,26,1
8,25,2
8,28,3
8,29,4
8,30,5
8,31,6
8,19,7
8,21,8
8,22,9
8,23,10
8,27,11
8,36,12
8,37,13
8,38,14
8,39,15
8,32,16
8,33,17
8,34,18
8,35,20
9,25,0
9,24,1
9,35,2
9,26,3
9,28,4
9,29,5
9,30,6
9,31,7
9,19,8
9,21,9
9,22,10
9,23,11
9,37,12
9,36,13
9,39,14
9,38,15
9,33,16
9,32,17
9,27,18
9,34,20
10,0,35
10,1,27
10,2,24
10,3,25
10,4,39
10,5,28
10,6,29
10,7,32
10,8,22
10,9,19
10,10,21
10,11,33
10,12,23
10,13,38
10,14,36
10,15,37
10,16,31
10,17,34
10,18,30
10,20,26
11,0,26
11,1,36
11,2,27
11,3,24
11,4,38
11,5,31
11,6,32
11,7,29
11,8,23
11,9,25
11,10,19
11,11,21
11,12,22
11,13,39
11,14,37
11,15,28
11,16,34
11,17,35
11,18,33
11,20,30
12,0,27
12,1,35
12,2,39
12,3,36
12,4,31
12,5,37
12,6,33
12,7,34
12,8,38
12,9,23
12,10,25
12,11,19
12,12,21
12,13,22
12,14,26
12,15,24
12,16,30
12,17,28
12,18,32
12,20,29
13,30,0
13,29,1
13,33,2
13,31,3
13,36,4
13,38,5
13,34,6
13,35,7
13,39,8
13,26,9
13,37,10
13,22,11
13,19,12
13,24,13
13,23,14
13,25,15
13,27,16
13,21,17
13,28,18
13,32,20
14,0,34
14,1,30
14,2,29
14,3,32
14,4,33
14,5,39
14,6,35
14,7,36
14,8,24
14,9,37
14,10,26
14,11,38
14,12,27
14,13,25
14,14,21
14,15,22
14,16,23
14,17,31
14,18,19
14,20,28
15,0,28
15,1,34
15,2,30
15,3,35
15,4,32
15,5,33
15,6,36
15,7,37
15,8,25
15,9,39
15,10,27
15,11,26
15,12,38
15,13,19
15,14,24
15,15,21
15,16,29
15,17,23
15,18,31
15,20,22
16,29,0
16,28,1
16,34,2
16,30,3
16,35,4
16,32,5
16,38,6
16,33,7
16,37,8
16,24,9
16,36,10
16,25,11
16,39,12
16,26,13
16,22,14
16,23,15
16,16,19
16,27,17
16,21,18
16,31,20
17,33,0
17,32,1
17,31,2
17,29,3
17,37,4
17,34,5
17,28,6
17,38,7
17,36,8
17,35,9
17,24,10
17,39,11
17,25,12
17,27,13
17,19,14
17,26,15
17,22,16
17,30,17
17,23,18
17,21,20
18,32,0
18,31,1
18,28,2
18,33,3
18,34,4
18,35,5
18,39,6
18,30,7
18,26,8
18,36,9
18,38,10
18,37,11
18,24,12
18,21,13
18,27,14
18,19,15
18,25,16
18,22,17
18,29,18
18,23,20
19,0,31
19,1,33
19,2,32
19,3,34
19,4,30
19,5,36
19,6,37
19,7,28
19,8,35
19,9,38
19,10,39
19,11,24
19,12,26
19,13,23
19,14,25
19,15,27
19,20,16
19,17,29
19,18,22
19,19,21
