38,MiaoAlgo,I_CON40_30,1,100
NrSuccesfullMatchings,81328,NrInfeasibleMatchings,190478
Time,Value 
1320,815
1290,815
1260,815
1230,815
1200,815
1170,815
1140,815
1110,815
1080,815
1050,815
1020,815
990,815
960,815
930,815
900,815
870,816
360,822
330,822
300,826
270,827
240,827
210,829
180,833
150,838
120,842
90,846
60,851
30,861
0,986
390,820
420,819
450,818
480,818
510,818
540,818
570,818
600,817
630,817
660,817
690,817
720,817
750,817
780,817
810,817
840,817
Final, 815,1350

Round,H_team,A_team 
0,0,1
0,3,2
0,6,4
0,8,5
0,9,7
0,11,10
0,12,15
0,13,16
0,14,17
0,20,18
0,21,19
0,22,23
0,24,25
0,26,27
0,28,29
0,31,30
0,32,33
0,34,35
0,38,36
0,39,37
1,0,37
1,4,1
1,6,2
1,3,28
1,9,5
1,8,7
1,12,10
1,11,15
1,13,17
1,14,16
1,21,18
1,20,19
1,22,25
1,24,23
1,26,29
1,31,27
1,32,30
1,34,33
1,38,35
1,39,36
2,15,0
2,13,1
2,14,2
2,8,3
2,4,33
2,20,5
2,6,30
2,21,7
2,9,34
2,22,10
2,11,38
2,12,28
2,24,16
2,17,35
2,26,18
2,31,19
2,23,36
2,32,25
2,27,37
2,39,29
3,35,0
3,1,3
3,2,4
3,5,21
3,33,6
3,7,20
3,15,8
3,23,9
3,10,24
3,27,11
3,17,12
3,30,13
3,28,14
3,16,22
3,18,31
3,19,26
3,25,39
3,29,32
3,36,34
3,37,38
4,36,0
4,1,12
4,2,8
4,33,3
4,35,4
4,5,6
4,7,22
4,27,9
4,10,21
4,23,11
4,28,13
4,15,14
4,16,26
4,17,20
4,18,24
4,19,32
4,25,31
4,29,38
4,30,39
4,37,34
5,0,4
5,1,9
5,2,11
5,3,12
5,5,13
5,38,6
5,7,14
5,35,8
5,10,20
5,30,15
5,16,21
5,24,17
5,18,22
5,19,39
5,33,23
5,25,26
5,36,27
5,37,28
5,29,31
5,34,32
6,0,29
6,23,1
6,39,2
6,3,36
6,4,37
6,11,5
6,6,24
6,12,7
6,8,10
6,9,15
6,13,18
6,14,19
6,20,16
6,21,17
6,22,27
6,34,25
6,26,28
6,38,30
6,31,33
6,32,35
7,28,0
7,6,1
7,9,2
7,3,37
7,4,36
7,12,5
7,11,7
7,8,24
7,13,10
7,14,18
7,20,15
7,31,16
7,22,17
7,34,19
7,21,25
7,23,29
7,26,30
7,32,27
7,38,33
7,39,35
8,27,0
8,14,1
8,20,2
8,13,3
8,21,4
8,22,5
8,6,35
8,26,7
8,8,18
8,9,38
8,31,10
8,11,34
8,12,39
8,15,33
8,23,16
8,17,37
8,28,19
8,24,32
8,25,30
8,29,36
9,2,0
9,1,38
9,35,3
9,5,4
9,37,6
9,7,31
9,16,8
9,17,9
9,10,26
9,24,11
9,25,12
9,15,13
9,29,14
9,18,23
9,19,22
9,27,20
9,28,21
9,30,34
9,36,32
9,33,39
10,0,39
10,1,34
10,2,13
10,4,3
10,5,38
10,7,6
10,19,8
10,25,9
10,10,23
10,29,11
10,27,12
10,36,14
10,15,21
10,16,28
10,17,26
10,18,32
10,37,20
10,30,22
10,33,24
10,35,31
11,0,17
11,1,15
11,2,12
11,3,9
11,4,29
11,5,14
11,10,6
11,7,23
11,36,8
11,16,11
11,19,13
11,18,25
11,35,20
11,30,21
11,32,22
11,37,24
11,33,26
11,38,27
11,39,28
11,34,31
12,0,5
12,31,1
12,23,2
12,3,7
12,4,15
12,6,36
12,8,30
12,9,10
12,11,17
12,12,16
12,13,24
12,14,25
12,34,18
12,38,19
12,20,28
12,21,33
12,22,29
12,26,35
12,39,27
12,32,37
13,24,0
13,20,1
13,21,2
13,11,3
13,12,4
13,26,5
13,6,19
13,13,7
13,8,33
13,9,39
13,14,10
13,22,15
13,32,16
13,34,17
13,38,18
13,23,31
13,25,35
13,27,30
13,28,36
13,29,37
14,7,0
14,25,1
14,24,2
14,21,3
14,23,4
14,27,5
14,20,6
14,8,37
14,9,13
14,28,10
14,11,32
14,12,34
14,14,38
14,15,35
14,16,30
14,17,33
14,29,18
14,19,36
14,22,31
14,26,39
15,30,0
15,1,39
15,2,34
15,16,3
15,7,4
15,5,32
15,18,6
15,17,8
15,37,9
15,10,38
15,19,11
15,29,12
15,33,13
15,24,14
15,15,26
15,25,20
15,27,21
15,28,22
15,35,23
15,36,31
16,0,34
16,1,32
16,2,22
16,3,6
16,4,38
16,5,28
16,7,25
16,39,8
16,16,9
16,10,27
16,18,11
16,19,12
16,35,13
16,37,14
16,15,24
16,17,23
16,30,20
16,31,21
16,36,26
16,33,29
17,0,16
17,1,29
17,2,27
17,3,14
17,4,8
17,5,15
17,6,9
17,39,7
17,10,17
17,30,11
17,18,12
17,13,20
17,33,19
17,32,21
17,34,22
17,37,23
17,35,24
17,36,25
17,31,26
17,38,28
18,0,10
18,8,1
18,38,2
18,3,19
18,4,16
18,39,5
18,6,15
18,32,7
18,9,18
18,11,25
18,12,24
18,13,36
18,14,30
18,31,17
18,20,29
18,21,35
18,22,33
18,23,27
18,26,37
18,34,28
19,26,0
19,21,1
19,29,2
19,22,3
19,14,4
19,34,5
19,11,6
19,16,7
19,8,31
19,9,30
19,32,10
19,12,38
19,13,39
19,25,15
19,27,17
19,18,37
19,23,19
19,20,33
19,24,36
19,28,35
20,19,0
20,17,1
20,25,2
20,26,3
20,28,4
20,29,5
20,27,6
20,7,10
20,22,8
20,12,9
20,11,33
20,23,13
20,14,31
20,15,36
20,16,37
20,18,39
20,20,32
20,21,34
20,24,38
20,30,35
21,18,0
21,1,26
21,2,31
21,5,3
21,10,4
