47,MiaoAlgo,I_CON40_30,1,100
NrSuccesfullMatchings,122330,NrInfeasibleMatchings,196736
Time,Value 
1590,816
1560,816
1530,816
1500,816
1470,816
1440,816
1410,816
1380,816
1350,816
1320,816
1290,816
1260,816
1230,816
1200,816
1170,817
1140,817
1110,817
1080,817
1050,817
1020,817
990,817
960,817
930,817
900,817
870,817
360,827
330,827
300,829
270,831
240,833
210,835
180,839
150,841
120,841
90,844
60,852
30,864
0,1011
390,826
420,825
450,825
480,825
510,824
540,823
570,822
600,822
630,820
660,820
690,820
720,820
750,819
780,818
810,818
840,817
Final, 816,1612

Round,H_team,A_team 
0,0,2
0,1,7
0,3,9
0,4,10
0,5,11
0,6,12
0,8,13
0,15,14
0,16,22
0,17,23
0,18,26
0,19,29
0,20,31
0,21,32
0,24,33
0,25,34
0,27,35
0,28,36
0,30,37
0,39,38
1,0,7
1,1,2
1,3,10
1,4,9
1,5,12
1,6,11
1,8,14
1,15,13
1,16,23
1,17,22
1,18,29
1,19,26
1,20,32
1,21,31
1,24,34
1,25,33
1,27,36
1,28,35
1,30,38
1,39,37
2,0,38
2,1,9
2,29,2
2,4,3
2,5,7
2,6,10
2,8,11
2,15,12
2,16,13
2,17,14
2,18,22
2,19,23
2,20,26
2,21,33
2,24,31
2,25,32
2,27,34
2,28,37
2,30,35
2,39,36
3,9,0
3,38,1
3,2,3
3,29,4
3,10,5
3,7,6
3,12,8
3,11,15
3,13,17
3,14,16
3,23,18
3,22,19
3,33,20
3,26,21
3,32,24
3,31,25
3,37,27
3,34,28
3,36,30
3,35,39
4,37,0
4,36,1
4,2,4
4,38,3
4,9,5
4,13,6
4,7,8
4,10,30
4,11,16
4,12,17
4,14,18
4,22,15
4,31,19
4,23,20
4,34,21
4,26,24
4,35,25
4,32,27
4,33,28
4,29,39
5,31,0
5,10,1
5,2,39
5,3,29
5,7,4
5,37,5
5,9,6
5,22,8
5,11,17
5,12,16
5,13,18
5,14,19
5,23,15
5,34,20
5,35,21
5,36,24
5,26,25
5,38,27
5,32,28
5,33,30
6,0,10
6,1,11
6,5,2
6,3,37
6,4,12
6,6,14
6,39,7
6,8,9
6,19,13
6,15,26
6,16,29
6,17,31
6,18,32
6,20,22
6,21,23
6,24,35
6,25,36
6,27,33
6,28,38
6,30,34
7,0,33
7,1,12
7,6,2
7,3,7
7,4,13
7,5,14
7,8,10
7,39,9
7,27,11
7,15,36
7,16,26
7,17,29
7,18,31
7,19,34
7,20,35
7,21,22
7,28,23
7,24,38
7,25,37
7,30,32
8,26,0
8,1,32
8,17,2
8,15,3
8,4,16
8,5,13
8,6,25
8,7,33
8,8,39
8,18,9
8,19,10
8,20,11
8,21,12
8,24,14
8,27,22
8,30,23
8,28,31
8,29,34
8,36,35
8,38,37
9,35,0
9,37,1
9,2,7
9,34,3
9,32,4
9,29,5
9,36,6
9,38,8
9,9,19
9,10,18
9,11,21
9,12,20
9,13,28
9,14,27
9,39,15
9,33,16
9,26,17
9,22,24
9,23,25
9,31,30
10,34,0
10,33,1
10,2,16
10,35,3
