70,MiaoAlgo,I_CON40_30,1,100
NrSuccesfullMatchings,97984,NrInfeasibleMatchings,181259
Time,Value 
1500,815
1470,815
1440,815
1410,815
1380,815
1350,815
1320,815
1290,815
1260,815
1230,815
1200,815
1170,815
1140,815
1110,815
1080,815
1050,815
1020,815
990,816
960,816
930,817
900,818
870,818
360,827
330,829
300,829
270,830
240,835
210,836
180,837
150,838
120,839
90,843
60,850
30,862
0,1001
390,826
420,825
450,823
480,823
510,821
540,821
570,821
600,821
630,821
660,821
690,820
720,820
750,820
780,820
810,820
840,818
Final, 815,1516

Round,H_team,A_team 
0,3,0
0,6,1
0,7,2
0,9,4
0,10,5
0,11,8
0,12,17
0,13,18
0,14,19
0,15,21
0,16,22
0,20,23
0,28,24
0,29,25
0,30,26
0,33,27
0,34,31
0,35,32
0,36,38
0,37,39
1,17,0
1,7,1
1,9,2
1,3,39
1,10,4
1,11,5
1,6,33
1,12,8
1,13,19
1,14,18
1,15,22
1,16,21
1,20,24
1,28,23
1,30,25
1,29,26
1,34,27
1,35,31
1,36,32
1,37,38
2,21,0
2,17,1
2,11,2
2,3,38
2,12,4
2,13,5
2,6,29
2,7,15
2,14,8
2,9,32
2,10,33
2,16,18
2,20,19
2,22,39
2,30,23
2,34,24
2,28,25
2,35,26
2,36,27
2,37,31
3,0,33
3,1,10
3,2,12
3,32,3
3,4,11
3,5,14
3,39,6
3,22,7
3,8,13
3,21,9
3,17,15
3,19,16
3,18,20
3,23,34
3,24,30
3,25,35
3,26,28
3,27,37
3,38,29
3,31,36
4,0,15
4,1,9
4,2,10
4,31,3
4,4,13
4,5,12
4,22,6
4,21,7
4,8,16
4,18,11
4,23,14
4,38,17
4,19,28
4,25,20
4,24,35
4,26,34
4,27,30
4,39,29
4,32,37
4,33,36
5,0,22
5,1,21
5,2,17
5,25,3
5,4,7
5,5,9
5,31,6
5,8,10
5,15,11
5,18,12
5,38,13
5,24,14
5,23,16
5,19,30
5,26,20
5,27,28
5,29,35
5,32,34
5,33,37
5,39,36
6,6,0
6,3,1
6,13,2
6,14,4
6,37,5
6,7,39
6,9,8
6,10,17
6,11,19
6,12,21
6,15,18
6,16,24
6,20,22
6,29,23
6,33,25
6,36,26
6,35,27
6,28,31
6,30,32
6,34,38
7,36,0
7,11,1
7,14,2
7,17,3
7,15,4
7,16,5
7,6,32
7,7,33
7,20,8
7,9,27
7,10,18
7,12,19
7,13,21
7,28,22
7,35,23
7,29,24
7,25,38
7,37,26
7,30,31
7,34,39
8,8,0
8,30,1
8,25,2
8,16,3
8,17,4
8,6,5
8,28,7
8,9,15
8,10,29
8,11,34
8,12,35
8,13,36
8,14,37
8,18,26
8,19,27
8,20,33
8,21,31
8,22,32
8,23,38
8,24,39
9,0,37
9,1,36
9,2,3
9,4,34
9,5,15
9,26,6
9,32,7
9,8,28
9,19,9
9,24,10
9,17,11
9,22,12
9,23,13
9,21,14
9,25,16
9,18,30
9,27,20
9,31,29
9,39,33
9,38,35
10,0,7
10,1,8
10,2,36
10,3,13
10,4,37
10,5,17
10,38,6
10,18,9
10,19,10
10,24,11
10,23,12
10,15,14
10,31,16
10,21,20
10,22,30
10,26,25
10,27,29
10,32,28
10,33,34
10,39,35
11,0,18
11,1,12
11,2,8
11,3,6
11,4,20
11,5,28
11,7,11
11,38,9
11,15,10
11,26,13
11,27,14
11,34,16
11,31,17
11,32,19
11,33,21
11,35,22
11,36,23
11,37,24
11,39,25
11,29,30
12,35,0
12,37,1
12,21,2
12,3,8
12,36,4
12,34,5
12,6,15
12,17,7
12,9,39
12,10,26
12,11,22
12,12,24
12,13,27
12,14,25
12,16,32
12,28,18
12,29,19
12,20,31
12,33,23
12,30,38
13,0,38
13,13,1
13,16,2
13,21,3
13,8,4
13,20,5
13,6,23
13,9,7
13,10,27
13,11,33
13,12,15
