73,MiaoAlgo,I_CON40_30,1,100
NrSuccesfullMatchings,111683,NrInfeasibleMatchings,163911
Time,Value 
1350,816
1320,816
1290,816
1260,816
1230,816
1200,816
1170,816
1140,816
1110,816
1080,816
1050,816
1020,816
990,816
960,816
930,816
900,816
870,817
360,824
330,825
300,827
270,828
240,833
210,837
180,837
150,838
120,839
90,844
60,848
30,856
0,990
390,824
420,823
450,822
480,822
510,821
540,821
570,820
600,820
630,819
660,819
690,819
720,819
750,817
780,817
810,817
840,817
Final, 816,1368

Round,H_team,A_team 
0,1,0
0,4,2
0,6,3
0,7,5
0,8,10
0,9,18
0,11,19
0,12,20
0,13,24
0,14,26
0,15,29
0,16,31
0,17,32
0,21,33
0,22,34
0,23,35
0,25,36
0,27,37
0,28,38
0,30,39
1,4,0
1,1,2
1,7,3
1,6,5
1,8,18
1,9,10
1,11,20
1,12,19
1,13,26
1,14,24
1,15,31
1,16,29
1,17,33
1,21,32
1,22,35
1,23,34
1,25,37
1,27,36
1,28,39
1,30,38
2,18,0
2,1,36
2,14,2
2,15,3
2,13,4
2,16,5
2,8,6
2,11,7
2,12,9
2,17,10
2,21,19
2,22,20
2,23,24
2,25,29
2,26,37
2,27,31
2,28,33
2,30,35
2,32,38
2,34,39
3,0,6
3,35,1
3,2,8
3,3,14
3,37,4
3,5,17
3,38,7
3,39,9
3,10,16
3,32,11
3,34,12
3,18,13
3,26,15
3,19,22
3,20,21
3,29,23
3,24,25
3,33,27
3,31,28
3,36,30
4,0,9
4,37,1
4,2,15
4,3,13
4,36,4
4,5,8
4,38,6
4,39,7
4,10,21
4,34,11
4,32,12
4,18,14
4,26,16
4,19,17
4,20,23
4,24,22
4,31,25
4,29,27
4,35,28
4,33,30
5,0,34
5,38,1
5,2,11
5,3,18
5,4,12
5,5,13
5,6,14
5,7,15
5,36,8
5,9,16
5,10,22
5,20,17
5,19,23
5,24,21
5,33,25
5,39,26
5,35,27
5,29,28
5,37,30
5,31,32
6,7,0
6,1,39
6,18,2
6,30,3
6,8,4
6,9,5
6,6,35
6,11,10
6,12,24
6,13,19
6,14,20
6,15,32
6,16,33
6,17,26
6,21,29
6,22,31
6,23,36
6,25,34
6,27,38
6,28,37
7,26,0
7,18,1
7,12,2
7,9,3
7,14,4
7,15,5
7,30,6
7,7,37
7,8,38
7,13,10
7,11,35
7,16,19
7,17,29
7,25,20
7,21,31
7,22,32
7,23,33
7,24,39
7,27,34
7,28,36
8,32,0
8,16,1
8,22,2
8,23,3
8,18,4
8,27,5
8,11,6
8,25,7
8,8,33
8,17,9
8,28,10
8,12,13
8,21,14
8,15,20
8,30,19
8,24,29
8,26,31
8,34,35
8,37,36
8,38,39
9,0,13
9,3,1
9,2,6
9,4,23
9,5,25
9,36,7
9,20,8
9,31,9
9,10,30
9,29,11
9,26,12
9,33,14
9,34,15
9,32,16
9,38,17
9,35,18
9,19,28
9,37,21
9,39,22
9,24,27
10,0,10
10,1,17
10,2,21
10,3,22
10,4,25
10,5,30
10,6,27
10,20,7
10,39,8
10,29,9
10,28,11
10,37,12
10,31,13
10,19,14
10,38,15
10,34,16
10,33,18
10,32,23
10,35,24
10,36,26
11,0,24
11,1,10
11,2,16
11,3,17
11,4,15
11,5,21
11,6,22
11,7,23
11,19,8
11,9,25
11,39,11
11,28,12
11,13,27
11,14,30
11,20,18
11,29,26
11,31,34
11,33,32
11,35,37
11,36,38
12,8,0
12,1,19
12,10,2
12,11,3
12,28,4
12,18,5
12,6,36
12,12,7
12,9,38
12,13,20
12,14,29
12,15,24
12,16,35
12,17,31
12,21,26
12,22,33
12,23,37
12,25,32
12,27,39
12,30,34
13,33,0
13,14,1
13,17,2
13,10,3
13,21,4
