88,MiaoAlgo,I_CON40_30,1,100
NrSuccesfullMatchings,80881,NrInfeasibleMatchings,205629
Time,Value 
1440,816
1410,816
1380,816
1350,816
1320,816
1290,816
1260,816
1230,816
1200,816
1170,816
1140,816
1110,816
1080,816
1050,816
1020,816
990,817
960,817
930,817
900,817
870,817
360,823
330,824
300,824
270,827
240,829
210,830
180,833
150,834
120,835
90,839
60,850
30,866
0,993
390,822
420,820
450,820
480,820
510,820
540,820
570,820
600,820
630,820
660,820
690,820
720,820
750,820
780,819
810,818
840,817
Final, 816,1454

Round,H_team,A_team 
0,1,0
0,2,15
0,3,16
0,4,19
0,5,20
0,6,21
0,7,23
0,8,24
0,9,25
0,10,26
0,11,27
0,12,28
0,13,29
0,14,31
0,17,32
0,18,35
0,22,36
0,30,37
0,33,38
0,34,39
1,15,0
1,3,1
1,2,39
1,4,16
1,5,19
1,6,20
1,7,21
1,8,23
1,9,24
1,10,25
1,11,26
1,12,27
1,13,28
1,14,29
1,17,31
1,18,32
1,22,35
1,30,36
1,33,37
1,34,38
2,26,0
2,15,1
2,5,2
2,3,38
2,4,30
2,6,37
2,7,16
2,8,19
2,9,20
2,10,21
2,11,23
2,12,24
2,13,25
2,14,27
2,17,28
2,18,31
2,22,32
2,29,39
2,33,35
2,34,36
3,0,2
3,39,1
3,36,3
3,15,4
3,29,5
3,26,6
3,19,7
3,16,8
3,21,9
3,20,10
3,24,11
3,23,12
3,27,13
3,25,14
3,35,17
3,28,18
3,31,22
3,38,30
3,32,33
3,37,34
4,0,30
4,1,4
4,37,2
4,35,3
4,26,5
4,29,6
4,20,7
4,21,8
4,16,9
4,19,10
4,25,11
4,31,12
4,23,13
4,24,14
4,38,15
4,27,17
4,36,18
4,28,22
4,32,34
4,39,33
5,0,29
5,1,5
5,2,4
5,39,3
5,16,6
5,24,7
5,20,8
5,19,9
5,23,10
5,21,11
5,25,12
5,30,13
5,28,14
5,27,15
5,36,17
5,38,18
5,37,22
5,32,26
5,31,33
5,35,34
6,33,0
6,1,35
6,2,19
6,3,32
6,4,20
6,5,36
6,6,23
6,7,25
6,8,26
6,9,27
6,10,24
6,11,28
6,12,21
6,13,31
6,14,30
6,29,15
6,34,16
6,17,37
6,18,39
6,22,38
7,21,0
7,29,1
7,2,38
7,3,6
7,4,35
7,5,23
7,7,27
7,8,25
7,9,26
7,10,16
7,11,19
7,12,20
7,13,24
7,14,32
7,15,36
7,17,30
7,18,37
7,22,39
7,33,28
7,34,31
8,19,0
8,21,1
8,29,2
8,13,3
8,17,4
8,11,5
8,14,6
8,7,36
8,8,30
8,12,9
8,10,31
8,15,35
8,18,16
8,22,20
8,33,23
8,34,24
8,25,27
8,26,37
8,28,38
8,32,39
9,0,3
9,38,1
9,24,2
9,31,4
9,35,5
9,6,11
9,30,7
9,28,8
9,36,9
9,32,10
9,19,12
9,26,13
9,21,14
9,39,15
9,16,17
9,25,18
9,20,33
9,23,22
9,27,34
9,37,29
10,0,18
10,1,11
10,23,2
10,30,3
10,39,4
10,37,5
10,6,15
10,31,7
10,32,8
10,35,9
10,27,10
10,16,12
10,19,13
10,26,14
10,20,17
10,36,21
10,25,22
10,24,33
10,28,34
10,38,29
11,0,25
11,1,10
11,2,11
11,3,15
11,4,13
11,5,14
11,6,8
11,39,7
11,9,17
11,38,12
11,16,22
11,20,18
11,24,19
11,30,21
11,23,34
11,31,26
11,27,33
11,36,28
11,35,29
11,37,32
12,34,0
12,1,37
12,2,36
12,3,19
12,4,38
12,5,39
12,22,6
12,7,26
12,8,27
12,9,23
12,10,28
12,11,20
12,12,30
12,13,32
12,14,35
12,15,16
12,17,24
12,18,21
12,33,25
12,29,31
13,32,0
13,34,1
13,7,2
13,29,3
13,4,37
13,5,31
13,9,6
13,8,39
13,10,30
13,11,16
13,12,26
13,13,20
13,14,23
13,15,28
13,17,25
13,18,24
13,19,35
13,21,38
13,22,27
13,33,36
14,20,0
14,19,1
14,34,2
14,22,3
14,29,4
14,13,5
14,33,6
14,7,38
14,17,8
14,18,9
14,14,10
14,11,35
14,12,37
14,15,24
14,21,16
14,23,30
14,25,31
14,26,36
14,32,27
14,28,39
15,0,4
15,36,1
15,16,2
15,27,3
15,38,5
15,6,17
15,28,7
15,31,8
15,39,9
15,35,10
15,30,11
15,32,12
15,21,13
15,20,14
15,37,15
15,23,18
15,19,33
15,26,22
15,24,29
15,25,34
16,0,5
16,1,14
16,2,13
16,3,34
16,27,4
16,6,12
16,37,7
16,35,8
16,30,9
16,39,10
16,36,11
16,20,15
16,16,33
16,23,17
16,26,18
16,25,19
16,31,21
16,24,22
16,28,29
16,38,32
17,0,7
17,1,32
17,2,14
17,3,17
17,4,18
17,5,15
17,38,6
17,8,13
17,9,34
17,10,33
17,22,11
17,39,12
17,16,19
17,24,20
17,27,21
17,31,23
17,30,25
17,35,26
17,37,28
17,36,29
18,13,0
18,22,1
18,2,25
18,3,24
18,4,23
18,6,5
18,7,32
18,8,38
18,9,28
18,10,36
18,11,31
18,12,35
18,14,39
18,15,19
18,29,16
18,17,26
18,18,27
18,20,37
18,34,21
18,33,30
19,8,0
19,12,1
19,32,2
19,9,3
19,4,26
19,10,5
19,6,24
19,7,34
19,11,37
19,13,35
19,14,36
19,15,31
19,16,39
19,17,38
19,18,30
19,19,27
19,20,23
19,21,28
19,22,33
19,29,25
20,28,0
20,16,1
20,21,2
20,20,3
20,32,4
20,24,5
20,6,35
20,18,7
20,14,8
20,11,9
20,17,10
20,12,34
20,13,22
20,15,30
20,19,31
20,23,39
20,25,36
20,26,38
20,27,37
20,29,33
21,0,17
21,1,18
21,30,2
21,3,14
21,24,4
21,5,34
21,25,6
21,35,7
21,37,8
21,31,9
21,38,10
21,32,11
21,36,12
21,16,13
21,23,15
21,28,19
21,39,20
21,21,22
21,26,33
21,27,29
22,0,9
22,1,8
22,2,12
22,3,7
22,36,4
22,5,18
22,31,6
22,37,10
22,34,11
22,38,13
22,33,14
22,25,15
22,35,16
22,39,17
22,23,19
22,27,20
22,24,21
22,30,22
22,26,29
22,28,32
23,0,11
23,1,28
23,2,17
23,3,18
23,4,14
23,5,16
23,39,6
23,7,15
23,8,29
23,9,32
23,10,13
23,22,12
23,38,19
23,30,20
23,33,21
23,35,23
23,31,24
23,37,25
23,34,26
23,36,27
24,6,0
24,33,1
24,2,35
24,12,3
24,11,4
24,17,5
24,7,22
24,8,36
24,9,38
24,15,10
24,13,37
24,14,16
24,18,34
24,19,39
24,20,25
24,21,26
24,23,27
24,24,30
24,28,31
24,29,32
25,12,0
25,17,1
25,18,2
25,11,3
25,9,4
25,32,5
25,6,19
25,14,7
25,15,8
25,22,10
25,13,33
25,16,36
25,20,31
25,21,37
25,23,25
25,24,35
25,26,39
25,27,38
25,28,30
25,29,34
26,16,0
26,25,1
26,22,2
26,23,3
26,21,4
26,28,5
26,6,34
26,13,7
26,12,8
26,15,9
26,18,10
26,11,38
26,14,37
26,17,33
26,26,19
26,20,36
26,24,39
26,27,31
26,29,30
26,32,35
27,0,22
27,1,7
27,31,2
27,3,33
27,4,12
27,5,8
27,30,6
27,37,9
27,10,29
27,39,11
27,36,13
27,38,14
27,32,15
27,16,20
27,34,17
27,19,18
27,25,21
27,26,23
27,27,24
27,35,28
28,0,27
28,1,13
28,2,9
28,3,28
28,4,22
28,5,12
28,36,6
28,7,17
28,8,18
28,10,11
28,34,14
28,33,15
28,38,16
28,19,29
28,35,20
28,39,21
28,37,23
28,25,24
28,30,26
28,31,32
29,0,23
29,1,26
29,2,27
29,37,3
29,4,28
29,5,22
29,7,6
29,8,11
29,9,29
29,10,12
29,34,13
29,19,14
29,15,17
29,31,16
29,33,18
29,38,20
29,35,21
29,36,24
29,39,25
29,30,32
