98,MiaoAlgo,I_CON40_30,1,100
NrSuccesfullMatchings,87467,NrInfeasibleMatchings,236991
Time,Value 
1470,814
1440,814
1410,814
1380,814
1350,814
1320,814
1290,814
1260,814
1230,814
1200,814
1170,814
1140,814
1110,814
1080,814
1050,815
1020,815
990,815
960,815
930,815
900,815
870,815
360,821
330,822
300,822
270,825
240,826
210,828
180,832
150,836
120,840
90,845
60,848
30,859
0,984
390,820
420,820
450,820
480,820
510,820
540,820
570,819
600,817
630,817
660,817
690,815
720,815
750,815
780,815
810,815
840,815
Final, 814,1490

Round,H_team,A_team 
0,4,0
0,5,1
0,6,2
0,8,3
0,9,7
0,10,12
0,11,18
0,13,25
0,14,26
0,15,29
0,16,30
0,17,31
0,19,32
0,20,33
0,21,34
0,22,35
0,23,36
0,24,37
0,27,38
0,28,39
1,5,0
1,4,1
1,8,2
1,6,3
1,10,7
1,9,12
1,11,25
1,13,18
1,14,29
1,15,26
1,16,31
1,17,30
1,19,33
1,20,32
1,21,35
1,22,34
1,23,37
1,24,36
1,27,39
1,28,38
2,12,0
2,13,1
2,14,2
2,15,3
2,4,37
2,11,5
2,9,6
2,16,7
2,10,8
2,17,18
2,19,25
2,20,26
2,21,29
2,22,30
2,23,31
2,24,33
2,27,35
2,28,36
2,32,38
2,34,39
3,0,6
3,1,12
3,2,15
3,3,14
3,39,4
3,5,13
3,7,17
3,37,8
3,38,9
3,34,10
3,32,11
3,18,16
3,26,19
3,25,20
3,30,21
3,29,22
3,33,23
3,31,24
3,36,27
3,35,28
4,0,8
4,1,14
4,2,12
4,3,16
4,36,4
4,5,9
4,39,6
4,7,15
4,32,10
4,34,11
4,38,13
4,25,17
4,18,19
4,29,20
4,26,21
4,31,22
4,30,23
4,35,24
4,33,27
4,37,28
5,0,32
5,1,10
5,2,11
5,3,12
5,38,4
5,5,28
5,6,14
5,7,19
5,8,15
5,39,9
5,35,13
5,25,16
5,26,17
5,18,20
5,31,21
5,33,22
5,29,23
5,30,24
5,37,27
5,36,34
6,28,0
6,27,1
6,10,2
6,11,3
6,4,7
6,12,5
6,6,37
6,8,39
6,9,35
6,13,26
6,14,18
6,15,25
6,16,29
6,17,32
6,19,30
6,20,31
6,21,33
6,22,36
6,23,34
6,24,38
7,25,0
7,11,1
7,13,2
7,9,3
7,12,4
7,27,5
7,6,38
7,14,7
7,8,36
7,10,39
7,15,18
7,16,26
7,17,29
7,19,31
7,20,30
7,21,32
7,22,37
7,23,35
7,24,34
7,28,33
8,34,0
8,25,1
8,21,2
8,22,3
8,17,4
8,14,5
8,28,6
8,23,7
8,19,8
8,15,9
8,16,10
8,11,12
8,13,33
8,24,18
8,20,35
8,27,26
8,29,36
8,30,37
8,31,38
8,32,39
9,0,22
9,1,20
9,2,24
9,3,23
9,33,4
9,5,16
9,35,6
9,7,12
9,38,8
9,37,9
9,36,10
9,39,11
9,30,13
9,31,14
9,32,15
9,34,17
9,18,27
9,29,19
9,25,21
9,26,28
10,0,9
10,1,28
10,2,20
10,3,21
10,4,22
10,5,17
10,36,6
10,7,27
10,35,8
10,37,10
10,26,11
10,39,12
10,31,13
10,30,14
10,33,15
10,32,16
10,18,23
10,34,19
10,29,24
10,38,25
11,0,29
11,1,32
11,2,17
11,3,13
11,4,27
11,5,19
11,6,15
11,7,20
11,8,21
11,9,22
11,10,23
11,35,11
11,12,34
11,33,14
11,39,16
11,18,28
11,26,24
11,36,25
11,38,30
11,37,31
12,10,0
12,6,1
12,28,2
12,17,3
12,4,5
12,8,7
12,9,36
12,11,29
12,12,37
12,13,32
12,14,25
12,15,30
12,16,33
12,21,18
12,19,35
12,20,34
12,22,26
12,23,38
12,24,39
12,27,31
13,30,0
13,17,1
13,19,2
13,20,3
13,11,4
13,15,5
13,12,6
13,21,7
13,24,8
13,14,9
13,10,33
13,13,39
13,16,35
13,22,18
13,23,26
13,25,37
13,27,34
13,28,31
13,29,38
13,32,36
14,0,35
14,34,1
14,25,2
14,30,3
14,23,4
14,20,5
14,29,6
14,32,7
14,27,8
14,28,9
14,24,10
14,17,11
14,16,12
14,19,13
14,21,14
14,22,15
14,18,36
14,26,37
14,31,39
14,33,38
15,0,21
15,1,8
15,2,9
15,3,19
15,35,4
15,5,24
15,26,6
15,7,13
15,38,10
15,37,11
15,18,12
15,39,14
15,31,15
15,34,16
15,33,17
15,36,20
15,25,22
15,32,23
15,29,27
15,30,28
16,0,23
16,1,19
16,2,32
16,3,24
16,4,20
16,5,21
16,6,17
16,7,30
16,8,12
16,9,27
16,18,10
16,31,11
16,37,13
16,35,14
16,39,15
16,36,16
16,38,22
16,26,25
16,34,28
16,33,29
17,38,0
17,1,16
17,2,22
17,3,27
17,4,19
17,5,23
17,6,20
17,7,24
17,8,17
17,9,21
17,10,28
17,11,30
17,12,31
17,13,29
17,14,32
17,15,34
17,35,18
17,39,25
17,36,26
17,37,33
18,18,0
18,9,1
18,16,2
18,28,3
18,13,4
18,22,5
18,19,6
18,11,7
18,8,31
18,10,26
18,12,33
18,14,34
18,15,35
18,17,36
18,20,37
18,21,38
18,23,25
18,24,32
18,27,30
18,29,39
19,26,0
19,18,1
19,23,2
19,25,3
19,24,4
19,29,5
19,21,6
19,28,7
19,22,8
19,16,9
19,27,10
19,19,11
19,12,13
19,14,37
19,15,36
19,17,39
19,20,38
19,30,31
19,32,34
