2,MiaoAlgo,I_GAL40_10,1,100
NrSuccesfullMatchings,149637,NrInfeasibleMatchings,0
Time,Value 
360,29879
330,29879
300,29879
270,29879
240,29879
210,29879
180,29879
150,29879
120,29976
90,30118
60,30233
30,30438
0,32696
Final, 29879,376

Round,H_team,A_team 
0,0,8
0,1,4
0,2,9
0,3,5
0,25,6
0,7,23
0,11,10
0,18,12
0,13,22
0,26,14
0,15,20
0,21,16
0,30,17
0,37,19
0,29,24
0,31,27
0,36,28
0,32,35
0,39,33
0,34,38
1,0,1
1,16,2
1,35,3
1,8,4
1,5,7
1,24,6
1,9,12
1,23,10
1,11,15
1,27,13
1,29,14
1,21,17
1,22,18
1,36,19
1,33,20
1,34,25
1,31,26
1,39,28
1,37,30
1,32,38
2,4,0
2,6,1
2,8,2
2,38,3
2,5,15
2,7,32
2,14,9
2,19,10
2,23,11
2,12,17
2,31,13
2,16,39
2,18,29
2,20,22
2,21,30
2,25,24
2,27,26
2,28,37
2,33,36
2,35,34
3,22,0
3,24,1
3,12,2
3,34,3
3,4,6
3,23,5
3,27,7
3,17,8
3,30,9
3,10,15
3,33,11
3,26,13
3,14,18
3,28,16
3,19,39
3,20,21
3,29,25
3,32,31
3,38,35
3,36,37
4,18,0
4,1,8
4,2,4
4,3,27
4,11,5
4,7,6
4,29,9
4,10,28
4,20,12
4,13,23
4,17,14
4,15,33
4,16,19
4,21,37
4,30,22
4,26,24
4,25,38
4,35,31
4,32,34
4,39,36
5,0,2
5,1,25
5,3,32
5,7,4
5,10,5
5,6,8
5,9,17
5,16,11
5,12,29
5,13,33
5,14,22
5,15,27
5,18,30
5,19,28
5,39,20
5,36,21
5,23,35
5,31,24
5,34,26
5,37,38
6,0,25
6,1,3
6,2,10
6,4,34
6,5,6
6,7,31
6,8,16
6,18,9
6,19,11
6,12,22
6,13,15
6,14,30
6,17,29
6,37,20
6,39,21
6,23,28
6,27,24
6,26,32
6,33,35
6,36,38
7,0,10
7,9,1
7,2,18
7,3,7
7,4,16
7,5,31
7,6,34
7,8,36
7,11,13
7,12,14
7,22,15
7,24,17
7,19,35
7,28,20
7,33,21
7,38,23
7,26,25
7,27,32
7,29,30
7,37,39
8,9,0
8,17,1
8,2,14
8,3,31
8,4,5
8,6,16
8,15,7
8,8,19
8,10,13
8,11,36
8,21,12
8,20,18
8,22,29
8,32,23
8,24,34
8,25,37
8,38,26
8,35,27
8,28,33
8,30,39
9,14,0
9,1,2
9,15,3
9,9,4
9,5,8
9,6,19
9,13,7
9,10,36
9,20,11
9,30,12
9,16,33
9,17,18
9,28,21
9,22,39
9,34,23
9,24,37
9,25,32
9,35,26
9,38,27
9,31,29
