31,MiaoAlgo,I_GAL40_10,1,100
NrSuccesfullMatchings,118660,NrInfeasibleMatchings,0
Time,Value 
300,30020
270,30020
240,30020
210,30020
180,30020
150,30020
120,30020
90,30020
60,30020
30,30213
0,34451
Final, 30020,303

Round,H_team,A_team 
0,5,0
0,9,1
0,17,2
0,7,3
0,6,4
0,16,8
0,10,33
0,11,23
0,30,12
0,13,15
0,14,18
0,19,28
0,22,20
0,21,39
0,25,24
0,29,26
0,27,31
0,32,35
0,38,34
0,36,37
1,0,1
1,18,2
1,31,3
1,24,4
1,23,5
1,25,6
1,13,7
1,21,8
1,9,14
1,20,10
1,33,11
1,29,12
1,22,15
1,28,16
1,30,17
1,36,19
1,26,27
1,38,32
1,35,34
1,39,37
2,0,21
2,1,2
2,3,13
2,4,25
2,5,16
2,6,24
2,7,27
2,8,36
2,9,18
2,10,23
2,11,28
2,12,22
2,17,14
2,20,15
2,37,19
2,31,26
2,29,30
2,32,34
2,33,39
2,35,38
3,2,0
3,1,21
3,3,27
3,4,36
3,5,38
3,8,6
3,7,32
3,12,9
3,10,28
3,11,39
3,13,20
3,14,29
3,15,23
3,19,16
3,17,24
3,18,30
3,22,31
3,34,25
3,35,26
3,33,37
4,6,0
4,5,1
4,2,21
4,3,32
4,8,4
4,7,20
4,9,29
4,10,39
4,11,37
4,12,17
4,13,23
4,14,31
4,15,28
4,16,36
4,18,22
4,19,33
4,30,24
4,38,25
4,34,26
4,27,35
5,0,3
5,4,1
5,20,2
5,6,5
5,38,7
5,25,8
5,26,9
5,15,10
5,36,11
5,14,12
5,22,13
5,39,16
5,21,17
5,29,18
5,23,19
5,24,34
5,32,27
5,28,33
5,37,30
5,31,35
6,0,15
6,6,1
6,2,10
6,4,3
6,5,19
6,35,7
6,24,8
6,31,9
6,21,11
6,12,13
6,22,14
6,37,16
6,20,17
6,26,18
6,33,23
6,32,25
6,38,27
6,39,28
6,29,34
6,36,30
7,7,0
7,1,15
7,2,12
7,3,6
7,4,5
7,34,8
7,27,9
7,10,19
7,16,11
7,14,13
7,17,22
7,31,18
7,20,33
7,21,30
7,23,39
7,24,29
7,35,25
7,32,26
7,28,36
7,37,38
8,13,0
8,1,3
8,2,7
8,16,4
8,8,5
8,27,6
8,9,22
8,11,10
8,12,20
8,30,14
8,15,33
8,18,17
8,19,32
8,36,21
8,23,35
8,26,24
8,25,29
8,28,37
8,34,31
8,39,38
9,0,20
9,1,7
9,3,2
9,19,4
9,34,5
9,26,6
9,8,29
9,17,9
9,16,10
9,15,11
9,18,12
9,27,13
9,24,14
9,37,21
9,30,22
9,23,32
9,25,31
9,28,38
9,33,35
9,39,36
