36,MiaoAlgo,I_GAL40_10,1,100
NrSuccesfullMatchings,130243,NrInfeasibleMatchings,0
Time,Value 
330,29051
300,29051
270,29051
240,29051
210,29051
180,29051
150,29051
120,29051
90,29051
60,29231
30,30759
0,32980
Final, 29051,347

Round,H_team,A_team 
0,8,0
0,4,1
0,21,2
0,3,7
0,6,5
0,17,9
0,11,10
0,18,12
0,13,22
0,30,14
0,15,20
0,19,16
0,33,23
0,24,29
0,25,26
0,27,31
0,28,39
0,35,32
0,38,34
0,37,36
1,0,3
1,1,6
1,2,7
1,8,4
1,19,5
1,9,12
1,10,23
1,11,16
1,13,15
1,29,14
1,30,17
1,22,18
1,20,21
1,24,26
1,34,25
1,35,27
1,33,28
1,32,31
1,36,39
1,38,37
2,2,0
2,8,1
2,13,3
2,4,9
2,5,11
2,6,25
2,7,31
2,10,20
2,14,12
2,15,22
2,16,21
2,18,17
2,19,23
2,34,24
2,26,29
2,32,27
2,28,37
2,36,30
2,39,33
2,38,35
3,1,0
3,2,20
3,15,3
3,4,6
3,5,8
3,27,7
3,9,14
3,10,19
3,23,11
3,12,17
3,31,13
3,39,16
3,29,18
3,21,22
3,25,24
3,26,32
3,28,38
3,37,30
3,36,33
3,34,35
4,0,15
4,1,2
4,3,20
4,4,25
4,5,10
4,6,8
4,35,7
4,9,18
4,11,19
4,22,12
4,27,13
4,17,14
4,33,16
4,21,30
4,23,38
4,24,32
4,26,31
4,28,36
4,29,34
4,39,37
5,0,5
5,9,1
5,2,15
5,6,3
5,12,4
5,7,13
5,8,10
5,11,38
5,14,18
5,16,36
5,24,17
5,19,28
5,20,22
5,21,39
5,35,23
5,25,32
5,27,26
5,30,29
5,31,34
5,33,37
6,0,9
6,14,1
6,2,22
6,8,3
6,18,4
6,13,5
6,6,10
6,7,15
6,11,33
6,30,12
6,16,37
6,29,17
6,19,36
6,20,39
6,28,21
6,32,23
6,24,27
6,38,25
6,26,34
6,31,35
7,21,0
7,1,7
7,12,2
7,3,5
7,17,4
7,34,6
7,16,8
7,9,24
7,10,33
7,36,11
7,13,20
7,22,14
7,15,39
7,18,30
7,37,19
7,23,28
7,25,27
7,26,35
7,29,31
7,38,32
8,4,0
8,1,13
8,18,2
8,3,9
8,5,16
8,32,6
8,7,26
8,17,8
8,10,28
8,37,11
8,12,29
8,14,24
8,23,15
8,39,19
8,20,33
8,36,21
8,22,30
8,25,35
8,34,27
8,31,38
9,0,13
9,17,1
9,14,2
9,3,26
9,5,4
9,35,6
9,7,9
9,12,8
9,15,10
9,39,11
9,16,28
9,20,18
9,33,19
9,37,21
9,22,29
9,23,36
9,30,24
9,31,25
9,27,38
9,32,34
