43,MiaoAlgo,I_GAL40_10,1,100
NrSuccesfullMatchings,106464,NrInfeasibleMatchings,0
Time,Value 
270,30491
240,30491
210,30491
180,30491
150,30491
120,30491
90,30491
60,30491
30,30491
0,32762
Final, 30491,276

Round,H_team,A_team 
0,2,0
0,6,1
0,3,7
0,8,4
0,19,5
0,17,9
0,11,10
0,21,12
0,20,13
0,30,14
0,23,15
0,28,16
0,22,18
0,25,24
0,29,26
0,27,31
0,32,35
0,39,33
0,34,38
0,37,36
1,0,7
1,4,1
1,9,2
1,3,5
1,6,8
1,10,19
1,23,11
1,12,22
1,13,15
1,14,17
1,37,16
1,18,30
1,20,21
1,29,24
1,34,25
1,26,31
1,35,27
1,33,28
1,32,38
1,39,36
2,1,0
2,2,18
2,26,3
2,16,4
2,7,5
2,25,6
2,8,9
2,28,10
2,11,19
2,17,12
2,27,13
2,24,14
2,20,15
2,36,21
2,22,30
2,33,23
2,31,29
2,34,32
2,38,35
2,39,37
3,0,18
3,7,1
3,8,2
3,32,3
3,25,4
3,5,11
3,24,6
3,9,12
3,10,20
3,31,13
3,29,14
3,15,22
3,16,36
3,30,17
3,23,19
3,37,21
3,26,27
3,28,39
3,38,33
3,35,34
4,0,22
4,1,11
4,2,20
4,38,3
4,6,4
4,5,8
4,7,13
4,9,18
4,15,10
4,14,12
4,19,16
4,24,17
4,21,39
4,32,23
4,25,26
4,27,34
4,28,37
4,30,29
4,31,35
4,33,36
5,0,11
5,1,8
5,17,2
5,3,15
5,4,19
5,6,5
5,27,7
5,30,9
5,13,10
5,12,20
5,18,14
5,21,16
5,22,31
5,35,23
5,34,24
5,29,25
5,26,32
5,36,28
5,33,37
5,39,38
6,3,0
6,25,1
6,12,2
6,5,4
6,6,34
6,7,15
6,8,19
6,29,9
6,10,39
6,11,13
6,22,14
6,33,16
6,17,18
6,20,31
6,21,28
6,23,37
6,24,30
6,35,26
6,27,32
6,36,38
7,5,0
7,24,1
7,2,21
7,13,3
7,4,34
7,9,6
7,7,32
7,8,28
7,10,33
7,16,11
7,18,12
7,14,27
7,15,31
7,17,29
7,19,36
7,20,22
7,23,39
7,35,25
7,26,30
7,37,38
8,4,0
8,1,2
8,3,35
8,5,34
8,14,6
8,10,7
8,16,8
8,9,24
8,11,33
8,12,29
8,13,22
8,15,21
8,37,17
8,18,27
8,19,39
8,36,20
8,28,23
8,32,25
8,38,26
8,31,30
9,0,10
9,1,3
9,2,5
9,4,24
9,12,6
9,11,7
9,21,8
9,14,9
9,13,35
9,15,33
9,16,23
9,36,17
9,18,29
9,19,28
9,39,20
9,22,27
9,38,25
9,34,26
9,30,37
9,31,32
