56,MiaoAlgo,I_GAL40_10,1,100
NrSuccesfullMatchings,103591,NrInfeasibleMatchings,0
Time,Value 
240,33153
210,33153
180,33153
150,33153
120,33153
90,33153
60,33153
30,33153
0,35229
Final, 33153,256

Round,H_team,A_team 
0,0,2
0,6,1
0,32,3
0,8,4
0,34,5
0,31,7
0,26,9
0,33,10
0,23,11
0,21,12
0,27,13
0,29,14
0,35,15
0,28,16
0,30,17
0,22,18
0,38,19
0,39,20
0,25,24
0,36,37
1,9,0
1,4,1
1,18,2
1,3,35
1,19,5
1,6,38
1,7,32
1,8,25
1,10,23
1,11,33
1,12,22
1,13,31
1,14,27
1,15,20
1,16,36
1,17,21
1,24,34
1,29,26
1,28,39
1,30,37
2,0,5
2,1,32
2,2,23
2,3,31
2,4,38
2,6,25
2,7,35
2,8,36
2,9,21
2,10,11
2,12,30
2,13,20
2,14,22
2,15,33
2,16,39
2,17,37
2,18,27
2,19,28
2,24,26
2,29,34
3,0,32
3,1,2
3,3,38
3,4,25
3,5,6
3,7,23
3,16,8
3,9,22
3,10,28
3,11,35
3,12,27
3,15,13
3,14,21
3,17,34
3,18,30
3,19,36
3,20,33
3,24,29
3,26,31
3,37,39
4,22,0
4,5,1
4,2,3
4,34,4
4,35,6
4,27,7
4,28,8
4,30,9
4,39,10
4,11,15
4,20,12
4,33,13
4,31,14
4,37,16
4,36,17
4,21,18
4,23,19
4,38,24
4,25,29
4,32,26
5,0,17
5,1,14
5,2,20
5,3,24
5,6,4
5,5,38
5,7,26
5,10,8
5,29,9
5,11,28
5,12,18
5,13,22
5,15,23
5,16,33
5,19,37
5,21,39
5,25,34
5,31,27
5,30,36
5,35,32
6,1,0
6,4,2
6,27,3
6,28,5
6,8,6
6,34,7
6,24,9
6,35,10
6,37,11
6,29,12
6,23,13
6,30,14
6,31,15
6,21,16
6,18,17
6,33,19
6,22,20
6,26,25
6,32,38
6,36,39
7,0,4
7,9,1
7,8,2
7,26,3
7,37,5
7,16,6
7,25,7
7,32,10
7,36,11
7,24,12
7,28,13
7,14,18
7,27,15
7,17,29
7,39,19
7,20,21
7,22,30
7,33,23
7,34,31
7,38,35
8,13,0
8,17,1
8,2,21
8,7,3
8,5,4
8,6,24
8,19,8
8,14,9
8,38,10
8,39,11
8,25,12
8,22,15
8,23,16
8,18,29
8,20,30
8,26,27
8,37,28
8,32,31
8,33,36
8,34,35
9,15,0
9,1,29
9,2,30
9,3,6
9,4,24
9,5,25
9,13,7
9,23,8
9,9,17
9,10,16
9,11,19
9,12,14
9,20,18
9,21,37
9,31,22
9,35,26
9,27,32
9,36,28
9,39,33
9,38,34
