8,MiaoAlgo,I_GAL40_10,1,100
NrSuccesfullMatchings,103486,NrInfeasibleMatchings,0
Time,Value 
210,30833
180,30833
150,30833
120,30833
90,30833
60,30833
30,30833
0,31549
Final, 30833,238

Round,H_team,A_team 
0,2,0
0,1,26
0,3,32
0,4,25
0,5,38
0,6,34
0,7,31
0,8,37
0,9,24
0,10,11
0,12,21
0,13,27
0,14,29
0,15,20
0,16,36
0,17,30
0,18,22
0,19,28
0,23,35
0,33,39
1,0,26
1,1,32
1,2,37
1,3,31
1,4,34
1,5,35
1,6,38
1,7,27
1,8,25
1,9,29
1,10,39
1,11,23
1,12,22
1,13,20
1,14,24
1,15,33
1,16,28
1,17,21
1,18,30
1,19,36
2,0,32
2,1,4
2,2,26
2,3,27
2,5,34
2,6,25
2,7,35
2,8,36
2,17,9
2,10,23
2,11,28
2,12,30
2,13,31
2,14,22
2,15,39
2,16,37
2,18,21
2,19,38
2,20,33
2,24,29
3,0,1
3,21,2
3,26,3
3,4,6
3,23,5
3,32,7
3,34,8
3,9,12
3,28,10
3,38,11
3,35,13
3,30,14
3,27,15
3,39,16
3,29,17
3,31,18
3,37,19
3,22,20
3,25,24
3,36,33
4,23,0
4,22,1
4,20,2
4,25,3
4,37,4
4,28,5
4,26,6
4,34,7
4,38,8
4,30,9
4,36,10
4,35,11
4,29,12
4,32,13
4,21,14
4,31,15
4,33,16
4,24,17
4,27,18
4,39,19
5,20,0
5,1,2
5,3,11
5,28,4
5,16,5
5,29,6
5,25,7
5,24,8
5,21,9
5,37,10
5,12,18
5,23,13
5,17,14
5,26,15
5,33,19
5,30,22
5,27,31
5,32,35
5,38,34
5,39,36
6,0,27
6,9,1
6,2,30
6,7,3
6,19,4
6,5,25
6,6,24
6,8,28
6,10,20
6,11,39
6,12,17
6,13,33
6,14,26
6,15,23
6,16,21
6,18,29
6,22,31
6,34,32
6,35,38
6,36,37
7,3,0
7,17,1
7,2,27
7,4,24
7,6,5
7,7,23
7,8,16
7,18,9
7,10,33
7,11,20
7,14,12
7,15,13
7,19,25
7,21,30
7,22,29
7,31,26
7,28,36
7,32,38
7,34,35
7,39,37
8,13,0
8,30,1
8,29,2
8,34,3
8,4,5
8,37,6
8,26,7
8,21,8
8,22,9
8,38,10
8,33,11
8,24,12
8,27,14
8,35,15
8,25,16
8,36,17
8,20,18
8,23,19
8,28,39
8,31,32
9,0,4
9,1,18
9,9,2
9,38,3
9,5,13
9,36,6
9,29,7
9,30,8
9,35,10
9,11,19
9,26,12
9,31,14
9,32,15
9,24,16
9,39,17
9,20,21
9,27,22
9,33,23
9,25,34
9,37,28
