1,MiaoAlgo,I_GAL40_20,1,100
NrSuccesfullMatchings,110744,NrInfeasibleMatchings,87
Time,Value 
720,68113
690,68113
660,68113
630,68113
600,68113
570,68113
540,68113
510,68113
480,68113
450,68113
420,68113
390,68113
0,76502
30,68286
60,68129
90,68113
120,68113
150,68113
180,68113
210,68113
240,68113
270,68113
300,68113
330,68113
360,68113
Final, 68113,732

Round,H_team,A_team 
0,5,0
0,24,1
0,21,2
0,35,3
0,25,4
0,34,6
0,27,7
0,37,8
0,29,9
0,39,10
0,23,11
0,12,14
0,20,13
0,33,15
0,36,16
0,30,17
0,22,18
0,28,19
0,31,26
0,38,32
1,0,14
1,25,1
1,20,2
1,32,3
1,34,4
1,23,5
1,38,6
1,31,7
1,36,8
1,24,9
1,33,10
1,35,11
1,12,18
1,22,13
1,28,15
1,37,16
1,21,17
1,39,19
1,27,26
1,29,30
2,0,13
2,29,1
2,22,2
2,38,3
2,24,4
2,33,5
2,35,6
2,26,7
2,39,8
2,30,9
2,23,10
2,32,11
2,17,12
2,18,14
2,36,15
2,28,16
2,37,19
2,21,20
2,34,25
2,27,31
3,1,0
3,2,5
3,3,31
3,4,21
3,6,32
3,7,35
3,8,34
3,9,26
3,10,28
3,11,33
3,12,22
3,13,27
3,14,29
3,15,23
3,16,39
3,17,24
3,18,20
3,19,36
3,25,38
3,30,37
4,0,20
4,1,26
4,2,39
4,3,27
4,4,38
4,5,32
4,6,25
4,7,23
4,8,21
4,9,22
4,10,36
4,11,28
4,12,30
4,13,31
4,14,24
4,15,35
4,16,34
4,17,37
4,18,29
4,19,33
5,28,0
5,1,2
5,26,3
5,8,4
5,34,5
5,24,6
5,32,7
5,25,9
5,16,10
5,39,11
5,21,12
5,33,13
5,31,14
5,20,15
5,29,17
5,30,18
5,38,19
5,27,22
5,35,23
5,37,36
6,33,0
6,31,1
6,10,2
6,24,3
6,30,4
6,35,5
6,29,6
6,38,7
6,25,8
6,34,9
6,36,11
6,20,12
6,28,13
6,27,14
6,22,15
6,23,16
6,26,17
6,21,18
6,32,19
6,39,37
7,39,0
7,27,1
7,2,12
7,25,3
7,29,4
7,5,10
7,6,7
7,24,8
7,32,9
7,37,11
7,23,13
7,26,14
7,30,15
7,33,16
7,31,17
7,28,18
7,35,19
7,20,22
7,36,21
7,34,38
8,0,22
8,1,32
8,2,33
8,3,34
8,4,6
8,5,38
8,7,24
8,8,28
8,9,31
8,10,37
8,11,20
8,12,29
8,13,35
8,14,30
8,15,27
8,16,25
8,17,36
8,18,26
8,19,23
8,21,39
9,0,32
9,1,30
9,2,29
9,3,33
9,4,28
9,5,24
9,6,23
9,7,34
9,8,38
9,9,12
9,10,20
9,11,27
9,13,26
9,14,22
9,15,37
9,16,21
9,17,39
9,18,36
9,19,25
9,31,35
10,21,0
10,22,1
10,30,2
10,23,3
10,36,4
10,25,5
10,37,6
10,33,7
10,8,16
10,17,9
10,35,10
10,38,11
10,27,12
10,13,15
10,20,14
10,31,18
10,34,19
10,24,29
10,32,26
10,39,28
11,16,0
11,18,1
11,2,23
11,5,3
11,4,12
11,6,8
11,11,7
11,9,27
11,10,13
11,14,17
11,15,31
11,19,21
11,20,33
11,22,30
11,26,24
11,29,25
11,28,37
11,34,32
11,38,35
11,39,36
12,0,23
12,1,34
12,2,37
12,3,29
12,4,32
12,19,5
12,6,26
12,7,28
12,8,35
12,14,9
12,10,31
12,11,21
12,12,24
12,13,30
12,15,39
12,16,38
12,17,25
12,18,27
12,20,36
12,22,33
13,9,0
13,1,37
13,2,34
13,3,13
13,4,26
13,5,28
13,6,27
13,7,29
13,8,32
13,10,38
13,11,31
13,12,33
13,14,25
13,15,21
13,16,35
13,17,22
13,18,24
13,19,20
13,23,39
13,30,36
14,0,2
14,3,1
14,37,4
14,36,5
14,31,6
14,7,13
14,23,8
14,9,18
14,32,10
14,25,11
14,26,12
14,21,14
14,38,15
14,30,16
14,27,17
14,24,19
14,28,20
14,29,22
14,33,39
14,35,34
15,0,18
15,1,7
15,9,2
15,14,3
15,39,4
15,37,5
15,6,11
15,33,8
15,34,10
15,31,12
15,13,17
15,32,15
15,20,16
15,29,19
15,21,30
15,26,22
15,38,23
15,24,25
15,35,27
15,28,36
16,0,24
16,1,9
16,14,2
16,22,3
16,4,19
16,16,5
16,6,36
16,7,18
16,11,8
16,10,30
16,13,12
16,15,17
16,20,39
16,21,37
16,34,23
16,26,25
16,38,27
16,28,33
16,29,31
16,35,32
17,3,0
17,4,1
17,2,24
17,5,26
17,6,28
17,7,15
17,8,30
17,9,21
17,11,10
17,12,37
17,13,29
17,14,34
17,19,16
17,17,20
17,18,39
17,22,31
17,25,23
17,32,27
17,33,35
17,36,38
18,7,0
18,1,13
18,2,31
18,3,28
18,5,4
18,19,6
18,8,14
18,9,20
18,15,10
18,11,16
18,12,39
18,17,18
18,22,21
18,23,33
18,30,24
18,32,25
18,26,34
18,27,29
18,36,35
18,37,38
19,0,17
19,12,1
19,18,2
19,3,7
19,4,9
19,5,6
19,19,8
19,10,22
19,15,11
19,13,21
19,16,14
19,27,20
19,23,28
19,24,34
19,25,30
19,26,29
19,31,32
19,36,33
19,37,35
19,39,38
