45,MiaoAlgo,I_GAL40_20,1,100
NrSuccesfullMatchings,109535,NrInfeasibleMatchings,74
Time,Value 
660,73223
630,73223
600,73223
570,73223
540,73223
510,73223
480,73223
450,73223
420,73223
390,73223
0,88526
30,73342
60,73223
90,73223
120,73223
150,73223
180,73223
210,73223
240,73223
270,73223
300,73223
330,73223
360,73223
Final, 73223,682

Round,H_team,A_team 
0,1,0
0,8,2
0,7,3
0,4,24
0,5,23
0,6,25
0,9,17
0,11,10
0,18,12
0,15,13
0,14,26
0,16,21
0,19,28
0,20,22
0,31,27
0,30,29
0,32,35
0,33,39
0,38,34
0,36,37
1,0,2
1,1,4
1,3,13
1,38,5
1,24,6
1,27,7
1,25,8
1,29,9
1,39,10
1,23,11
1,12,14
1,35,15
1,36,16
1,17,30
1,22,18
1,37,19
1,21,20
1,26,31
1,28,33
1,32,34
2,21,0
2,2,1
2,26,3
2,9,4
2,34,5
2,29,6
2,31,7
2,24,8
2,33,10
2,28,11
2,22,12
2,27,13
2,14,17
2,23,15
2,37,16
2,30,18
2,36,19
2,39,20
2,25,32
2,38,35
3,8,0
3,15,1
3,2,21
3,31,3
3,6,4
3,5,24
3,7,35
3,18,9
3,10,23
3,11,33
3,20,12
3,13,22
3,14,30
3,16,19
3,17,29
3,25,34
3,26,27
3,28,36
3,32,38
3,37,39
4,0,7
4,23,1
4,3,2
4,4,8
4,35,5
4,34,6
4,30,9
4,16,10
4,19,11
4,21,12
4,31,13
4,22,14
4,27,15
4,24,17
4,29,18
4,36,20
4,38,25
4,32,26
4,39,28
4,33,37
5,0,4
5,1,31
5,2,20
5,3,27
5,5,8
5,6,38
5,7,32
5,9,22
5,10,36
5,11,37
5,12,30
5,13,23
5,18,14
5,15,33
5,16,28
5,17,21
5,19,39
5,25,24
5,26,29
5,34,35
6,15,0
6,3,1
6,2,31
6,4,38
6,5,16
6,6,35
6,7,26
6,8,34
6,12,9
6,10,19
6,11,36
6,13,32
6,14,24
6,17,25
6,18,21
6,20,33
6,22,30
6,23,39
6,27,29
6,28,37
7,39,0
7,26,1
7,18,2
7,6,3
7,16,4
7,19,5
7,11,7
7,36,8
7,14,9
7,28,10
7,17,12
7,33,13
7,15,20
7,30,21
7,22,31
7,23,32
7,24,29
7,25,35
7,34,27
7,37,38
8,36,0
8,1,17
8,14,2
8,9,3
8,21,4
8,5,6
8,23,7
8,39,8
8,37,10
8,35,11
8,29,12
8,28,13
8,22,15
8,33,16
8,20,18
8,38,19
8,30,24
8,25,26
8,32,27
8,31,34
9,0,9
9,7,1
9,2,30
9,3,23
9,4,25
9,5,28
9,6,10
9,8,37
9,38,11
9,12,36
9,13,20
9,29,14
9,15,16
9,17,22
9,18,24
9,19,33
9,21,39
9,34,26
9,35,27
9,32,31
10,0,3
10,27,1
10,12,2
10,30,4
10,25,5
10,36,6
10,38,7
10,28,8
10,20,9
10,10,15
10,34,11
10,35,13
10,31,14
10,39,16
10,17,18
10,23,19
10,21,37
10,29,22
10,26,24
10,33,32
11,13,0
11,1,12
11,9,2
11,3,38
11,4,28
11,5,33
11,19,6
11,7,25
11,8,21
11,20,10
11,11,39
11,14,27
11,15,32
11,16,23
11,17,37
11,18,26
11,24,22
11,34,29
11,30,36
11,31,35
12,0,23
12,14,1
12,2,17
12,3,25
12,4,29
12,5,21
12,6,28
12,7,33
12,16,8
12,9,24
12,10,32
12,11,20
12,12,31
12,13,18
12,15,39
12,19,34
12,22,36
12,26,35
12,27,38
12,37,30
13,12,0
13,9,1
13,2,39
13,3,33
13,4,14
13,5,20
13,6,23
13,13,7
13,8,29
13,10,25
13,11,16
13,15,18
13,17,31
13,32,19
13,21,36
13,27,22
13,24,35
13,26,38
13,28,30
13,37,34
14,0,14
14,1,13
14,2,11
14,29,3
14,37,4
14,32,5
14,8,6
14,7,15
14,31,9
14,21,10
14,24,12
14,16,17
14,33,18
14,35,19
14,23,20
14,26,22
14,25,27
14,38,28
14,39,30
14,36,34
15,18,0
15,1,8
15,10,2
15,30,3
15,4,27
15,31,5
15,16,6
15,7,9
15,11,15
15,12,26
15,14,13
15,19,17
15,20,37
15,22,21
15,23,38
15,34,24
15,29,25
15,32,28
15,33,36
15,35,39
16,0,11
16,6,1
16,15,2
16,18,3
16,19,4
16,26,5
16,10,7
16,8,17
16,9,27
16,12,13
16,21,14
16,16,20
16,22,37
16,23,36
16,24,32
16,30,25
16,35,28
16,29,31
16,33,34
16,38,39
17,0,16
17,1,29
17,13,2
17,3,22
17,4,11
17,5,7
17,6,32
17,8,30
17,21,9
17,10,35
17,12,25
17,20,14
17,19,15
17,17,26
17,18,37
17,27,23
17,24,31
17,28,34
17,38,33
17,39,36
18,0,29
18,1,22
18,2,16
18,3,32
18,4,7
18,11,5
18,14,6
18,8,19
18,9,26
18,13,10
18,39,12
18,37,15
18,36,17
18,27,18
18,20,30
18,28,21
18,34,23
18,24,38
18,25,31
18,35,33
19,22,0
19,1,16
19,2,4
19,34,3
19,10,5
19,9,6
19,7,14
19,32,8
19,13,11
19,37,12
19,36,15
19,39,17
19,31,18
19,25,19
19,20,28
19,33,21
19,35,23
19,27,24
19,30,26
19,29,38
