46,MiaoAlgo,I_GAL40_20,1,100
NrSuccesfullMatchings,157668,NrInfeasibleMatchings,1469
Time,Value 
840,72666
810,72666
780,72666
750,72666
720,72666
690,72666
660,72666
630,72666
600,72666
570,72666
540,72666
510,72666
480,72666
450,72666
420,72666
390,72666
0,92740
30,74662
60,73354
90,73231
120,73160
150,72823
180,72823
210,72790
240,72790
270,72790
300,72699
330,72666
360,72666
Final, 72666,865

Round,H_team,A_team 
0,1,0
0,2,20
0,3,7
0,8,4
0,5,11
0,6,25
0,14,9
0,15,10
0,12,18
0,13,22
0,16,19
0,17,21
0,33,23
0,24,26
0,27,31
0,39,28
0,30,29
0,32,35
0,38,34
0,37,36
1,0,2
1,9,1
1,3,13
1,4,6
1,25,5
1,24,7
1,16,8
1,33,10
1,11,23
1,12,14
1,20,15
1,30,17
1,18,22
1,21,19
1,26,31
1,29,27
1,37,28
1,32,34
1,38,35
1,39,36
2,5,0
2,1,4
2,2,14
2,3,26
2,6,24
2,7,31
2,8,25
2,9,27
2,10,23
2,11,33
2,12,22
2,15,13
2,16,37
2,17,29
2,18,30
2,19,39
2,20,21
2,36,28
2,38,32
2,35,34
3,0,4
3,22,1
3,21,2
3,31,3
3,32,5
3,34,6
3,35,7
3,37,8
3,29,9
3,10,11
3,30,12
3,23,13
3,14,18
3,33,15
3,36,16
3,24,17
3,28,19
3,39,20
3,25,38
3,26,27
4,0,18
4,13,1
4,4,2
4,27,3
4,35,5
4,38,6
4,34,7
4,36,8
4,30,9
4,19,10
4,15,11
4,21,12
4,26,14
4,28,16
4,25,17
4,33,20
4,31,22
4,23,32
4,24,29
4,37,39
5,3,0
5,1,15
5,2,33
5,4,25
5,5,38
5,6,32
5,7,26
5,8,34
5,9,24
5,10,20
5,11,28
5,12,36
5,13,31
5,14,29
5,16,39
5,17,37
5,18,21
5,19,23
5,22,30
5,27,35
6,0,15
6,2,1
6,38,3
6,34,4
6,23,5
6,37,6
6,27,7
6,24,8
6,22,9
6,28,10
6,39,11
6,17,12
6,33,13
6,30,14
6,21,16
6,20,18
6,36,19
6,25,29
6,32,26
6,31,35
7,6,0
7,3,1
7,2,30
7,4,37
7,5,28
7,7,38
7,8,19
7,9,12
7,10,39
7,11,13
7,14,24
7,15,23
7,16,33
7,18,17
7,22,20
7,21,36
7,34,25
7,35,26
7,32,27
7,29,31
8,8,0
8,1,30
8,17,2
8,3,25
8,4,38
8,5,37
8,6,28
8,7,32
8,9,31
8,10,21
8,11,35
8,12,24
8,13,27
8,14,22
8,15,39
8,16,23
8,18,29
8,19,33
8,20,36
8,26,34
9,0,30
9,1,31
9,2,22
9,3,32
9,5,4
9,6,23
9,7,25
9,8,38
9,9,26
9,10,16
9,11,21
9,12,29
9,13,20
9,17,14
9,15,27
9,18,24
9,19,37
9,34,28
9,36,33
9,35,39
10,0,12
10,29,1
10,39,2
10,35,3
10,28,4
10,33,5
10,26,6
10,23,7
10,30,8
10,25,9
10,36,10
10,37,11
10,32,13
10,21,14
10,31,15
10,20,16
10,22,17
10,27,18
10,38,19
10,24,34
11,10,0
11,24,1
11,2,12
11,34,3
11,19,4
11,39,5
11,27,6
11,28,7
11,29,8
11,9,17
11,36,11
11,38,13
11,20,14
11,26,15
11,22,16
11,31,18
11,21,30
11,23,35
11,25,32
11,33,37
12,11,0
12,1,38
12,2,29
12,3,23
12,4,32
12,16,5
12,31,6
12,7,22
12,8,28
12,9,21
12,10,37
12,12,15
12,34,13
12,14,27
12,17,36
12,18,26
12,19,35
12,20,30
12,25,24
12,33,39
13,19,0
13,1,21
13,2,28
13,3,22
13,4,24
13,5,10
13,6,17
13,7,33
13,8,32
13,9,38
13,11,20
13,12,27
13,13,30
13,14,31
13,15,37
13,16,35
13,18,36
13,23,39
13,26,25
13,29,34
14,0,14
14,5,1
14,10,2
14,24,3
14,36,4
14,6,9
14,7,13
14,21,8
14,16,11
14,37,12
14,15,22
14,34,17
14,39,18
14,32,19
14,28,20
14,38,23
14,31,25
14,29,26
14,30,27
14,35,33
15,0,16
15,28,1
15,11,2
15,29,3
15,4,9
15,21,5
15,14,6
15,15,7
15,33,8
15,13,10
15,39,12
15,38,17
15,37,18
15,34,19
15,23,20
15,22,26
15,35,24
15,27,25
15,36,30
15,31,32
16,9,0
16,36,1
16,16,2
16,3,10
16,4,29
16,5,34
16,18,6
16,11,7
16,39,8
16,20,12
16,13,35
16,14,32
16,21,15
16,17,26
16,25,19
16,22,27
16,23,31
16,38,24
16,33,28
16,37,30
17,0,29
17,1,17
17,2,9
17,14,3
17,4,16
17,8,5
17,12,6
17,10,7
17,19,11
17,13,18
17,15,35
17,20,31
17,28,21
17,22,33
17,23,36
17,32,24
17,25,37
17,26,38
17,27,34
17,30,39
18,0,13
18,1,14
18,24,2
18,12,3
18,26,4
18,6,5
18,7,18
18,8,11
18,20,9
18,32,10
18,19,15
18,25,16
18,17,39
18,37,21
18,29,22
18,28,23
18,27,38
18,30,33
18,31,34
18,35,36
19,22,0
19,1,12
19,26,2
19,17,3
19,27,4
19,5,19
19,6,11
19,7,20
19,23,8
19,18,9
19,35,10
19,13,14
19,28,15
19,24,16
19,39,21
19,30,25
19,29,33
19,31,38
19,32,36
19,34,37
