59,MiaoAlgo,I_GAL40_20,1,100
NrSuccesfullMatchings,152658,NrInfeasibleMatchings,26
Time,Value 
780,72278
750,72278
720,72278
690,72278
660,72278
630,72278
600,72278
570,72278
540,72278
510,72278
480,72278
450,72278
420,72278
390,72278
0,80531
30,72615
60,72484
90,72484
120,72484
150,72484
180,72484
210,72484
240,72296
270,72279
300,72278
330,72278
360,72278
Final, 72278,808

Round,H_team,A_team 
0,0,2
0,1,3
0,4,6
0,5,32
0,7,35
0,8,37
0,9,20
0,10,33
0,11,23
0,17,12
0,15,13
0,14,27
0,16,36
0,18,22
0,19,28
0,21,39
0,24,25
0,26,31
0,29,30
0,34,38
1,0,3
1,1,27
1,2,21
1,4,37
1,5,23
1,6,34
1,7,31
1,8,25
1,9,24
1,10,11
1,18,12
1,13,35
1,14,22
1,15,33
1,16,28
1,17,30
1,19,36
1,20,39
1,26,29
1,38,32
2,0,1
2,12,2
2,3,7
2,24,4
2,38,5
2,25,6
2,28,8
2,14,9
2,23,10
2,11,15
2,18,13
2,37,16
2,29,17
2,39,19
2,33,20
2,36,21
2,30,22
2,26,27
2,35,31
2,32,34
3,7,0
3,2,1
3,3,26
3,4,25
3,5,11
3,6,24
3,8,36
3,9,18
3,10,28
3,12,30
3,13,33
3,17,14
3,15,23
3,16,39
3,19,37
3,20,21
3,22,29
3,27,38
3,31,34
3,32,35
4,32,0
4,1,4
4,3,2
4,25,5
4,37,6
4,27,7
4,24,8
4,29,9
4,39,10
4,33,11
4,22,12
4,31,13
4,30,14
4,28,15
4,21,16
4,18,17
4,23,19
4,36,20
4,34,26
4,35,38
5,35,0
5,1,8
5,2,4
5,31,3
5,34,5
5,39,6
5,26,7
5,30,9
5,36,10
5,28,11
5,12,14
5,27,13
5,38,15
5,23,16
5,22,17
5,21,18
5,33,19
5,37,20
5,29,24
5,25,32
6,0,23
6,1,25
6,2,22
6,3,27
6,4,28
6,5,35
6,6,32
6,13,7
6,8,34
6,9,26
6,10,20
6,11,39
6,12,21
6,14,29
6,15,31
6,16,33
6,17,24
6,18,30
6,19,38
6,37,36
7,27,0
7,7,1
7,33,2
7,32,3
7,36,4
7,28,5
7,38,6
7,23,8
7,22,9
7,13,10
7,11,19
7,29,12
7,26,14
7,20,15
7,25,16
7,21,17
7,31,18
7,30,24
7,34,35
7,39,37
8,31,0
8,29,1
8,28,2
8,38,3
8,39,4
8,36,5
8,35,6
8,32,7
8,33,8
8,27,9
8,18,10
8,21,11
8,26,12
8,23,13
8,24,14
8,30,15
8,34,16
8,37,17
8,25,19
8,20,22
9,26,0
9,30,1
9,23,2
9,35,3
9,33,4
9,37,5
9,27,6
9,38,7
9,39,8
9,31,9
9,22,10
9,20,11
9,24,12
9,28,13
9,25,14
9,21,15
9,32,16
9,36,17
9,29,18
9,34,19
10,0,28
10,1,24
10,2,30
10,3,29
10,4,34
10,5,33
10,6,26
10,7,23
10,8,21
10,9,25
10,10,37
10,11,36
10,12,20
10,13,32
10,14,18
10,15,27
10,16,38
10,17,39
10,19,35
10,22,31
11,0,30
11,1,28
11,2,36
11,3,34
11,4,26
11,5,6
11,7,29
11,8,38
11,9,37
11,10,35
11,16,11
11,12,39
11,13,22
11,14,31
11,15,32
11,17,25
11,18,24
11,19,21
11,20,27
11,23,33
12,5,0
12,1,36
12,2,14
12,3,22
12,4,29
12,6,28
12,7,34
12,8,26
12,9,39
12,10,15
12,11,35
12,12,25
12,20,13
12,16,24
12,17,31
12,18,27
12,19,32
12,21,33
12,38,23
12,30,37
13,0,14
13,22,1
13,11,2
13,25,3
13,38,4
13,24,5
13,6,19
13,33,7
13,29,8
13,34,9
13,32,10
13,31,12
13,39,13
13,36,15
13,30,16
13,27,17
13,26,18
13,28,20
13,37,21
13,35,23
14,0,22
14,20,1
14,2,19
14,3,18
14,35,4
14,29,5
14,23,6
14,7,11
14,30,8
14,17,9
14,38,10
14,27,12
14,21,13
14,14,16
14,37,15
14,24,34
14,26,25
14,28,36
14,31,32
14,33,39
15,0,24
15,10,1
15,2,9
15,3,11
15,4,14
15,5,7
15,6,29
15,8,19
15,13,12
15,15,35
15,18,16
15,17,26
15,20,23
15,21,30
15,22,32
15,34,25
15,31,27
15,28,33
15,39,36
15,37,38
16,9,0
16,1,17
16,2,18
16,3,24
16,4,8
16,19,5
16,6,14
16,10,7
16,13,11
16,12,32
16,22,15
16,16,20
16,21,23
16,25,31
16,30,26
16,35,27
16,39,28
16,34,29
16,33,37
16,36,38
17,12,0
17,9,1
17,10,2
17,13,3
17,4,17
17,16,5
17,8,6
17,15,7
17,11,18
17,14,21
17,19,20
17,22,26
17,36,23
17,24,31
17,25,29
17,32,27
17,28,37
17,34,30
17,35,33
17,39,38
18,0,13
18,14,1
18,7,2
18,15,3
18,5,4
18,6,17
18,8,16
18,12,9
18,19,10
18,11,37
18,20,18
18,24,21
18,27,22
18,23,39
18,25,30
18,26,35
18,38,28
18,29,31
18,32,33
18,36,34
19,18,0
19,1,12
19,13,2
19,23,3
19,11,4
19,5,10
19,6,30
19,7,22
19,17,8
19,9,21
19,14,20
19,15,39
19,16,19
19,24,26
19,35,25
19,27,29
19,32,28
19,31,38
19,33,36
19,37,34
