68,MiaoAlgo,I_GAL40_20,1,100
NrSuccesfullMatchings,173868,NrInfeasibleMatchings,271
Time,Value 
900,71471
870,71471
360,71598
330,71734
300,71734
270,71734
240,71801
210,72033
180,72033
150,72278
120,72284
90,73583
60,73583
30,73583
0,85705
390,71471
420,71471
450,71471
480,71471
510,71471
540,71471
570,71471
600,71471
630,71471
660,71471
690,71471
720,71471
750,71471
780,71471
810,71471
840,71471
Final, 71471,904

Round,H_team,A_team 
0,4,0
0,25,1
0,8,2
0,26,3
0,6,5
0,31,7
0,24,9
0,10,11
0,21,12
0,27,13
0,29,14
0,23,15
0,37,16
0,30,17
0,22,18
0,28,19
0,33,20
0,35,32
0,38,34
0,36,39
1,0,5
1,1,26
1,2,21
1,3,32
1,4,25
1,6,34
1,7,27
1,8,37
1,9,14
1,10,33
1,11,23
1,17,12
1,15,13
1,16,28
1,18,30
1,19,36
1,20,39
1,22,31
1,24,29
1,35,38
2,0,2
2,1,21
2,3,35
2,6,4
2,5,38
2,7,32
2,8,34
2,9,26
2,10,23
2,11,33
2,18,12
2,13,22
2,14,30
2,15,20
2,16,36
2,17,29
2,19,37
2,25,24
2,31,27
2,28,39
3,1,0
3,22,2
3,27,3
3,5,4
3,32,6
3,13,7
3,36,8
3,12,9
3,20,10
3,19,11
3,14,17
3,33,15
3,39,16
3,29,18
3,30,21
3,23,35
3,34,24
3,38,25
3,31,26
3,37,28
4,0,13
4,27,1
4,20,2
4,31,3
4,37,4
4,32,5
4,38,6
4,35,7
4,39,8
4,29,9
4,21,10
4,28,11
4,30,12
4,22,14
4,36,15
4,33,16
4,24,17
4,26,18
4,23,19
4,34,25
5,0,33
5,1,28
5,2,10
5,3,38
5,4,24
5,5,23
5,6,35
5,7,26
5,16,8
5,9,30
5,11,36
5,12,22
5,13,31
5,14,27
5,15,19
5,17,21
5,18,20
5,25,29
5,34,32
5,39,37
6,3,0
6,1,30
6,2,33
6,4,34
6,5,35
6,6,29
6,7,38
6,8,28
6,9,21
6,10,36
6,11,37
6,12,20
6,13,26
6,14,24
6,15,31
6,16,23
6,17,22
6,18,27
6,19,39
6,25,32
7,0,30
7,1,31
7,2,36
7,3,29
7,4,32
7,5,28
7,6,25
7,7,33
7,8,23
7,9,22
7,10,37
7,11,39
7,12,27
7,13,38
7,14,21
7,15,26
7,16,34
7,17,20
7,18,24
7,19,35
8,22,0
8,32,1
8,30,2
8,34,3
8,38,4
8,36,5
8,24,6
8,23,7
8,25,8
8,27,9
8,28,10
8,35,11
8,29,12
8,20,13
8,26,14
8,39,15
8,21,16
8,37,17
8,31,18
8,33,19
9,0,23
9,3,1
9,2,28
9,4,30
9,5,33
9,8,6
9,7,11
9,9,25
9,10,19
9,12,24
9,18,13
9,14,20
9,15,22
9,16,17
9,21,39
9,26,27
9,31,29
9,38,32
9,35,34
9,36,37
10,0,24
10,4,1
10,2,23
10,3,5
10,16,6
10,7,34
10,8,33
10,9,20
10,10,39
10,11,22
10,12,13
10,14,25
10,15,28
10,17,36
10,18,21
10,19,38
10,32,26
10,27,29
10,30,37
10,35,31
11,36,0
11,1,5
11,39,2
11,23,3
11,4,8
11,6,7
11,18,9
11,13,10
11,11,15
11,14,12
11,20,16
11,17,25
11,34,19
11,21,37
11,33,22
11,26,24
11,27,35
11,28,38
11,29,30
11,32,31
12,37,0
12,2,1
12,3,14
12,9,4
12,5,34
12,6,31
12,7,20
12,8,21
12,10,15
12,11,32
12,12,16
12,13,35
12,17,18
12,25,19
12,22,27
12,28,23
12,24,30
12,26,29
12,39,33
12,36,38
13,39,0
13,1,9
13,27,2
13,6,3
13,29,4
13,19,5
13,24,7
13,38,8
13,35,10
13,20,11
13,31,12
13,33,13
13,32,14
13,21,15
13,22,16
13,26,17
13,37,18
13,23,34
13,25,30
13,28,36
14,0,9
14,15,1
14,31,2
14,24,3
14,12,4
14,16,5
14,19,6
14,29,7
14,32,8
14,38,10
14,21,11
14,23,13
14,34,14
14,27,17
14,36,18
14,20,22
14,25,26
14,33,28
14,30,39
14,37,35
15,15,0
15,10,1
15,13,2
15,7,3
15,4,21
15,5,25
15,11,6
15,8,24
15,17,9
15,12,37
15,14,31
15,19,16
15,18,39
15,30,20
15,22,29
15,23,33
15,34,26
15,27,38
15,32,28
15,36,35
16,7,0
16,11,1
16,2,37
16,3,13
16,17,4
16,5,24
16,6,23
16,8,19
16,9,31
16,10,32
16,12,39
16,14,18
16,15,27
16,16,25
16,20,29
16,21,36
16,22,30
16,26,38
16,34,28
16,33,35
17,26,0
17,1,18
17,2,12
17,3,9
17,4,14
17,5,13
17,28,6
17,22,7
17,30,8
17,16,10
17,38,11
17,35,15
17,39,17
17,21,19
17,20,27
17,23,32
17,24,31
17,37,25
17,29,34
17,33,36
18,0,12
18,1,14
18,2,18
18,25,3
18,31,4
18,37,5
18,39,6
18,30,7
18,29,8
18,13,9
18,24,10
18,34,11
18,38,15
18,35,16
18,33,17
18,20,19
18,28,21
18,26,22
18,23,36
18,32,27
19,0,14
19,13,1
19,9,2
19,30,3
19,27,4
19,39,5
19,36,6
19,18,7
19,31,8
19,29,10
19,25,11
19,19,12
19,34,15
19,32,16
19,28,17
19,21,20
19,24,22
19,38,23
19,35,26
19,37,33
