87,MiaoAlgo,I_GAL40_20,1,100
NrSuccesfullMatchings,117647,NrInfeasibleMatchings,249
Time,Value 
630,72111
600,72111
570,72111
540,72111
510,72111
480,72111
450,72111
420,72111
390,72111
0,92501
30,72643
60,72453
90,72200
120,72111
150,72111
180,72111
210,72111
240,72111
270,72111
300,72111
330,72111
360,72111
Final, 72111,650

Round,H_team,A_team 
0,20,0
0,24,1
0,21,2
0,32,3
0,25,4
0,38,5
0,34,6
0,27,7
0,37,8
0,29,9
0,10,11
0,12,14
0,13,15
0,36,16
0,30,17
0,22,18
0,28,19
0,35,23
0,31,26
0,39,33
1,22,0
1,30,1
1,28,2
1,35,3
1,24,4
1,32,5
1,38,6
1,26,7
1,36,8
1,9,14
1,10,15
1,23,11
1,18,12
1,20,13
1,37,16
1,29,17
1,33,19
1,39,21
1,34,25
1,31,27
2,0,14
2,12,1
2,37,2
2,27,3
2,26,4
2,35,5
2,32,6
2,34,7
2,39,8
2,9,18
2,10,23
2,33,11
2,21,13
2,20,15
2,28,16
2,24,17
2,36,19
2,22,31
2,38,25
2,29,30
3,0,10
3,1,22
3,2,20
3,3,26
3,4,38
3,5,34
3,6,25
3,7,32
3,8,24
3,9,30
3,11,28
3,17,12
3,13,27
3,14,29
3,15,35
3,16,39
3,18,31
3,19,37
3,21,36
3,23,33
4,2,0
4,29,1
4,34,3
4,6,4
4,5,10
4,31,7
4,25,8
4,24,9
4,15,11
4,12,20
4,26,13
4,14,17
4,33,16
4,30,18
4,39,19
4,37,21
4,27,22
4,38,23
4,36,28
4,32,35
5,0,11
5,1,2
5,3,13
5,4,8
5,5,25
5,6,24
5,7,15
5,17,9
5,10,33
5,12,30
5,18,14
5,16,21
5,23,19
5,22,20
5,34,26
5,32,27
5,28,39
5,31,29
5,38,35
5,36,37
6,7,0
6,3,1
6,15,2
6,4,5
6,8,6
6,26,9
6,20,10
6,21,11
6,22,12
6,13,31
6,14,30
6,19,16
6,17,18
6,23,28
6,25,24
6,27,29
6,32,38
6,33,37
6,35,34
6,36,39
7,5,0
7,6,1
7,2,3
7,9,4
7,13,7
7,8,17
7,19,10
7,11,20
7,12,29
7,14,22
7,15,31
7,16,23
7,18,27
7,30,21
7,38,24
7,25,26
7,28,35
7,34,32
7,33,36
7,39,37
8,0,3
8,25,1
8,27,2
8,30,4
8,23,5
8,26,6
8,20,7
8,34,8
8,31,9
8,28,10
8,36,11
8,21,12
8,22,13
8,24,14
8,33,15
8,32,16
8,37,17
8,29,18
8,38,19
8,39,35
9,1,0
9,2,30
9,3,31
9,17,4
9,5,33
9,6,29
9,7,38
9,8,28
9,9,22
9,10,39
9,11,37
9,12,24
9,18,13
9,14,25
9,15,23
9,16,34
9,19,32
9,21,20
9,26,27
9,36,35
10,0,30
10,1,31
10,2,22
10,3,38
10,4,28
10,6,5
10,7,33
10,8,29
10,9,25
10,10,37
10,11,32
10,12,36
10,13,23
10,14,26
10,15,39
10,16,20
10,17,21
10,18,24
10,19,34
10,35,27
11,0,15
11,9,1
11,2,31
11,3,30
11,4,29
11,19,5
11,6,28
11,7,23
11,16,8
11,10,32
11,11,34
11,12,37
11,13,38
11,14,21
11,17,22
11,18,36
11,20,39
11,26,24
11,25,27
11,35,33
12,0,9
12,1,7
12,23,2
12,24,3
12,34,4
12,28,5
12,37,6
12,8,19
12,38,10
12,39,11
12,26,12
12,32,13
12,27,14
12,22,15
12,30,16
12,36,17
12,21,18
12,33,20
12,29,25
12,31,35
13,8,0
13,1,26
13,2,18
13,3,23
13,4,19
13,5,11
13,21,6
13,7,22
13,9,16
13,35,10
13,27,12
13,13,33
13,31,14
13,15,28
13,39,17
13,20,36
13,29,24
13,25,32
13,30,37
13,38,34
14,0,18
14,4,1
14,2,33
14,3,22
14,5,8
14,6,23
14,7,14
14,9,27
14,10,36
14,11,38
14,31,12
14,13,28
14,16,15
14,17,20
14,19,21
14,24,34
14,25,35
14,26,32
14,29,37
14,30,39
15,0,26
15,1,5
15,2,4
15,7,3
15,11,6
15,8,21
15,12,9
15,13,10
15,14,20
15,19,15
15,16,38
15,17,27
15,18,39
15,22,30
15,23,36
15,24,35
15,37,25
15,33,28
15,34,29
15,32,31
16,4,0
16,8,1
16,9,2
16,3,14
16,5,15
16,6,35
16,24,7
16,31,10
16,11,16
16,39,12
16,19,13
16,34,17
16,18,20
16,21,33
16,22,26
16,23,32
16,36,25
16,30,27
16,28,37
16,38,29
17,0,13
17,1,14
17,2,11
17,15,3
17,4,7
17,16,5
17,6,19
17,8,33
17,20,9
17,27,10
17,28,12
17,25,17
17,18,26
17,21,22
17,23,34
17,31,24
17,35,29
17,30,36
17,39,32
17,37,38
18,17,0
18,1,13
18,14,2
18,11,3
18,4,18
18,5,39
18,7,6
18,35,8
18,15,9
18,10,21
18,19,12
18,16,22
18,20,23
18,27,24
18,25,31
18,26,30
18,28,38
18,29,36
18,37,32
18,33,34
19,12,0
19,1,18
19,17,2
19,3,25
19,14,4
19,5,31
19,27,6
19,35,7
19,32,8
19,13,9
19,10,16
19,11,19
19,15,21
19,20,28
19,22,36
19,23,39
19,24,30
19,29,26
19,33,38
19,37,34
