12,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,243947,NrInfeasibleMatchings,2414
Time,Value 
2040,122149
2010,122149
1980,122149
1950,122149
1920,122149
1890,122149
1860,122149
1830,122149
1800,122149
1770,122149
840,122851
810,122851
780,122851
750,122896
720,122896
690,122896
660,122986
630,123148
600,123148
570,123272
540,123272
510,123303
480,123497
450,123497
420,123497
390,123497
0,141883
30,127699
60,124981
90,124050
120,123899
150,123899
180,123759
210,123652
240,123497
270,123497
300,123497
330,123497
360,123497
870,122851
900,122809
930,122809
960,122809
990,122742
1020,122645
1050,122529
1080,122156
1110,122156
1140,122156
1170,122156
1200,122156
1230,122149
1260,122149
1290,122149
1320,122149
1350,122149
1380,122149
1410,122149
1440,122149
1470,122149
1500,122149
1530,122149
1560,122149
1590,122149
1620,122149
1650,122149
1680,122149
1710,122149
1740,122149
Final, 122149,2053

Round,H_team,A_team 
0,5,0
0,4,1
0,2,20
0,3,7
0,6,32
0,8,21
0,14,9
0,10,11
0,12,17
0,13,15
0,19,16
0,18,22
0,28,23
0,24,26
0,25,34
0,31,27
0,29,30
0,39,33
0,38,35
0,36,37
1,7,0
1,1,2
1,15,3
1,4,8
1,19,5
1,6,25
1,17,9
1,23,10
1,11,16
1,22,12
1,20,13
1,18,14
1,21,37
1,30,24
1,26,31
1,27,29
1,28,33
1,32,35
1,34,38
1,36,39
2,0,1
2,2,16
2,3,27
2,6,4
2,5,38
2,13,7
2,8,25
2,9,26
2,19,10
2,15,11
2,12,18
2,14,22
2,30,17
2,21,20
2,23,33
2,29,24
2,28,36
2,31,32
2,35,34
2,39,37
3,10,0
3,1,3
3,15,2
3,25,4
3,7,5
3,8,6
3,24,9
3,33,11
3,20,12
3,22,13
3,17,14
3,16,39
3,18,30
3,38,19
3,36,21
3,32,23
3,26,29
3,27,35
3,37,28
3,34,31
4,4,0
4,9,1
4,12,2
4,14,3
4,26,5
4,6,10
4,7,15
4,8,16
4,28,11
4,27,13
4,17,18
4,32,19
4,22,20
4,21,39
4,35,23
4,34,24
4,38,25
4,31,29
4,30,36
4,37,33
5,0,3
5,1,12
5,2,22
5,11,4
5,5,6
5,10,7
5,36,8
5,18,9
5,13,31
5,29,14
5,15,27
5,16,21
5,24,17
5,19,37
5,20,30
5,23,34
5,25,26
5,39,28
5,38,32
5,33,35
6,0,2
6,1,22
6,3,5
6,19,4
6,34,6
6,7,31
6,37,8
6,9,12
6,15,10
6,13,11
6,14,30
6,28,16
6,17,21
6,18,20
6,23,38
6,32,24
6,29,25
6,26,27
6,33,36
6,39,35
7,6,0
7,5,1
7,2,18
7,31,3
7,4,9
7,27,7
7,8,17
7,10,33
7,11,23
7,12,30
7,35,13
7,26,14
7,20,15
7,16,37
7,36,19
7,21,28
7,22,29
7,24,25
7,34,32
7,38,39
8,0,11
8,1,7
8,2,17
8,26,3
8,4,5
8,6,37
8,28,8
8,9,22
8,10,39
8,14,12
8,38,13
8,18,15
8,16,36
8,19,23
8,20,33
8,30,21
8,24,27
8,25,32
8,29,34
8,31,35
9,0,12
9,1,14
9,7,2
9,9,3
9,4,16
9,5,23
9,6,24
9,33,8
9,13,10
9,11,19
9,15,39
9,17,29
9,18,21
9,36,20
9,22,31
9,25,27
9,32,26
9,35,28
9,30,34
9,37,38
10,0,14
10,1,21
10,3,2
10,24,4
