14,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,136357,NrInfeasibleMatchings,20573
Time,Value 
1410,124041
1380,124041
1350,124041
1320,124041
1290,124041
1260,124041
1230,124041
1200,124041
1170,124041
1140,124041
1110,124041
1080,124041
1050,124041
1020,124041
990,124041
960,124041
930,124041
900,124041
870,124041
360,124052
330,124107
300,124107
270,124202
240,124314
210,124314
180,124446
150,124469
120,125429
90,125608
60,126102
30,128443
0,144443
390,124052
420,124052
450,124052
480,124052
510,124052
540,124041
570,124041
600,124041
630,124041
660,124041
690,124041
720,124041
750,124041
780,124041
810,124041
840,124041
Final, 124041,1430

Round,H_team,A_team 
0,0,1
0,2,12
0,3,7
0,6,4
0,19,5
0,16,8
0,17,9
0,10,20
0,11,23
0,13,15
0,29,14
0,30,18
0,28,21
0,26,22
0,25,24
0,27,31
0,32,34
0,39,33
0,35,38
0,37,36
1,12,0
1,4,1
1,18,2
1,5,3
1,8,6
1,13,7
1,14,9
1,15,10
1,20,11
1,19,16
1,17,30
1,21,37
1,22,27
1,23,35
1,24,29
1,34,25
1,31,26
1,28,33
1,38,32
1,36,39
2,9,0
2,1,3
2,2,10
2,4,5
2,24,6
2,35,7
2,8,19
2,15,11
2,12,17
2,31,13
2,18,14
2,16,37
2,22,20
2,21,39
2,23,33
2,32,25
2,26,27
2,36,28
2,30,29
2,34,38
3,0,2
3,1,8
3,3,15
3,19,4
3,6,5
3,7,31
3,30,9
3,11,10
3,14,12
3,13,20
3,39,16
3,17,24
3,22,18
3,36,21
3,28,23
3,25,38
3,29,26
3,27,32
3,33,35
3,37,34
4,0,8
4,1,6
4,2,21
4,3,13
4,7,4
4,5,11
4,18,9
4,10,33
4,12,22
4,17,14
4,15,20
4,23,16
4,19,28
4,24,38
4,26,25
4,27,29
4,30,36
4,31,32
4,34,35
4,39,37
5,6,0
5,14,1
5,15,2
5,31,3
5,4,8
5,25,5
5,26,7
5,9,12
5,10,16
5,11,19
5,13,27
5,21,17
5,20,18
5,22,30
5,38,23
5,34,24
5,28,39
5,29,36
5,32,35
5,33,37
6,0,20
6,1,9
6,13,2
6,27,3
6,4,17
6,8,5
6,25,6
6,29,7
6,19,10
6,16,11
6,18,12
6,22,14
6,15,39
6,30,21
6,34,23
6,35,24
6,26,32
6,28,37
6,31,38
6,36,33
7,5,0
7,2,1
7,32,3
7,14,4
7,6,16
7,7,22
7,30,8
7,9,29
7,23,10
7,11,13
7,12,21
7,33,15
7,17,18
7,39,19
7,20,36
7,24,26
7,37,25
7,27,34
7,38,28
7,35,31
8,0,13
8,1,5
8,3,2
8,4,16
8,6,26
8,15,7
8,12,8
