44,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,125669,NrInfeasibleMatchings,3394
Time,Value 
1050,121529
1020,121529
990,121529
960,121529
930,121529
900,121529
870,121529
360,121529
330,121529
300,121529
270,121529
240,121529
210,121654
180,123457
150,123669
120,124569
90,125247
60,125805
30,130262
0,143949
390,121529
420,121529
450,121529
480,121529
510,121529
540,121529
570,121529
600,121529
630,121529
660,121529
690,121529
720,121529
750,121529
780,121529
810,121529
840,121529
Final, 121529,1061

Round,H_team,A_team 
0,0,1
0,15,2
0,7,3
0,4,25
0,5,6
0,16,8
0,14,9
0,10,11
0,12,17
0,13,18
0,23,19
0,20,22
0,28,21
0,26,24
0,31,27
0,30,29
0,35,32
0,39,33
0,34,38
0,37,36
1,3,0
1,1,7
1,11,2
1,6,4
1,8,5
1,24,9
1,15,10
1,18,12
1,22,13
1,29,14
1,19,16
1,30,17
1,21,20
1,33,23
1,25,34
1,26,31
1,32,27
1,37,28
1,38,35
1,36,39
2,5,0
2,16,1
2,19,2
2,27,3
2,8,4
2,6,7
2,9,17
2,33,10
2,11,15
2,12,14
2,20,13
2,22,18
2,21,30
2,35,23
2,25,24
2,26,29
2,36,28
2,34,31
2,32,38
2,39,37
3,0,8
3,1,6
3,2,16
3,3,26
3,4,5
3,7,35
3,29,9
3,10,19
3,23,11
3,22,12
3,13,27
3,14,18
3,15,20
3,17,36
3,39,21
3,24,34
3,38,25
3,28,33
3,30,37
3,31,32
4,0,2
4,9,1
4,5,3
4,34,4
4,6,8
4,7,26
4,10,16
4,11,19
4,20,12
4,13,15
4,17,14
4,18,30
4,36,21
4,31,22
4,32,23
4,29,24
4,25,37
4,35,27
4,28,39
4,33,38
5,4,0
5,1,3
5,2,20
5,19,5
5,24,6
5,27,7
5,8,25
5,12,9
5,23,10
5,21,11
5,14,13
5,22,15
5,16,39
5,17,18
5,26,32
5,28,38
5,29,34
5,30,36
5,31,35
5,37,33
6,0,15
6,2,1
6,3,32
6,9,4
6,11,5
6,6,25
6,7,31
6,37,8
6,10,20
6,12,13
6,14,22
6,36,16
6,21,17
6,18,29
6,19,28
6,39,23
6,38,24
6,27,26
6,30,34
6,33,35
7,17,0
7,1,12
7,4,2
7,35,3
7,5,7
7,34,6
7,8,19
7,18,9
7,28,10
7,16,11
7,13,31
7,26,14
7,15,33
7,20,39
7,37,21
7,22,30
7,23,38
7,32,24
7,25,36
7,29,27
8,29,0
8,1,26
8,2,12
8,23,3
8,4,24
8,15,5
8,38,6
8,7,13
8,8,11
8,9,30
8,39,10
8,31,14
8,28,16
8,17,20
8,21,18
8,19,37
8,22,27
8,25,32
8,36,33
8,35,34
9,24,0
9,18,1
9,2,22
9,3,13
9,17,4
9,10,5
9,6,9
9,32,7
9,34,8
9,11,39
9,12,21
9,14,30
9,27,15
9,16,37
9,33,19
9,20,36
9,28,23
9,29,25
9,26,35
9,31,38
10,0,6
10,20,1
10,2,17
10,4,3
10,5,9
10,38,7
10,32,8
10,13,10
10,11,28
10,30,12
10,27,14
10,31,15
10,33,16
10,18,24
10,19,39
10,21,22
10,23,36
10,25,35
10,34,26
10,37,29
11,10,0
11,1,4
11,14,2
11,8,3
11,5,39
11,6,26
11,7,18
11,9,27
11,13,11
11,12,31
11,15,23
11,16,21
11,17,25
11,35,19
11,28,20
11,22,33
11,24,30
11,36,29
11,34,32
11,37,38
12,0,13
12,1,22
12,2,9
12,3,11
12,4,21
12,5,28
12,6,35
12,15,7
12,12,8
12,10,36
12,14,25
12,16,29
12,24,17
12,18,31
12,32,19
12,20,33
12,23,37
12,26,30
12,27,34
12,39,38
13,0,12
13,14,1
13,21,2
13,22,3
13,37,4
13,34,5
13,32,6
13,7,23
13,8,28
13,9,13
13,10,35
13,11,36
13,15,16
13,29,17
13,20,18
13,38,19
13,31,24
13,26,25
13,33,27
13,30,39
14,0,21
14,30,1
14,2,18
14,3,15
14,39,4
14,32,5
14,31,6
14,7,10
14,9,8
14,11,33
14,12,29
14,13,35
14,24,14
14,20,16
14,22,17
14,19,36
14,23,27
14,25,28
14,38,26
14,37,34
15,18,0
15,1,15
15,5,2
15,6,3
15,28,4
15,14,7
15,8,24
15,22,9
15,27,10
15,38,11
15,26,12
15,13,32
15,16,30
15,17,37
15,19,25
15,23,20
15,21,33
15,29,31
15,36,34
15,35,39
16,0,14
16,1,24
16,3,2
16,4,16
16,26,5
16,6,19
16,7,12
16,8,21
16,9,37
16,10,32
16,11,20
16,13,23
16,17,15
16,18,27
16,29,22
16,31,25
16,28,35
16,30,33
16,34,39
16,36,38
17,20,0
17,17,1
17,10,2
17,3,31
17,4,29
17,5,24
17,23,6
17,19,7
17,30,8
17,21,9
17,35,11
17,27,12
17,33,13
17,14,37
17,15,36
17,16,38
17,18,26
17,25,22
17,34,28
17,32,39
18,33,0
18,1,31
18,2,36
18,3,34
18,12,4
18,35,5
18,6,17
18,28,7
18,29,8
18,9,26
18,10,38
18,32,11
18,39,13
18,21,14
18,15,19
18,16,23
18,37,18
18,30,20
18,24,22
18,25,27
19,39,0
19,1,28
19,2,31
19,17,3
19,18,4
19,38,5
19,16,6
19,33,7
19,26,8
19,25,9
19,22,10
19,11,37
19,12,15
19,36,13
19,20,14
19,19,21
19,23,34
19,24,35
19,27,30
19,29,32
20,0,28
20,1,25
20,2,6
20,14,3
20,4,19
20,5,16
20,7,11
20,8,36
20,9,35
20,12,10
20,13,34
20,15,18
20,17,39
20,27,20
20,23,21
20,26,22
20,24,37
20,38,29
20,31,30
20,32,33
21,9,0
21,19,1
21,30,2
21,3,16
21,14,4
