51,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,157004,NrInfeasibleMatchings,9467
Time,Value 
1350,124854
1320,124854
1290,124854
1260,124854
1230,124854
1200,124854
1170,124854
1140,124854
1110,124854
1080,124854
1050,124854
1020,124854
990,124854
960,124854
930,124854
900,124854
870,124854
360,125157
330,125464
300,125464
270,125530
240,125834
210,126070
180,126096
150,126219
120,126275
90,126388
60,126995
30,127970
0,142268
390,125157
420,125157
450,125157
480,125141
510,125121
540,125121
570,124854
600,124854
630,124854
660,124854
690,124854
720,124854
750,124854
780,124854
810,124854
840,124854
Final, 124854,1376

Round,H_team,A_team 
0,0,18
0,1,14
0,2,12
0,5,3
0,4,9
0,6,8
0,11,7
0,10,15
0,13,27
0,19,16
0,17,29
0,20,22
0,28,21
0,33,23
0,25,24
0,26,31
0,37,30
0,35,32
0,38,34
0,36,39
1,7,0
1,3,1
1,18,2
1,24,4
1,5,8
1,32,6
1,14,9
1,23,10
1,19,11
1,12,17
1,31,13
1,22,15
1,28,16
1,21,20
1,34,25
1,27,26
1,30,29
1,39,33
1,38,35
1,37,36
2,0,2
2,7,1
2,3,26
2,4,29
2,5,35
2,6,24
2,8,16
2,9,17
2,10,20
2,11,23
2,14,12
2,13,15
2,22,18
2,19,28
2,21,30
2,38,25
2,31,27
2,32,34
2,36,33
2,39,37
3,12,0
3,2,1
3,27,3
3,17,4
3,34,5
3,25,6
3,26,7
3,24,8
3,29,9
3,33,10
3,16,11
3,20,13
3,18,14
3,15,23
3,37,19
3,39,21
3,30,22
3,28,36
3,35,31
3,32,38
4,0,15
4,1,16
4,2,20
4,31,3
4,4,6
4,25,5
4,7,38
4,8,11
4,9,18
4,13,10
4,22,12
4,14,17
4,36,19
4,21,37
4,23,35
4,24,34
4,29,26
4,27,32
4,33,28
4,30,39
5,1,0
5,15,2
5,3,7
5,8,4
5,5,24
5,6,14
5,12,9
5,10,22
5,11,13
5,16,36
5,17,30
5,18,29
5,19,21
5,20,33
5,23,38
5,37,25
5,34,26
5,35,27
5,28,39
5,32,31
6,0,20
6,13,1
6,2,16
6,3,15
6,19,4
6,5,6
6,7,27
6,8,36
6,9,30
6,11,10
6,18,12
6,14,29
6,17,21
6,22,33
6,23,32
6,31,24
6,39,25
6,38,26
6,37,28
6,35,34
7,4,0
7,1,17
7,9,2
7,32,3
7,11,5
7,34,6
7,13,7
7,25,8
7,10,19
7,12,21
7,14,22
7,20,15
7,16,39
7,30,18
7,28,23
7,27,24
7,26,35
7,29,31
7,33,37
7,36,38
8,0,11
8,6,1
8,2,17
8,13,3
8,4,25
8,5,10
8,15,7
8,8,39
8,9,22
8,30,12
8,14,31
8,16,33
8,21,18
8,23,19
8,36,20
8,24,35
8,26,32
8,29,27
8,28,34
8,37,38
9,3,0
9,1,9
9,7,2
9,12,4
9,15,5
9,6,10
9,17,8
9,11,36
9,22,13
9,27,14
9,16,21
9,18,26
9,19,39
9,20,30
9,31,23
9,29,24
9,25,32
9,35,28
9,33,38
9,34,37
10,0,13
10,4,1
10,2,22
10,3,23
10,5,7
10,6,29
10,8,34
10,9,31
10,10,35
10,39,11
10,20,12
10,14,26
10,15,27
10,37,16
10,17,18
10,19,33
10,36,21
10,24,32
10,30,25
10,38,28
11,21,0
11,1,30
11,11,2
11,12,3
11,18,4
11,32,5
11,7,6
11,37,8
11,27,9
11,28,10
11,13,14
11,33,15
11,16,34
11,22,17
11,35,19
11,39,20
11,23,36
11,26,24
11,29,25
11,31,38
12,0,30
12,1,18
12,2,21
12,3,6
12,4,16
12,38,5
12,7,31
12,8,28
12,35,9
12,36,10
12,11,20
12,12,29
12,13,17
12,15,14
12,19,34
12,27,22
12,39,23
12,24,37
12,25,26
12,33,32
13,16,0
13,1,12
13,14,2
13,9,3
13,37,4
13,23,5
13,6,31
13,29,7
13,21,8
13,10,39
13,15,11
13,18,13
13,20,17
13,19,38
13,26,22
13,30,24
13,36,25
13,34,27
13,28,32
13,35,33
14,6,0
14,8,1
14,3,2
14,4,31
14,5,19
14,24,7
14,9,26
14,10,21
14,11,35
14,12,13
14,30,14
14,15,39
14,16,38
14,17,37
14,27,18
14,23,20
14,22,29
14,28,25
14,36,32
14,34,33
15,8,0
15,19,1
15,2,4
15,35,3
15,39,5
15,6,16
15,7,10
15,21,9
15,33,11
15,26,12
15,13,23
15,14,24
15,32,15
15,25,17
15,18,37
15,20,28
15,31,22
15,38,27
15,29,34
15,30,36
16,0,10
16,1,25
16,2,13
16,38,3
16,21,4
16,36,5
16,28,6
16,32,7
16,8,19
16,9,24
16,11,18
16,31,12
16,14,20
16,35,15
16,23,16
16,34,17
16,22,39
16,26,30
16,33,27
16,37,29
17,9,0
17,5,1
17,10,2
17,19,3
17,4,34
17,6,26
17,7,23
17,38,8
17,11,28
17,12,39
17,13,33
17,16,14
17,15,21
17,17,36
17,18,31
17,20,37
17,24,22
17,25,35
17,27,30
17,29,32
18,0,19
18,10,1
18,2,37
18,3,11
18,5,4
18,6,38
18,33,7
18,32,8
18,25,9
18,12,36
18,26,13
18,21,14
18,15,28
18,16,20
18,17,24
18,18,39
18,34,22
18,27,23
18,29,35
18,31,30
19,14,0
19,1,27
19,28,2
19,3,25
19,4,10
19,5,33
19,36,6
19,39,7
19,23,8
19,34,9
19,11,21
19,12,37
19,29,13
19,15,31
19,24,16
19,26,17
19,20,18
19,19,32
19,38,22
19,30,35
20,0,27
20,1,15
20,39,2
20,22,3
20,14,4
20,28,5
20,37,6
20,7,25
20,8,29
20,9,20
20,10,31
20,38,11
20,24,12
20,30,13
20,16,32
20,35,17
20,33,18
20,26,19
20,23,21
20,34,36
21,0,29
21,1,20
21,36,2
21,3,14
21,4,30
21,5,16
21,6,9
21,7,22
21,12,8
21,37,10
21,32,11
21,13,35
21,15,26
21,17,28
21,18,24
21,27,19
21,33,21
21,23,34
21,25,31
21,39,38
22,0,5
22,22,1
22,2,30
22,18,3
22,36,4
22,33,6
22,7,14
22,8,9
22,10,38
22,34,11
22,15,12
22,32,13
22,16,17
22,31,19
22,20,26
22,21,24
22,37,23
22,27,25
22,29,28
22,35,39
23,26,0
23,31,1
23,2,33
23,17,3
23,4,32
23,5,9
23,23,6
23,19,7
23,8,30
23,14,10
23,11,37
23,12,27
23,38,13
23,15,18
23,25,16
23,20,29
23,22,21
23,24,28
23,34,39
23,36,35
24,31,0
24,11,1
24,2,8
24,3,4
24,5,37
24,6,12
24,28,7
24,9,33
24,18,10
24,34,13
24,25,14
24,19,15
24,30,16
24,17,27
24,20,35
24,21,29
24,22,36
24,23,26
24,24,38
24,32,39
25,0,22
25,1,24
25,27,2
25,3,20
25,4,23
25,13,5
25,6,19
25,37,7
25,8,31
25,9,11
25,10,32
25,12,25
25,14,34
25,38,15
25,29,16
25,39,17
25,18,36
25,21,35
25,33,26
25,28,30
26,36,0
26,1,32
26,31,2
26,3,24
26,4,39
26,5,21
26,6,15
26,7,18
26,8,22
26,9,23
26,16,10
26,14,11
26,12,34
26,13,25
26,33,17
26,29,19
26,27,20
26,28,26
26,38,30
26,35,37
27,39,0
27,21,1
27,26,2
27,29,3
27,4,28
27,27,5
27,17,6
27,7,9
27,10,8
27,11,12
27,16,13
27,38,14
27,15,36
27,35,18
27,24,19
27,31,20
27,22,23
27,25,33
27,30,34
27,32,37
28,0,28
28,39,1
28,2,29
28,30,3
28,22,4
28,31,5
28,21,6
28,34,7
28,20,8
28,19,9
28,10,27
28,25,11
28,23,12
28,13,36
28,35,14
28,16,15
28,17,38
28,32,18
28,24,33
28,26,37
29,0,34
29,1,29
29,2,23
29,3,36
29,20,4
29,26,5
29,39,6
29,7,35
29,18,8
29,9,38
29,10,12
29,24,11
29,13,28
29,32,14
29,37,15
29,22,16
29,17,31
29,25,19
29,21,27
29,30,33
