56,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,159388,NrInfeasibleMatchings,12510
Time,Value 
1380,124708
1350,124708
1320,124708
1290,124708
1260,124708
1230,124708
1200,124708
1170,124708
1140,124708
1110,124708
1080,124708
1050,124708
1020,124708
990,124708
960,124708
930,124708
900,124708
870,124708
360,124889
330,124946
300,125127
270,125405
240,125405
210,125405
180,125473
150,125812
120,126170
90,126170
60,126519
30,129526
0,146142
390,124852
420,124782
450,124782
480,124782
510,124782
540,124757
570,124757
600,124708
630,124708
660,124708
690,124708
720,124708
750,124708
780,124708
810,124708
840,124708
Final, 124708,1405

Round,H_team,A_team 
0,0,2
0,1,4
0,3,5
0,34,6
0,7,13
0,25,8
0,9,18
0,10,15
0,11,33
0,17,12
0,26,14
0,19,16
0,20,22
0,30,21
0,38,23
0,29,24
0,27,31
0,28,37
0,32,35
0,39,36
1,0,3
1,2,1
1,4,25
1,5,7
1,8,6
1,12,9
1,33,10
1,16,11
1,13,27
1,14,24
1,15,20
1,18,17
1,23,19
1,22,21
1,31,26
1,36,28
1,30,29
1,34,32
1,35,38
1,37,39
2,21,0
2,9,1
2,20,2
2,14,3
2,4,8
2,6,5
2,23,7
2,39,10
2,19,11
2,12,18
2,13,31
2,33,15
2,28,16
2,17,29
2,30,22
2,26,24
2,25,32
2,27,35
2,34,38
2,36,37
3,0,1
3,2,21
3,3,9
3,6,4
3,5,19
3,7,20
3,8,17
3,10,23
3,11,39
3,22,12
3,15,13
3,31,14
3,16,36
3,18,30
3,24,25
3,29,26
3,32,27
3,38,28
3,37,33
3,35,34
4,0,20
4,1,5
4,15,2
4,3,7
4,34,4
4,25,6
4,8,19
4,26,9
4,28,10
4,23,11
4,29,12
4,33,13
4,27,14
4,39,16
4,37,17
4,22,18
4,21,36
4,24,30
4,31,35
4,32,38
5,4,0
5,12,1
5,2,3
5,5,32
5,6,26
5,7,27
5,16,8
5,9,30
5,37,10
5,11,15
5,13,22
5,14,29
5,36,17
5,18,31
5,19,28
5,20,21
5,35,23
5,24,34
5,38,25
5,33,39
6,0,7
6,1,3
6,12,2
6,9,4
6,8,5
6,16,6
6,10,11
6,13,20
6,14,22
6,23,15
6,17,24
6,18,21
6,19,32
6,25,34
6,27,26
6,28,39
6,29,31
6,30,37
6,33,35
6,36,38
7,15,0
7,7,1
7,2,14
7,3,13
7,4,17
7,5,10
7,6,19
7,24,8
7,22,9
7,11,28
7,21,12
7,37,16
7,20,18
7,32,23
7,31,25
7,35,26
7,27,29
7,39,30
7,38,33
7,34,36
8,0,13
8,8,1
8,2,18
8,3,27
8,4,24
8,11,5
8,6,17
8,7,31
8,9,14
8,10,16
8,20,12
8,19,15
8,39,21
8,29,22
8,25,23
8,26,32
8,35,28
8,36,30
8,34,33
8,37,38
9,14,0
9,1,11
9,22,2
9,12,3
9,5,4
9,6,24
9,15,7
9,36,8
9,17,9
9,10,19
9,13,35
9,23,16
9,18,29
9,39,20
9,21,37
9,30,25
9,38,26
9,27,34
9,28,33
9,31,32
10,0,11
10,14,1
10,2,9
10,18,3
10,4,29
10,5,23
10,7,6
10,28,8
10,20,10
10,12,13
10,15,35
10,16,21
10,17,30
10,19,37
10,22,27
10,32,24
10,26,25
10,31,34
10,33,36
