59,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,124688,NrInfeasibleMatchings,12469
Time,Value 
1110,122744
1080,122744
1050,122744
1020,122744
990,122744
960,122744
930,122744
900,122744
870,122744
360,122744
330,122744
300,122744
270,122828
240,122828
210,122947
180,123298
150,123678
120,123678
90,123678
60,124070
30,125031
0,143031
390,122744
420,122744
450,122744
480,122744
510,122744
540,122744
570,122744
600,122744
630,122744
660,122744
690,122744
720,122744
750,122744
780,122744
810,122744
840,122744
Final, 122744,1112

Round,H_team,A_team 
0,0,1
0,2,12
0,5,3
0,8,4
0,19,6
0,26,7
0,14,9
0,11,10
0,35,13
0,23,15
0,28,16
0,30,17
0,22,18
0,21,20
0,29,24
0,34,25
0,27,31
0,32,38
0,39,33
0,36,37
1,3,0
1,1,2
1,4,5
1,6,8
1,7,27
1,9,17
1,10,23
1,15,11
1,12,21
1,13,22
1,18,14
1,16,19
1,20,33
1,24,30
1,25,29
1,31,26
1,38,28
1,35,32
1,34,36
1,37,39
2,0,2
2,1,4
2,7,3
2,5,6
2,11,8
2,24,9
2,10,20
2,18,12
2,13,15
2,14,17
2,37,16
2,28,19
2,22,21
2,33,23
2,25,30
2,26,27
2,31,29
2,32,34
2,35,38
2,36,39
3,4,0
3,9,1
3,2,13
3,3,31
3,8,5
3,6,25
3,15,7
3,16,10
3,19,11
3,12,14
3,17,24
3,30,18
3,20,22
3,21,37
3,23,35
3,29,26
3,27,32
3,39,28
3,33,36
3,38,34
4,14,0
4,1,3
4,2,7
4,4,6
4,19,5
4,8,25
4,9,12
4,33,10
4,11,23
4,13,27
4,15,22
4,21,16
4,17,18
4,39,20
4,24,26
4,36,28
4,30,29
4,31,32
4,35,34
4,37,38
5,18,0
5,6,1
5,20,2
5,3,4
5,5,11
5,7,13
5,16,8
5,30,9
5,10,15
5,12,17
5,29,14
5,23,19
5,36,21
5,22,31
5,25,24
5,34,26
5,27,35
5,28,37
5,32,33
5,38,39
6,0,5
6,1,7
6,2,15
6,3,13
6,14,4
6,6,24
6,28,8
6,18,9
6,10,19
6,11,20
6,12,30
6,36,16
6,17,29
6,39,21
6,22,27
6,23,32
6,26,25
6,31,35
6,38,33
6,37,34
7,7,0
7,5,1
7,8,2
7,27,3
7,4,12
7,34,6
7,9,22
7,35,10
7,16,11
7,13,31
7,24,14
7,15,20
7,21,17
7,29,18
7,19,36
7,23,39
7,25,38
7,32,26
7,33,28
7,37,30
8,0,9
8,18,1
8,4,2
8,3,15
8,16,5
8,6,35
8,7,31
8,17,8
8,10,36
8,21,11
8,12,22
8,20,13
8,30,14
8,19,39
8,28,23
8,24,34
8,32,25
8,38,26
8,27,29
8,33,37
9,12,0
9,1,17
9,2,21
9,26,3
9,25,4
9,5,7
9,29,6
9,9,8
9,13,10
9,39,11
9,14,27
9,15,16
9,20,18
9,37,19
9,22,30
9,36,23
9,24,32
9,34,28
9,31,38
9,35,33
10,0,20
10,1,21
10,2,9
10,3,32
10,26,4
10,28,5
10,30,6
10,7,10
10,8,24
10,11,36
10,12,29
10,13,38
10,14,22
10,15,18
10,16,39
10,17,27
10,33,19
10,37,23
10,25,35
10,31,34
11,0,15
11,1,11
11,30,2
11,14,3
11,4,16
11,39,5
11,18,6
11,32,7
11,19,8
11,9,25
11,10,28
11,20,12
11,23,13
11,22,17
11,21,33
11,24,31
11,35,26
11,27,34
11,29,37
11,38,36
12,0,19
12,13,1
12,22,2
12,3,9
12,11,4
12,5,36
12,6,32
12,38,7
12,10,8
12,12,24
12,31,14
12,15,27
12,16,33
12,17,25
12,21,18
12,20,23
12,26,37
12,28,35
12,34,29
12,39,30
13,31,0
13,27,1
13,2,19
13,3,6
13,4,34
13,5,10
13,7,22
13,23,8
13,9,20
13,11,28
13,12,13
13,26,14
13,33,15
13,25,16
13,17,39
13,36,18
13,30,21
13,24,38
13,32,29
13,37,35
14,27,0
14,26,1
14,2,17
14,19,3
14,4,9
14,13,5
14,6,10
14,23,7
14,8,34
14,11,33
14,16,12
14,14,21
14,28,15
14,39,18
14,20,30
14,32,22
14,24,37
14,25,31
14,38,29
14,36,35
15,22,0
15,1,14
15,3,2
15,29,4
15,23,5
15,6,17
15,7,11
15,30,8
15,9,26
15,10,39
15,36,12
15,33,13
15,15,32
15,16,34
15,18,24
15,35,19
15,31,20
15,21,28
15,37,25
15,38,27
16,0,10
16,22,1
16,14,2
16,34,3
16,24,4
16,5,38
16,6,11
16,7,35
16,8,21
16,9,29
16,37,12
16,28,13
16,15,31
16,16,23
16,17,26
16,33,18
16,32,19
16,27,20
16,39,25
16,30,36
17,11,0
17,1,24
17,2,29
17,3,35
17,4,7
17,34,5
17,38,6
17,8,37
17,21,9
17,10,32
17,12,33
17,13,14
17,19,15
17,20,16
17,17,36
17,18,27
17,39,22
17,23,31
17,25,28
17,26,30
18,0,13
18,8,1
18,18,2
18,3,25
18,4,28
18,26,5
18,23,6
18,7,14
18,39,9
18,10,31
18,38,11
18,12,27
18,15,35
18,16,32
18,17,20
18,19,34
18,21,24
18,37,22
18,29,36
18,30,33
19,0,21
19,1,10
19,27,2
19,24,3
19,30,4
19,5,15
19,6,16
19,7,25
19,36,8
19,9,33
19,35,11
19,26,12
19,13,19
19,14,20
19,28,17
19,31,18
19,22,29
19,38,23
19,32,37
19,34,39
20,0,16
20,1,25
20,31,2
20,3,12
20,17,4
20,5,37
20,6,26
20,7,19
20,8,38
20,9,10
20,11,13
20,15,14
20,32,18
20,20,36
20,29,21
20,33,22
20,34,23
20,24,27
20,30,28
20,35,39
21,8,0
21,12,1
21,2,11
21,3,29
21,4,37
21,25,5
21,14,6
21,20,7
21,27,9
21,18,10
21,13,36
21,21,15
21,16,17
21,19,38
21,23,22
21,24,35
21,26,39
21,28,32
21,31,30
21,33,34
22,0,24
22,1,29
22,2,6
22,17,3
22,4,31
22,5,33
22,18,7
22,8,12
22,35,9
22,10,34
22,14,11
22,26,13
22,37,15
22,38,16
22,19,21
22,28,20
22,22,36
22,25,23
22,27,30
22,39,32
23,0,17
23,33,1
23,2,24
23,3,8
23,4,38
23,5,14
23,6,28
23,12,7
23,9,31
23,10,37
23,18,11
23,29,13
23,39,15
23,35,16
23,19,20
23,21,23
23,22,26
23,25,27
23,34,30
23,36,32
24,6,0
24,36,1
24,16,2
24,33,3
24,32,4
24,5,35
24,7,24
24,8,39
24,9,38
24,21,10
24,11,37
24,15,12
24,13,18
24,14,25
24,17,31
24,27,19
24,20,26
24,34,22
24,30,23
24,29,28
25,34,0
25,37,1
25,10,2
25,23,3
25,4,39
25,21,5
25,6,36
25,7,30
25,8,35
25,9,16
25,11,12
25,13,32
25,14,28
25,15,26
25,17,38
25,18,25
25,31,19
25,29,20
25,24,22
25,27,33
26,38,0
26,1,35
26,23,2
26,10,3
26,4,36
26,18,5
26,27,6
26,28,7
26,8,29
26,37,9
26,11,32
26,12,39
26,13,21
26,14,16
26,15,30
26,17,34
26,26,19
26,24,20
26,25,22
26,31,33
27,0,30
27,1,15
27,2,38
27,3,11
27,19,4
27,12,5
27,31,6
27,39,7
27,20,8
27,36,9
27,22,10
27,25,13
27,32,14
27,29,16
27,37,17
27,18,34
27,35,21
27,23,27
27,28,24
27,26,33
28,0,23
28,1,38
28,2,26
28,20,3
28,33,4
28,5,31
28,6,37
28,36,7
28,22,8
28,28,9
28,30,10
28,11,27
28,25,12
28,34,13
28,35,14
28,29,15
28,16,18
28,19,17
28,32,21
28,39,24
29,29,0
29,32,1
29,2,28
29,22,3
29,35,4
29,5,17
29,7,6
29,15,8
29,9,23
29,10,27
29,11,31
29,34,12
29,13,39
29,38,14
29,16,30
29,19,18
29,20,37
29,21,26
29,36,24
29,33,25
