85,MiaoAlgo,I_GAL40_30,1,100
NrSuccesfullMatchings,138499,NrInfeasibleMatchings,2689
Time,Value 
1140,123891
1110,123891
1080,123891
1050,123891
1020,123891
990,123891
960,123891
930,123891
900,123891
870,123891
360,123891
330,123961
300,123961
270,124394
240,124582
210,124643
180,124725
150,124725
120,124725
90,124725
60,124725
30,125102
0,144124
390,123891
420,123891
450,123891
480,123891
510,123891
540,123891
570,123891
600,123891
630,123891
660,123891
690,123891
720,123891
750,123891
780,123891
810,123891
840,123891
Final, 123891,1143

Round,H_team,A_team 
0,0,3
0,1,6
0,2,8
0,4,34
0,5,38
0,13,7
0,9,14
0,10,23
0,11,19
0,18,12
0,22,15
0,21,16
0,30,17
0,20,33
0,24,25
0,29,26
0,27,31
0,37,28
0,35,32
0,36,39
1,6,0
1,3,1
1,7,2
1,8,4
1,32,5
1,17,9
1,19,10
1,23,11
1,12,22
1,27,13
1,14,18
1,31,15
1,16,20
1,28,21
1,26,24
1,25,34
1,29,30
1,39,33
1,38,35
1,36,37
2,4,0
2,2,1
2,9,3
2,23,5
2,6,8
2,12,7
2,10,11
2,20,13
2,14,26
2,27,15
2,19,16
2,17,18
2,21,36
2,30,22
2,24,31
2,29,25
2,39,28
2,32,38
2,37,33
2,34,35
3,1,0
3,2,12
3,3,4
3,5,6
3,7,14
3,8,17
3,18,9
3,15,10
3,13,11
3,16,39
3,28,19
3,22,20
3,33,21
3,35,23
3,24,29
3,25,37
3,26,27
3,36,30
3,31,32
3,38,34
4,0,2
4,1,12
4,7,3
4,5,4
4,6,17
4,8,16
4,29,9
4,10,13
4,11,15
4,22,14
4,18,20
4,19,39
4,21,30
4,23,34
4,24,37
4,38,25
4,26,31
4,27,32
4,36,28
4,33,35
5,12,0
5,9,1
5,14,2
5,3,19
5,4,6
5,11,5
5,31,7
5,25,8
5,20,10
5,13,22
5,15,23
5,16,36
5,17,29
5,30,18
5,39,21
5,34,24
5,32,26
5,35,27
5,28,33
5,37,38
6,0,9
6,1,19
6,18,2
6,3,27
6,4,36
6,5,16
6,25,6
6,32,7
6,34,8
6,22,10
6,11,39
6,12,17
6,13,31
6,14,29
6,15,20
6,21,37
6,23,28
6,24,30
6,26,35
6,33,38
7,16,0
7,24,1
7,2,9
7,3,13
7,37,4
7,19,5
7,6,26
7,7,27
7,38,8
7,10,21
7,28,11
7,12,14
7,39,15
7,17,22
7,29,18
7,23,20
7,30,25
7,31,35
7,32,34
7,36,33
8,0,13
8,34,1
8,22,2
8,6,3
8,39,4
8,5,10
8,26,7
8,8,36
8,9,30
8,33,11
8,24,12
8,17,14
8,37,15
8,28,16
8,18,21
8,23,19
8,35,20
8,25,32
8,27,38
8,31,29
9,15,0
9,1,18
9,20,2
9,3,31
9,4,32
9,5,8
9,7,6
9,9,22
9,10,33
9,11,16
9,12,30
9,13,29
9,14,24
9,21,17
9,19,36
9,38,23
9,26,25
9,34,27
9,28,35
9,37,39
10,0,18
10,14,1
10,16,2
10,3,29
10,4,22
10,5,36
10,13,6
10,15,7
10,8,32
10,9,12
10,10,28
10,35,11
10,17,26
10,19,34
10,20,21
10,33,23
10,24,27
10,31,25
10,30,37
10,39,38
11,11,0
11,1,4
11,2,17
11,26,3
11,34,5
11,6,16
11,7,10
11,28,8
11,21,9
11,12,20
11,15,13
11,14,30
11,18,24
11,38,19
11,22,31
11,36,23
11,25,27
11,29,37
11,32,33
11,35,39
12,0,14
12,1,31
12,2,4
12,3,10
12,5,7
12,24,6
12,19,8
12,16,9
12,36,11
12,21,12
12,13,32
12,33,15
12,17,37
12,22,18
12,30,20
12,23,39
12,25,35
12,34,26
12,27,29
12,28,38
13,10,0
13,1,17
13,15,2
13,5,3
13,4,25
13,6,9
13,11,7
13,8,21
13,39,12
13,23,13
13,14,20
13,37,16
13,31,18
13,33,19
13,22,27
13,32,24
13,26,30
13,34,28
13,35,29
13,38,36
14,0,8
14,15,1
14,11,2
14,3,18
14,4,14
14,25,5
14,19,6
14,7,23
14,9,26
14,16,10
14,37,12
14,33,13
14,17,27
14,20,39
14,21,22
14,38,24
14,28,32
14,29,34
14,31,30
14,35,36
15,0,17
15,1,7
15,2,21
15,32,3
15,10,4
15,5,15
15,38,6
15,8,11
15,13,9
15,12,29
15,14,25
15,16,33
15,18,26
15,37,19
15,36,20
15,39,22
15,27,23
15,35,24
15,30,28
15,34,31
16,24,0
16,1,26
16,30,2
16,3,23
16,4,11
16,5,33
16,6,31
16,7,35
16,8,37
16,9,25
16,10,38
16,16,12
16,18,13
16,14,27
16,15,21
16,17,20
16,19,32
16,36,22
16,29,28
16,39,34
17,0,5
17,22,1
17,2,10
17,35,3
17,29,4
17,6,11
17,7,18
17,33,8
17,20,9
17,12,27
17,13,38
17,31,14
17,32,15
17,23,16
17,24,17
17,21,19
17,25,36
17,26,28
17,39,30
17,37,34
18,0,7
18,1,5
18,6,2
18,38,3
18,24,4
18,8,12
18,28,9
18,10,39
18,11,21
18,13,26
18,32,14
18,35,15
18,16,25
18,17,31
18,18,27
18,20,19
18,22,29
18,23,37
18,33,30
18,34,36
19,0,33
19,27,1
19,2,13
19,25,3
19,4,17
19,5,39
19,35,6
19,22,7
19,18,8
19,9,24
19,37,10
19,11,32
19,12,31
19,14,34
19,15,16
19,19,30
19,20,28
19,21,23
19,26,38
19,29,36
20,29,0
20,1,33
20,2,5
20,3,24
20,9,4
