29,MiaoAlgo,I_INCR40_10,1,100
NrSuccesfullMatchings,143057,NrInfeasibleMatchings,0
Time,Value 
270,21266
240,21266
210,21266
180,21266
150,21266
120,21266
90,21266
60,21400
30,21682
0,22814
Final, 21266,286

Round,H_team,A_team 
0,1,0
0,7,2
0,6,3
0,5,4
0,9,8
0,11,10
0,13,12
0,14,17
0,15,16
0,18,19
0,20,21
0,25,22
0,24,23
0,26,31
0,27,30
0,28,29
0,33,32
0,39,34
0,36,35
0,38,37
1,0,3
1,2,1
1,4,7
1,5,6
1,8,17
1,9,11
1,10,13
1,12,14
1,15,22
1,16,18
1,19,20
1,21,24
1,23,27
1,25,26
1,32,28
1,30,29
1,31,33
1,34,35
1,37,36
1,39,38
2,4,0
2,6,1
2,3,2
2,8,5
2,7,9
2,12,10
2,13,11
2,14,15
2,16,22
2,17,18
2,19,24
2,20,25
2,21,27
2,23,26
2,33,28
2,29,31
2,30,32
2,38,34
2,35,37
2,36,39
3,0,13
3,1,7
3,2,6
3,3,8
3,4,10
3,5,9
3,11,12
3,18,14
3,15,17
3,20,16
3,28,19
3,22,21
3,25,23
3,26,24
3,27,29
3,31,30
3,32,35
3,39,33
3,37,34
3,36,38
4,2,0
4,3,1
4,12,4
4,7,5
4,8,6
4,9,10
4,14,11
4,17,13
4,23,15
4,24,16
4,21,18
4,34,19
4,22,20
4,27,25
4,29,26
4,30,28
4,32,31
4,36,33
4,35,38
4,37,39
5,0,7
5,8,1
5,2,5
5,12,3
5,11,4
5,9,6
5,10,14
5,18,13
5,21,15
5,23,16
5,20,17
5,30,19
5,22,24
5,28,25
5,27,26
5,32,29
5,31,37
5,38,33
5,34,36
5,39,35
6,5,0
6,9,1
6,4,2
6,11,3
6,6,10
6,7,8
6,15,12
6,13,14
6,16,17
6,18,20
6,19,22
6,21,23
6,24,25
6,26,37
6,28,27
6,36,29
6,35,30
6,31,38
6,39,32
6,33,34
7,0,8
7,1,5
7,11,2
7,10,3
7,4,9
7,7,6
7,17,12
7,15,13
7,16,14
7,18,22
7,19,21
7,20,23
7,27,24
7,25,39
7,26,28
7,29,38
7,34,30
7,31,36
7,37,32
7,35,33
8,0,9
8,1,4
8,8,2
8,3,5
8,6,11
8,13,7
8,10,15
8,16,12
8,14,20
8,17,21
8,24,18
8,19,25
8,22,23
8,26,39
8,33,27
8,28,36
8,29,35
8,37,30
8,34,31
8,38,32
9,6,0
9,1,15
9,2,9
9,3,4
9,5,11
9,14,7
9,10,8
9,12,20
9,13,16
9,17,19
9,23,18
9,25,21
9,22,26
9,24,28
9,38,27
9,29,39
9,30,36
9,35,31
9,32,34
9,33,37
