58,MiaoAlgo,I_INCR40_10,1,100
NrSuccesfullMatchings,130595,NrInfeasibleMatchings,0
Time,Value 
240,20352
210,20352
180,20352
150,20352
120,20352
90,20352
60,20362
30,20444
0,22620
Final, 20352,265

Round,H_team,A_team 
0,0,5
0,1,4
0,2,3
0,6,9
0,7,8
0,10,11
0,12,13
0,14,19
0,15,18
0,16,17
0,21,20
0,23,22
0,25,24
0,35,26
0,34,27
0,30,28
0,31,29
0,33,32
0,37,36
0,38,39
1,3,0
1,2,1
1,4,5
1,6,8
1,7,11
1,9,10
1,14,12
1,13,15
1,18,16
1,17,19
1,20,22
1,24,21
1,23,25
1,28,26
1,33,27
1,30,29
1,32,31
1,34,35
1,38,36
1,37,39
2,1,0
2,5,2
2,3,4
2,11,6
2,10,7
2,9,8
2,16,12
2,14,13
2,17,15
2,21,18
2,20,19
2,22,25
2,24,23
2,26,32
2,27,28
2,29,35
2,30,34
2,31,33
2,39,36
2,37,38
3,0,6
3,1,3
3,2,4
3,5,7
3,8,10
3,12,9
3,13,11
3,15,14
3,19,16
3,18,17
3,23,20
3,22,21
3,24,27
3,26,25
3,28,31
3,29,32
3,39,30
3,36,33
3,34,38
3,35,37
4,0,2
4,7,1
4,3,5
4,8,4
4,6,10
4,9,11
4,12,18
4,13,21
4,14,16
4,15,19
4,17,23
4,20,26
4,22,24
4,25,27
4,29,28
4,31,30
4,32,39
4,38,33
4,34,37
4,35,36
5,4,0
5,6,1
5,2,8
5,7,3
5,5,10
5,9,18
5,11,12
5,16,13
5,17,14
5,15,21
5,19,23
5,24,20
5,26,22
5,28,25
5,27,29
5,33,30
5,39,31
5,37,32
5,36,34
5,38,35
6,0,11
6,1,8
6,2,7
6,9,3
6,10,4
6,5,6
6,12,15
6,17,13
6,14,18
6,20,16
6,19,24
6,21,23
6,28,22
6,25,29
6,26,27
6,30,36
6,38,31
6,32,34
6,37,33
6,39,35
7,0,7
7,1,5
7,6,2
7,8,3
7,4,9
7,10,12
7,11,15
7,19,13
7,23,14
7,21,16
7,20,17
7,18,24
7,27,22
7,25,30
7,26,29
7,28,37
7,36,31
7,32,38
7,35,33
7,34,39
8,13,0
8,11,1
8,10,2
8,3,6
8,4,7
8,5,9
8,8,12
8,27,14
8,15,20
8,16,24
8,22,17
8,18,19
8,21,25
8,23,26
8,36,28
8,29,37
8,30,38
8,31,34
8,32,35
8,33,39
9,12,0
9,13,1
9,11,2
9,3,10
9,4,6
9,8,5
9,7,9
9,22,14
9,16,15
9,25,17
9,18,20
9,19,21
9,27,23
9,24,26
9,39,28
9,29,38
9,35,30
9,31,37
9,36,32
9,33,34
