62,MiaoAlgo,I_INCR40_10,1,100
NrSuccesfullMatchings,112875,NrInfeasibleMatchings,0
Time,Value 
210,20192
180,20192
150,20192
120,20192
90,20192
60,20192
30,20192
0,23878
Final, 20192,229

Round,H_team,A_team 
0,0,1
0,5,2
0,4,3
0,7,6
0,11,8
0,10,9
0,12,13
0,15,14
0,16,17
0,23,18
0,22,19
0,21,20
0,25,24
0,26,27
0,37,28
0,36,29
0,35,30
0,34,31
0,33,32
0,38,39
1,3,0
1,1,2
1,4,5
1,8,6
1,9,7
1,16,10
1,12,11
1,14,13
1,17,15
1,20,18
1,19,21
1,25,22
1,24,23
1,29,26
1,30,27
1,39,28
1,31,33
1,32,34
1,36,35
1,37,38
2,5,0
2,3,1
2,2,4
2,11,6
2,12,7
2,9,8
2,13,10
2,14,19
2,15,16
2,17,20
2,18,21
2,29,22
2,31,23
2,26,24
2,27,25
2,33,28
2,32,30
2,39,34
2,35,38
2,37,36
3,0,4
3,7,1
3,3,2
3,8,5
3,6,9
3,10,11
3,21,12
3,16,13
3,17,14
3,18,15
3,19,20
3,22,26
3,23,25
3,27,24
3,28,29
3,33,30
3,35,31
3,36,32
3,38,34
3,39,37
4,0,10
4,11,1
4,2,8
4,7,3
4,6,4
4,9,5
4,20,12
4,15,13
4,14,16
4,21,17
4,18,19
4,22,23
4,28,24
4,25,26
4,29,27
4,30,31
4,38,32
4,33,35
4,34,37
4,36,39
5,2,0
5,1,8
5,6,3
5,4,9
5,7,5
5,10,15
5,13,11
5,12,16
5,14,18
5,19,17
5,22,20
5,21,25
5,23,26
5,24,30
5,27,28
5,31,29
5,39,32
5,34,33
5,37,35
5,38,36
6,0,8
6,4,1
6,2,15
6,3,9
6,5,6
6,13,7
6,10,12
6,14,11
6,16,19
6,17,24
6,18,22
6,20,25
6,23,21
6,26,30
6,27,38
6,28,34
6,32,29
6,31,36
6,37,33
6,39,35
7,0,15
7,1,9
7,6,2
7,5,3
7,4,12
7,11,7
7,8,13
7,10,14
7,16,22
7,18,17
7,19,25
7,20,23
7,24,21
7,26,38
7,35,27
7,28,31
7,29,34
7,30,36
7,32,37
7,33,39
8,6,0
8,1,5
8,2,7
8,3,12
8,13,4
8,8,10
8,9,14
8,15,11
8,21,16
8,17,22
8,25,18
8,19,23
8,24,20
8,28,26
8,27,37
8,29,38
8,30,39
8,32,31
8,36,33
8,34,35
9,7,0
9,1,6
9,9,2
9,8,3
9,11,4
9,5,10
9,12,14
9,13,17
9,15,19
9,20,16
9,24,18
9,22,21
9,23,27
9,25,28
9,26,37
9,30,29
9,31,39
9,35,32
9,38,33
9,34,36
