27,MiaoAlgo,I_INCR40_20,1,100
NrSuccesfullMatchings,127453,NrInfeasibleMatchings,509
Time,Value 
690,92670
660,92670
630,92670
600,92670
570,92670
540,92670
510,92670
480,92670
450,92670
420,92670
390,92670
0,184888
30,95170
60,94982
90,94982
120,93242
150,92692
180,92670
210,92670
240,92670
270,92670
300,92670
330,92670
360,92670
Final, 92670,700

Round,H_team,A_team 
0,1,0
0,2,7
0,3,4
0,5,6
0,9,8
0,10,13
0,11,12
0,15,14
0,17,16
0,39,18
0,27,19
0,23,20
0,22,21
0,34,24
0,31,25
0,28,26
0,30,29
0,33,32
0,37,35
0,38,36
1,2,0
1,1,3
1,4,13
1,5,9
1,6,11
1,7,8
1,10,12
1,14,16
1,17,15
1,18,20
1,19,22
1,21,23
1,26,24
1,27,25
1,28,30
1,29,33
1,32,31
1,34,35
1,36,39
1,37,38
2,0,3
2,1,4
2,2,5
2,6,9
2,7,33
2,8,25
2,10,20
2,11,14
2,12,17
2,13,27
2,15,24
2,16,22
2,18,36
2,19,23
2,21,28
2,26,29
2,30,38
2,31,35
2,32,34
2,37,39
3,7,0
3,6,1
3,3,2
3,5,4
3,32,8
3,12,9
3,17,10
3,13,11
3,20,14
3,16,15
3,19,18
3,25,21
3,24,22
3,29,23
3,30,26
3,28,27
3,31,34
3,35,33
3,36,37
3,38,39
4,4,0
4,2,1
4,3,5
4,10,6
4,9,7
4,38,8
4,18,11
4,23,12
4,17,13
4,21,14
4,22,15
4,24,16
4,20,19
4,33,25
4,34,26
4,30,27
4,29,28
4,39,31
4,37,32
4,35,36
5,6,0
5,1,5
5,2,4
5,7,3
5,8,33
5,10,9
5,11,38
5,12,13
5,14,22
5,15,28
5,16,20
5,17,24
5,18,21
5,19,34
5,23,30
5,25,39
5,26,35
5,27,29
5,37,31
5,36,32
6,0,9
6,8,1
6,11,2
6,10,3
6,4,6
6,5,7
6,14,12
6,13,15
6,29,16
6,20,17
6,22,18
6,21,19
6,24,23
6,25,26
6,34,27
6,28,33
6,37,30
6,36,31
6,39,32
6,38,35
7,0,5
7,16,1
7,12,2
7,3,8
7,9,4
7,6,7
7,15,10
7,20,11
7,13,14
7,17,19
7,23,18
7,21,29
7,22,26
7,24,37
7,25,28
7,31,27
7,30,36
7,32,38
7,33,34
7,39,35
8,8,0
8,1,30
8,2,20
8,3,21
8,4,12
8,5,15
8,6,13
8,7,22
8,9,25
8,10,11
8,14,17
8,16,19
8,18,24
8,23,28
8,26,37
8,27,36
8,29,39
8,31,33
8,35,32
8,38,34
9,11,0
9,7,1
9,9,2
9,3,6
9,4,8
9,5,10
9,12,20
9,13,22
9,14,30
9,15,21
9,16,23
9,18,17
9,19,37
9,24,39
9,25,29
9,26,31
9,27,35
9,28,32
9,33,38
9,36,34
10,0,10
10,38,1
10,2,6
10,30,3
10,4,7
10,24,5
10,17,8
10,22,9
10,25,11
10,21,12
10,20,13
10,28,14
10,32,15
10,37,16
10,35,18
10,26,19
10,27,23
10,31,29
10,33,36
10,34,39
11,0,38
11,1,10
11,2,37
11,3,13
11,11,4
11,5,27
11,8,6
11,7,21
11,9,15
11,12,32
11,14,23
11,36,16
11,17,22
11,18,25
11,19,24
11,20,26
11,28,31
11,29,34
11,35,30
11,39,33
12,13,0
12,9,1
12,2,38
12,3,37
12,4,27
12,5,32
12,6,21
12,7,14
12,8,12
12,10,22
12,11,17
12,15,20
12,18,16
12,19,25
12,23,34
12,24,31
12,26,39
12,35,28
12,29,36
12,30,33
13,12,0
13,13,1
13,8,2
13,3,38
13,14,4
13,11,5
13,6,37
13,7,10
13,9,17
13,15,19
13,16,21
13,18,27
13,20,24
13,22,39
13,23,31
13,25,36
13,26,33
13,34,28
13,29,35
13,32,30
14,0,17
14,1,11
14,22,2
14,14,3
14,38,4
14,5,8
14,6,12
14,13,7
14,33,9
14,24,10
14,23,15
14,27,16
14,30,18
14,31,19
14,21,20
14,35,25
14,36,26
14,39,28
14,32,29
14,37,34
15,0,23
15,1,21
15,17,2
15,15,3
15,39,4
15,12,5
15,14,6
15,11,7
15,8,13
15,36,9
15,16,10
15,28,18
15,19,35
15,20,22
15,24,27
15,34,25
15,32,26
15,29,38
15,31,30
15,33,37
16,18,0
16,17,1
16,2,23
16,16,3
16,4,15
16,5,13
16,6,19
16,7,12
16,8,11
16,39,9
16,10,14
16,20,35
16,21,27
16,22,31
16,24,33
16,25,32
16,26,38
16,28,36
16,29,37
16,30,34
17,0,15
17,12,1
17,33,2
17,3,23
17,10,4
17,14,5
17,31,6
17,34,7
17,8,19
17,9,13
17,11,16
17,32,17
17,26,18
17,20,29
17,21,36
17,25,22
17,35,24
17,27,37
17,38,28
17,30,39
18,0,29
18,1,14
18,34,2
18,12,3
18,4,20
18,38,5
18,33,6
18,35,7
18,22,8
18,16,9
18,19,10
18,15,11
18,13,21
18,39,17
18,31,18
18,23,26
18,36,24
18,25,30
18,27,32
18,37,28
19,0,14
19,1,20
19,35,2
19,9,3
19,4,29
19,39,5
19,34,6
19,36,7
19,28,8
19,21,10
19,19,11
19,15,12
19,13,16
19,37,17
19,33,18
19,22,30
19,23,25
19,32,24
19,27,26
19,38,31
