31,MiaoAlgo,I_INCR40_20,1,100
NrSuccesfullMatchings,157431,NrInfeasibleMatchings,280
Time,Value 
780,89342
750,89342
720,89342
690,89342
660,89342
630,89342
600,89342
570,89342
540,89342
510,89342
480,89342
450,89342
420,89342
390,89342
0,180586
30,93394
60,91168
90,90380
120,90202
150,90202
180,90202
210,89580
240,89580
270,89496
300,89342
330,89342
360,89342
Final, 89342,806

Round,H_team,A_team 
0,1,0
0,39,2
0,36,3
0,35,4
0,34,5
0,33,6
0,32,7
0,31,8
0,28,9
0,27,10
0,24,11
0,23,12
0,22,13
0,15,14
0,21,16
0,20,17
0,19,18
0,26,25
0,30,29
0,38,37
1,0,36
1,1,34
1,2,38
1,3,6
1,4,10
1,5,28
1,7,35
1,8,33
1,9,15
1,11,12
1,13,26
1,14,24
1,16,19
1,17,22
1,18,20
1,21,23
1,25,27
1,29,31
1,30,32
1,37,39
2,0,34
2,2,1
2,3,4
2,5,6
2,7,38
2,8,35
2,9,33
2,10,28
2,11,15
2,12,26
2,13,24
2,14,22
2,16,17
2,18,25
2,19,23
2,20,21
2,29,27
2,31,30
2,37,32
2,36,39
3,2,0
3,1,3
3,4,38
3,5,35
3,6,8
3,7,28
3,9,22
3,10,15
3,11,26
3,12,24
3,13,25
3,14,16
3,17,23
3,18,21
3,19,20
3,30,27
3,34,29
3,31,33
3,39,32
3,37,36
4,0,3
4,6,1
4,4,2
4,12,5
4,34,7
4,15,8
4,29,9
4,16,10
4,28,11
4,33,13
4,26,14
4,27,17
4,23,18
4,25,19
4,22,20
4,24,21
4,39,30
4,32,31
4,35,37
4,38,36
5,0,5
5,4,1
5,3,2
5,6,7
5,9,8
5,10,12
5,29,11
5,32,13
5,20,14
5,15,16
5,25,17
5,22,18
5,21,19
5,24,23
5,26,27
5,28,31
5,37,30
5,33,34
5,35,36
5,38,39
6,7,0
6,1,11
6,5,2
6,8,3
6,9,4
6,10,6
6,12,29
6,13,20
6,14,18
6,15,26
6,16,22
6,17,21
6,19,24
6,23,25
6,27,28
6,38,30
6,39,31
6,36,32
6,35,33
6,34,37
7,0,8
7,9,1
7,2,7
7,3,5
7,4,15
7,6,12
7,10,13
7,11,16
7,14,19
7,18,17
7,20,24
7,25,21
7,23,22
7,30,26
7,37,27
7,28,29
7,31,38
7,33,32
7,34,36
7,39,35
8,0,6
8,27,1
8,2,8
8,3,7
8,4,5
8,14,9
8,18,10
8,17,11
8,16,12
8,23,13
8,20,15
8,22,19
8,30,21
8,25,24
8,28,26
8,29,37
8,36,31
8,32,38
8,39,33
8,34,35
9,9,0
9,5,1
9,2,11
9,3,23
9,6,4
9,7,17
9,8,16
9,10,25
9,12,20
9,13,14
9,15,18
9,19,27
9,21,22
9,24,28
9,26,39
9,32,29
9,35,30
9,31,37
9,33,36
9,38,34
10,16,0
10,1,8
10,36,2
10,15,3
10,7,4
10,20,5
10,13,6
10,11,9
10,21,10
10,22,12
10,25,14
10,31,17
10,24,18
10,29,19
10,26,23
10,27,32
10,30,28
10,37,33
10,39,34
10,38,35
11,23,0
11,12,1
11,37,2
11,3,11
11,4,8
11,21,5
11,14,6
11,9,7
11,22,10
11,15,13
11,24,16
11,29,17
11,27,18
11,26,19
11,25,20
11,39,28
11,36,30
11,35,31
11,32,34
11,38,33
12,0,15
12,7,1
12,6,2
12,10,3
12,4,11
12,5,9
12,8,12
12,16,13
12,14,21
12,17,38
12,18,36
12,19,37
12,20,23
12,22,24
12,30,25
12,33,26
12,27,35
12,28,32
12,39,29
12,34,31
13,13,0
13,1,10
13,2,9
13,3,14
13,12,4
13,11,5
13,16,6
13,8,7
13,15,22
13,17,37
13,18,38
13,19,36
13,20,27
13,21,33
13,23,39
13,24,30
13,31,25
13,32,26
13,28,34
13,35,29
14,22,0
14,1,14
14,2,12
14,9,3
14,13,4
14,7,5
14,6,11
14,10,8
14,15,21
14,18,16
14,19,17
14,28,20
14,23,37
14,24,39
14,33,25
14,38,26
14,27,31
14,36,29
14,30,34
14,32,35
15,21,0
15,17,1
15,2,10
15,3,12
15,4,19
15,5,15
15,6,9
15,14,7
15,8,13
15,11,18
15,20,16
15,36,22
15,34,23
15,32,24
15,25,35
15,26,31
15,27,39
15,37,28
15,29,38
15,30,33
16,0,4
16,1,15
16,13,2
16,16,3
16,8,5
16,19,6
16,7,12
16,9,18
16,11,10
16,14,17
16,20,35
16,21,31
16,39,22
16,30,23
16,34,24
16,25,32
16,26,37
16,27,38
16,36,28
16,29,33
17,0,30
17,13,1
17,16,2
17,19,3
17,17,4
17,5,39
17,18,6
17,7,15
17,11,8
17,10,9
17,12,14
17,33,20
17,21,32
17,35,22
17,31,23
17,24,37
17,29,25
17,26,36
17,34,27
17,28,38
18,0,11
18,1,30
18,15,2
18,17,3
18,18,4
18,5,13
18,6,39
18,10,7
18,8,14
18,12,9
18,38,16
18,31,19
18,37,20
18,28,21
18,22,32
18,23,36
18,24,29
18,25,34
18,35,26
18,33,27
19,12,0
19,1,39
19,2,30
19,3,13
19,4,14
19,5,10
19,6,15
19,11,7
19,8,18
19,17,9
19,37,16
19,32,19
19,38,20
19,35,21
19,22,25
19,23,29
19,31,24
19,26,34
19,36,27
19,33,28
