4,MiaoAlgo,I_INCR40_20,1,100
NrSuccesfullMatchings,225716,NrInfeasibleMatchings,285
Time,Value 
1170,85246
1140,85246
1110,85246
1080,85246
1050,85246
1020,85246
990,85246
960,85246
930,85246
900,85246
870,85246
360,86870
330,86978
300,87726
270,87726
240,87726
210,87726
180,87808
150,87866
120,88482
90,88574
60,88574
30,88918
0,214040
390,86130
420,85956
450,85588
480,85588
510,85588
540,85588
570,85588
600,85588
630,85544
660,85246
690,85246
720,85246
750,85246
780,85246
810,85246
840,85246
Final, 85246,1178

Round,H_team,A_team 
0,25,0
0,2,1
0,24,3
0,5,4
0,7,6
0,21,8
0,14,9
0,13,10
0,12,11
0,16,15
0,18,17
0,20,19
0,23,22
0,26,35
0,27,32
0,28,31
0,29,30
0,33,34
0,37,36
0,38,39
1,0,1
1,11,2
1,25,3
1,8,4
1,6,5
1,9,7
1,12,10
1,31,13
1,27,14
1,26,15
1,18,16
1,20,17
1,23,19
1,22,21
1,30,24
1,29,28
1,32,34
1,33,35
1,39,36
1,38,37
2,2,0
2,4,1
2,6,3
2,7,5
2,8,10
2,9,11
2,13,12
2,14,26
2,15,18
2,16,20
2,17,22
2,19,21
2,23,29
2,24,28
2,25,27
2,31,30
2,37,32
2,39,33
2,34,36
2,35,38
3,3,0
3,1,6
3,5,2
3,7,4
3,11,8
3,10,9
3,15,12
3,13,14
3,17,16
3,18,22
3,19,26
3,20,24
3,21,23
3,35,25
3,33,27
3,32,28
3,31,29
3,34,30
3,36,38
3,39,37
4,0,5
4,7,1
4,6,2
4,4,3
4,8,9
4,10,15
4,11,13
4,12,17
4,14,16
4,25,18
4,22,19
4,23,20
4,24,21
4,28,26
4,27,31
4,29,32
4,30,39
4,36,33
4,38,34
4,37,35
5,0,4
5,1,3
5,14,2
5,5,8
5,9,6
5,12,7
5,11,10
5,15,13
5,16,35
5,17,23
5,19,18
5,20,39
5,21,25
5,22,29
5,24,33
5,26,27
5,28,30
5,31,38
5,32,36
5,34,37
6,6,0
6,1,8
6,2,4
6,3,7
6,5,10
6,12,9
6,29,11
6,30,13
6,20,14
6,27,15
6,22,16
6,25,17
6,23,18
6,24,19
6,26,21
6,36,28
6,37,31
6,35,32
6,33,38
6,34,39
7,9,0
7,1,5
7,3,2
7,4,6
7,7,10
7,8,12
7,11,14
7,13,22
7,17,15
7,16,23
7,18,24
7,19,25
7,20,26
7,21,27
7,28,33
7,39,29
7,30,37
7,31,34
7,32,38
7,35,36
8,13,0
8,17,1
8,2,7
8,8,3
8,10,4
8,19,5
8,6,12
8,16,9
8,15,11
8,14,18
8,22,20
8,32,21
8,25,23
8,26,24
8,30,27
8,34,28
8,38,29
8,36,31
8,33,37
8,35,39
9,0,8
9,1,13
9,2,22
9,5,3
9,4,14
9,10,6
9,7,26
9,9,17
9,11,16
9,12,23
9,15,21
9,18,20
9,19,30
9,24,25
9,27,36
9,28,38
9,37,29
9,39,31
9,33,32
9,34,35
10,35,0
10,10,1
10,2,8
10,3,9
10,38,4
10,15,5
10,6,14
10,13,7
10,23,11
10,16,12
10,36,17
10,30,18
10,28,19
10,21,20
10,24,22
10,26,25
10,37,27
10,29,34
10,31,33
10,39,32
11,0,10
11,1,9
11,13,2
11,14,3
11,39,4
11,23,5
11,6,15
11,8,7
11,22,11
11,20,12
11,21,16
11,35,17
11,26,18
11,29,19
11,24,38
11,25,36
11,34,27
11,28,37
11,33,30
11,31,32
12,0,39
12,1,38
12,2,20
12,3,13
12,37,4
12,5,12
12,8,6
12,7,14
12,9,33
12,10,16
12,11,36
12,15,22
12,17,19
12,18,27
12,21,28
12,23,24
12,34,25
12,26,29
12,32,30
12,31,35
13,0,38
13,1,39
13,10,2
13,3,20
13,4,13
13,5,9
13,11,6
13,7,33
13,15,8
13,12,14
13,16,36
13,17,24
13,18,21
13,19,31
13,22,28
13,32,23
13,37,25
13,34,26
13,27,29
13,35,30
14,7,0
14,12,1
14,9,2
14,3,39
14,4,16
14,11,5
14,6,17
14,13,8
14,10,21
14,14,15
14,18,31
14,19,32
14,20,37
14,30,22
14,33,23
14,24,34
14,38,25
14,36,26
14,27,28
14,29,35
15,12,0
15,1,11
15,2,18
15,16,3
15,4,17
15,13,5
15,6,20
15,15,7
15,8,14
15,9,19
15,30,10
15,21,31
15,39,22
15,23,34
15,37,24
15,25,32
15,26,33
15,38,27
15,28,35
15,36,29
16,0,15
16,35,1
16,2,17
16,3,12
16,11,4
16,14,5
16,6,18
16,16,7
16,8,20
16,13,9
16,31,10
16,19,33
16,21,34
16,37,22
16,27,23
16,36,24
16,25,29
16,26,32
16,28,39
16,30,38
17,14,0
17,34,1
17,2,12
17,3,15
17,4,20
17,5,18
17,19,6
17,7,11
17,8,16
17,9,37
17,32,10
17,17,13
17,21,30
17,22,36
17,38,23
17,35,24
17,28,25
17,31,26
17,27,39
17,29,33
18,0,37
18,36,1
18,32,2
18,3,11
18,4,12
18,5,16
18,29,6
18,20,7
18,17,8
18,9,15
18,10,28
18,18,13
18,14,19
18,33,21
18,22,34
18,39,23
18,24,31
18,30,25
18,38,26
18,27,35
19,0,11
19,1,14
19,33,2
19,10,3
19,4,9
19,5,37
19,32,6
19,17,7
19,18,8
19,12,28
19,16,13
19,15,19
19,20,34
19,38,21
19,22,27
19,23,35
19,29,24
19,25,31
19,39,26
19,36,30
