66,MiaoAlgo,I_INCR40_20,1,100
NrSuccesfullMatchings,151023,NrInfeasibleMatchings,195
Time,Value 
750,82984
720,82984
690,82984
660,82984
630,82984
600,82984
570,82984
540,82984
510,82984
480,82984
450,82984
420,82984
390,82984
0,173210
30,87630
60,87622
90,85300
120,84978
150,84328
180,83768
210,83224
240,83106
270,82984
300,82984
330,82984
360,82984
Final, 82984,753

Round,H_team,A_team 
0,1,0
0,3,2
0,4,39
0,5,6
0,7,32
0,8,31
0,9,30
0,10,11
0,12,29
0,13,28
0,14,23
0,15,22
0,16,21
0,17,20
0,18,19
0,24,26
0,25,27
0,33,35
0,34,37
0,36,38
1,2,0
1,1,5
1,3,4
1,6,30
1,7,9
1,8,11
1,10,18
1,12,17
1,13,16
1,14,15
1,22,19
1,21,20
1,23,24
1,25,28
1,26,27
1,31,29
1,32,33
1,35,34
1,37,36
1,38,39
2,0,3
2,2,1
2,4,6
2,5,18
2,7,8
2,9,16
2,10,14
2,11,12
2,13,15
2,17,21
2,20,19
2,24,22
2,25,23
2,28,26
2,27,30
2,29,35
2,31,32
2,33,37
2,34,38
2,36,39
3,4,0
3,1,3
3,2,5
3,8,6
3,11,7
3,32,9
3,21,10
3,15,12
3,14,13
3,18,16
3,19,17
3,24,20
3,30,22
3,27,23
3,26,25
3,29,28
3,33,31
3,39,34
3,35,36
3,38,37
4,0,5
4,1,4
4,9,2
4,12,3
4,16,6
4,14,7
4,18,8
4,19,10
4,15,11
4,17,13
4,22,20
4,21,27
4,23,28
4,25,24
4,26,33
4,29,32
4,30,31
4,34,36
4,38,35
4,37,39
5,6,0
5,7,1
5,4,2
5,3,26
5,5,15
5,8,14
5,9,11
5,10,12
5,13,22
5,16,17
5,18,23
5,19,21
5,20,25
5,27,24
5,28,38
5,39,29
5,37,30
5,31,34
5,35,32
5,36,33
6,0,10
6,1,15
6,2,8
6,3,14
6,4,5
6,6,7
6,9,17
6,11,16
6,12,13
6,22,18
6,26,19
6,23,20
6,24,21
6,31,25
6,34,27
6,33,28
6,38,29
6,39,30
6,36,32
6,35,37
7,7,0
7,6,1
7,2,15
7,5,3
7,4,10
7,8,9
7,17,11
7,14,12
7,20,13
7,19,16
7,24,18
7,25,21
7,23,22
7,30,26
7,38,27
7,32,28
7,37,29
7,36,31
7,34,33
7,39,35
8,26,0
8,1,10
8,13,2
8,7,3
8,15,4
8,22,5
8,12,6
8,27,8
8,28,9
8,23,11
8,21,14
8,20,16
8,18,17
8,24,19
8,37,25
8,29,36
8,35,30
8,31,39
8,32,34
8,33,38
9,0,30
9,8,1
9,2,31
9,3,33
9,4,12
9,5,7
9,6,14
9,9,39
9,10,38
9,11,13
9,15,21
9,16,35
9,17,24
9,18,20
9,19,23
9,22,26
9,25,29
9,27,36
9,28,34
9,37,32
10,0,33
10,11,1
10,2,12
10,3,31
10,4,14
10,5,39
10,6,9
10,7,16
10,8,13
10,10,15
10,17,23
10,18,35
10,19,25
10,20,26
10,21,22
10,24,29
10,27,37
10,36,28
10,30,34
10,32,38
11,0,8
11,1,13
11,38,2
11,9,3
11,17,4
11,19,5
11,15,6
11,12,7
11,16,10
11,14,11
11,33,18
11,35,20
11,23,21
11,25,22
11,34,24
11,26,36
11,29,27
11,39,28
11,32,30
11,31,37
12,14,0
12,12,1
12,39,2
12,3,8
12,16,4
12,21,5
12,6,11
12,13,7
12,10,9
12,15,23
12,22,17
12,34,18
12,27,19
12,38,20
12,24,36
12,32,25
12,29,26
12,37,28
12,33,30
12,31,35
13,0,9
13,14,1
13,24,2
13,11,3
13,7,4
13,23,5
13,17,6
13,8,12
13,10,13
13,16,15
13,21,18
13,28,19
13,37,20
13,22,36
13,35,25
13,26,34
13,27,32
13,30,29
13,31,38
13,39,33
14,13,0
14,1,9
14,2,11
14,3,16
14,4,8
14,5,12
14,18,6
14,7,10
14,19,14
14,15,17
14,20,39
14,35,21
14,29,22
14,34,23
14,37,24
14,36,25
14,26,32
14,33,27
14,28,31
14,30,38
15,11,0
15,1,16
15,2,7
15,3,15
15,13,4
15,5,8
15,10,6
15,9,12
15,17,14
15,18,39
15,19,33
15,20,29
15,32,21
15,22,31
15,35,23
15,38,24
15,25,34
15,26,37
15,28,27
15,30,36
16,12,0
16,1,33
16,17,2
16,6,3
16,4,11
16,9,5
16,7,15
16,8,10
16,18,13
16,14,16
16,19,29
16,20,36
16,21,28
16,22,34
16,37,23
16,24,35
16,25,30
16,38,26
16,31,27
16,32,39
17,0,18
17,31,1
17,14,2
17,10,3
17,33,4
17,11,5
17,6,13
17,23,7
17,8,17
17,15,9
17,16,12
17,36,19
17,30,20
17,21,37
17,27,22
17,32,24
17,25,38
17,39,26
17,28,35
17,29,34
18,0,17
18,34,1
18,6,2
18,13,3
18,36,4
18,5,10
18,29,7
18,15,8
18,9,14
18,11,18
18,12,21
18,16,37
18,39,19
18,20,32
18,28,22
18,23,38
18,30,24
18,33,25
18,26,31
18,27,35
19,0,15
19,36,1
19,2,10
19,3,17
19,34,4
19,5,14
19,21,6
19,30,7
19,16,8
19,13,9
19,11,37
19,12,18
19,38,19
19,20,27
19,22,32
19,23,31
19,28,24
19,39,25
19,35,26
19,29,33
