7,MiaoAlgo,I_INCR40_20,1,100
NrSuccesfullMatchings,123250,NrInfeasibleMatchings,114
Time,Value 
630,89830
600,89830
570,89830
540,89830
510,89830
480,89830
450,89830
420,89830
390,89830
0,139120
30,91496
60,91178
90,90336
120,89862
150,89830
180,89830
210,89830
240,89830
270,89830
300,89830
330,89830
360,89830
Final, 89830,655

Round,H_team,A_team 
0,1,0
0,2,5
0,3,4
0,33,6
0,32,7
0,23,8
0,22,9
0,17,10
0,12,11
0,16,13
0,15,14
0,19,18
0,21,20
0,26,24
0,27,25
0,31,28
0,30,29
0,35,34
0,37,36
0,38,39
1,0,2
1,9,1
1,10,3
1,5,4
1,39,6
1,36,7
1,35,8
1,13,11
1,12,15
1,14,16
1,34,17
1,33,18
1,31,19
1,28,20
1,24,21
1,26,22
1,25,23
1,29,27
1,32,30
1,37,38
2,3,0
2,5,1
2,4,2
2,6,7
2,8,11
2,9,10
2,12,13
2,14,37
2,15,17
2,16,23
2,18,28
2,19,21
2,20,22
2,24,25
2,26,29
2,27,33
2,30,35
2,31,32
2,34,39
2,38,36
3,4,0
3,1,2
3,3,6
3,5,10
3,7,9
3,8,12
3,11,39
3,13,37
3,14,31
3,15,27
3,16,21
3,17,20
3,18,35
3,19,32
3,22,25
3,23,26
3,24,29
3,28,30
3,33,36
3,34,38
4,0,6
4,1,4
4,2,3
4,9,5
4,11,7
4,10,8
4,39,12
4,28,13
4,32,14
4,26,15
4,22,16
4,21,17
4,20,18
4,25,19
4,29,23
4,31,24
4,30,27
4,37,33
4,36,34
4,38,35
5,0,5
5,6,1
5,8,2
5,16,3
5,7,4
5,14,9
5,19,10
5,20,11
5,38,12
5,29,13
5,28,15
5,22,17
5,21,18
5,34,23
5,32,24
5,26,25
5,31,27
5,33,30
5,35,36
5,39,37
6,0,29
6,1,23
6,2,6
6,3,21
6,4,13
6,5,11
6,7,10
6,8,9
6,12,30
6,14,26
6,15,16
6,17,24
6,18,22
6,19,20
6,25,31
6,27,28
6,36,32
6,38,33
6,37,34
6,39,35
7,10,0
7,1,3
7,2,7
7,9,4
7,6,5
7,13,8
7,11,16
7,14,12
7,21,15
7,23,17
7,24,18
7,22,19
7,25,20
7,27,26
7,28,33
7,29,31
7,30,34
7,32,38
7,35,37
7,36,39
8,9,0
8,8,1
8,2,13
8,3,7
8,4,6
8,5,14
8,10,11
8,12,21
8,15,22
8,16,19
8,17,25
8,18,23
8,20,26
8,24,28
8,27,34
8,36,29
8,38,30
8,31,39
8,32,37
8,33,35
9,0,17
9,1,12
9,10,2
9,11,3
9,4,8
9,7,5
9,6,9
9,13,15
9,14,18
9,20,16
9,23,19
9,21,27
9,22,24
9,25,28
9,26,38
9,39,29
9,30,36
9,37,31
9,35,32
9,34,33
10,0,8
10,1,10
10,21,2
10,3,5
10,4,12
10,6,11
10,7,13
10,19,9
10,17,14
10,18,15
10,25,16
10,23,20
10,34,22
10,33,24
10,30,26
10,37,27
10,28,38
10,29,35
10,36,31
10,39,32
11,23,0
11,1,7
11,22,2
11,13,3
11,11,4
11,5,12
11,8,6
11,21,9
11,14,10
11,20,15
11,16,18
11,19,17
11,24,37
11,25,38
11,35,26
11,39,27
11,28,36
11,34,29
11,31,30
11,32,33
12,0,21
12,15,1
12,2,11
12,9,3
12,4,14
12,13,5
12,6,19
12,7,8
12,10,20
12,12,22
12,16,37
12,17,33
12,18,25
12,24,23
12,26,28
12,27,36
12,38,29
12,30,39
12,35,31
12,32,34
13,7,0
13,13,1
13,2,9
13,8,3
13,37,4
13,15,5
13,6,14
13,12,10
13,18,11
13,17,16
13,28,19
13,30,20
13,25,21
13,23,22
13,35,24
13,36,26
13,27,38
13,29,32
13,34,31
13,39,33
14,15,0
14,11,1
14,2,39
14,3,14
14,38,4
14,8,5
14,6,13
14,12,7
14,9,17
14,10,18
14,16,27
14,33,19
14,20,35
14,21,34
14,22,32
14,23,28
14,24,30
14,36,25
14,31,26
14,29,37
15,0,13
15,1,39
15,19,2
15,3,17
15,4,10
15,5,16
15,18,6
15,7,27
15,14,8
15,9,12
15,11,15
15,20,34
15,21,22
15,23,35
15,36,24
15,25,30
15,26,32
15,28,37
15,29,33
15,38,31
16,14,0
16,1,17
16,18,2
16,12,3
16,4,16
16,5,39
16,6,27
16,7,19
16,8,36
16,9,11
16,10,15
16,13,34
16,33,20
16,21,30
16,31,22
16,32,23
16,38,24
16,25,35
16,26,37
16,28,29
17,0,36
17,27,1
17,20,2
17,15,3
17,4,19
17,17,5
17,12,6
17,18,7
17,8,38
17,16,9
17,13,10
17,11,14
17,35,21
17,30,22
17,37,23
17,39,24
17,29,25
17,34,26
17,32,28
17,31,33
18,0,12
18,29,1
18,2,14
18,3,36
18,15,4
18,5,18
18,6,38
18,17,7
18,19,8
18,13,9
18,10,16
18,11,31
18,24,20
18,37,21
18,22,39
18,30,23
18,34,25
18,33,26
18,27,32
18,35,28
19,11,0
19,26,1
19,2,12
19,3,18
19,17,4
19,5,38
19,10,6
19,7,14
19,16,8
19,9,15
19,19,13
19,20,32
19,36,21
19,22,29
19,23,31
19,24,34
19,33,25
19,27,35
19,39,28
19,37,30
