81,MiaoAlgo,I_INCR40_20,1,100
NrSuccesfullMatchings,142669,NrInfeasibleMatchings,212
Time,Value 
720,90020
690,90020
660,90020
630,90020
600,90020
570,90020
540,90020
510,90020
480,90020
450,90020
420,90020
390,90020
0,163642
30,93486
60,92622
90,92292
120,91438
150,90416
180,90416
210,90416
240,90020
270,90020
300,90020
330,90020
360,90020
Final, 90020,744

Round,H_team,A_team 
0,0,3
0,1,2
0,39,4
0,8,5
0,7,6
0,32,9
0,31,10
0,30,11
0,13,12
0,29,14
0,28,15
0,27,16
0,19,17
0,24,18
0,21,20
0,23,22
0,26,25
0,35,33
0,37,34
0,38,36
1,2,0
1,3,1
1,5,4
1,6,29
1,7,24
1,8,23
1,9,17
1,10,39
1,11,38
1,12,21
1,13,32
1,14,36
1,15,37
1,16,33
1,18,19
1,20,22
1,25,27
1,26,28
1,30,31
1,34,35
2,0,24
2,1,9
2,3,2
2,4,7
2,5,29
2,6,8
2,10,23
2,11,39
2,12,38
2,13,21
2,14,15
2,16,37
2,17,33
2,18,26
2,19,22
2,20,27
2,25,31
2,28,30
2,32,34
2,36,35
3,39,0
3,34,1
3,9,2
3,35,3
3,6,4
3,38,5
3,10,7
3,11,8
3,31,12
3,15,13
3,21,14
3,22,16
3,32,17
3,33,18
3,24,19
3,23,20
3,28,25
3,27,26
3,30,29
3,37,36
4,38,0
4,39,1
4,2,4
4,36,3
4,5,6
4,7,9
4,13,8
4,20,10
4,21,11
4,26,12
4,22,14
4,17,15
4,24,16
4,25,18
4,23,19
4,27,30
4,29,28
4,32,31
4,34,33
4,37,35
5,0,1
5,6,2
5,3,5
5,4,32
5,7,12
5,8,24
5,9,10
5,11,22
5,13,14
5,15,23
5,16,17
5,18,21
5,19,27
5,20,28
5,25,29
5,26,30
5,31,34
5,33,37
5,35,38
5,36,39
6,9,0
6,1,4
6,2,5
6,7,3
6,14,6
6,10,8
6,12,11
6,23,13
6,15,16
6,31,17
6,37,18
6,21,19
6,30,20
6,28,22
6,27,24
6,35,25
6,29,26
6,32,36
6,39,33
6,38,34
7,0,5
7,21,1
7,8,2
7,3,10
7,4,9
7,16,6
7,11,7
7,14,12
7,24,13
7,22,15
7,29,17
7,39,18
7,20,19
7,26,23
7,37,25
7,27,28
7,34,30
7,31,36
7,35,32
7,38,33
8,4,0
8,12,1
8,2,7
8,3,8
8,5,9
8,15,6
8,10,14
8,13,11
8,19,16
8,17,22
8,18,20
8,23,21
8,25,24
8,36,26
8,27,29
8,34,28
8,30,32
8,33,31
8,39,35
8,38,37
9,0,10
9,1,5
9,14,2
9,6,3
9,11,4
9,7,8
9,12,9
9,16,13
9,21,15
9,20,17
9,22,18
9,25,19
9,23,27
9,29,24
9,34,26
9,36,28
9,33,30
9,35,31
9,32,38
9,37,39
10,0,6
10,8,1
10,2,10
10,3,4
10,5,7
10,9,11
10,15,12
10,13,20
10,19,14
10,18,16
10,17,21
10,22,25
10,24,23
10,31,26
10,27,36
10,28,35
10,29,33
10,38,30
10,37,32
10,39,34
11,8,0
11,1,7
11,2,38
11,3,15
11,4,24
11,5,14
11,9,6
11,10,29
11,11,20
11,12,16
11,13,22
11,17,37
11,18,23
11,19,30
11,21,25
11,26,35
11,27,31
11,33,28
11,32,39
11,36,34
12,0,7
12,1,10
12,12,2
12,3,24
12,4,14
12,15,5
12,6,11
12,8,22
12,9,13
12,16,38
12,17,23
12,18,35
12,19,37
12,20,25
12,21,26
12,34,27
12,28,31
12,29,32
12,30,39
12,33,36
13,23,0
13,1,6
13,2,11
13,12,3
13,10,4
13,22,5
13,7,13
13,15,8
13,14,9
13,21,16
13,25,17
13,36,18
13,35,19
13,34,20
13,24,28
13,26,32
13,27,33
13,29,38
13,30,37
13,31,39
14,25,0
14,11,1
14,2,21
14,9,3
14,4,15
14,5,13
14,6,10
14,7,14
14,8,12
14,23,16
14,26,17
14,38,18
14,39,19
14,33,20
14,24,22
14,35,27
14,28,32
14,29,34
14,36,30
14,37,31
15,17,0
15,14,1
15,2,15
15,3,11
15,4,12
15,5,10
15,13,6
15,16,7
15,8,9
15,34,18
15,36,19
15,35,20
15,22,21
15,25,23
15,30,24
15,38,26
15,39,27
15,37,28
15,31,29
15,32,33
16,0,12
16,1,15
16,13,2
16,3,37
16,4,8
16,11,5
16,18,6
16,19,7
16,9,36
16,10,16
16,14,17
16,20,29
16,21,30
16,22,34
16,23,35
16,24,31
16,33,25
16,26,39
16,32,27
16,28,38
17,15,0
17,1,13
17,17,2
17,14,3
17,16,4
17,12,5
17,6,37
17,18,7
17,8,36
17,9,19
17,10,11
17,20,31
17,33,21
17,22,30
17,23,34
17,26,24
17,32,25
17,27,38
17,28,39
17,29,35
18,0,13
18,1,22
18,18,2
18,19,3
18,17,4
18,5,37
18,6,36
18,7,27
18,16,8
18,15,9
18,12,10
18,11,14
18,20,32
18,35,21
18,28,23
18,24,34
18,30,25
18,33,26
18,39,29
18,31,38
19,0,11
19,17,1
19,2,27
19,25,3
19,4,13
19,5,18
19,6,12
19,7,20
19,14,8
19,16,9
19,10,15
19,19,28
19,34,21
19,22,32
19,31,23
19,24,33
19,37,26
19,36,29
19,30,35
19,38,39
