17,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,246121,NrInfeasibleMatchings,1657
Time,Value 
1710,181776
1680,181776
1650,181776
1620,181776
1590,181776
1560,181776
1530,181776
1500,181776
1470,181776
1440,181776
1410,181776
1380,181776
1350,181776
1320,181776
1290,181776
1260,181776
1230,181776
1200,181776
1170,181776
1140,181776
1110,181776
1080,181776
1050,181776
1020,182202
990,182202
960,182202
930,182212
900,182222
870,182222
360,183354
330,183374
300,184012
270,185852
240,186494
210,186630
180,186740
150,186740
120,187240
90,187934
60,188848
30,195588
0,208710
390,183354
420,183354
450,183354
480,183354
510,183354
540,183354
570,183354
600,183354
630,183354
660,183354
690,183354
720,183354
750,183354
780,183354
810,183354
840,182506
Final, 181776,1735

Round,H_team,A_team 
0,0,1
0,2,9
0,3,5
0,4,6
0,7,8
0,10,11
0,12,23
0,13,14
0,15,21
0,16,17
0,18,19
0,20,22
0,25,24
0,26,28
0,27,39
0,29,38
0,30,37
0,31,32
0,33,36
0,34,35
1,0,3
1,1,2
1,4,15
1,5,7
1,6,13
1,8,14
1,9,10
1,11,12
1,19,16
1,17,18
1,21,20
1,22,24
1,23,25
1,39,26
1,28,27
1,32,29
1,38,30
1,37,31
1,35,33
1,36,34
2,0,6
2,1,7
2,2,5
2,3,4
2,8,10
2,9,13
2,11,14
2,12,19
2,15,17
2,16,21
2,18,20
2,22,23
2,24,28
2,25,27
2,26,29
2,30,31
2,32,33
2,34,37
2,35,36
2,38,39
3,7,0
3,1,3
3,10,2
3,5,4
3,6,8
3,14,9
3,17,11
3,13,12
3,19,15
3,20,16
3,23,18
3,21,22
3,24,30
3,25,26
3,27,32
3,28,33
3,29,35
3,31,34
3,36,38
3,37,39
4,0,4
4,5,1
4,2,6
4,3,8
4,7,12
4,11,9
4,10,14
4,13,17
4,15,16
4,21,18
4,19,20
4,39,22
4,38,23
4,26,24
4,35,25
4,37,27
4,31,28
4,34,29
4,33,30
4,36,32
5,2,0
5,4,1
5,6,3
5,8,5
5,14,7
5,17,9
5,12,10
5,20,11
5,16,13
5,18,15
5,22,19
5,24,21
5,23,26
5,25,39
5,27,31
5,28,34
5,29,37
5,30,36
5,32,35
5,33,38
6,0,5
6,6,1
6,11,2
6,7,3
6,10,4
6,13,8
6,9,12
6,15,14
6,16,18
6,19,17
6,23,20
6,21,25
6,26,22
6,24,31
6,27,34
6,28,32
6,29,30
6,37,33
6,35,38
6,36,39
7,8,0
7,1,11
7,2,7
7,3,10
7,4,9
7,5,6
7,12,15
7,13,19
7,14,16
7,17,21
7,18,26
7,20,24
7,22,27
7,32,23
7,25,28
7,33,29
7,30,35
7,31,36
7,34,39
7,38,37
8,0,10
8,8,1
8,2,4
8,3,15
8,9,5
8,6,7
8,11,13
8,14,12
8,16,28
8,17,20
8,18,24
8,19,21
8,22,25
8,30,23
8,26,27
8,36,29
8,39,31
8,38,32
8,34,33
8,37,35
9,21,0
9,1,10
9,12,2
9,19,3
9,4,7
9,5,11
9,6,9
9,15,8
9,13,18
9,20,14
9,23,16
9,24,17
9,29,22
9,25,37
9,33,26
9,27,36
9,28,30
9,31,38
9,32,34
9,35,39
10,0,11
10,9,1
10,2,3
10,4,21
10,10,5
10,6,17
10,7,13
10,8,16
10,12,18
10,19,14
10,15,20
10,28,22
10,23,24
10,25,29
10,38,26
10,33,27
10,34,30
10,31,35
10,39,32
10,37,36
11,35,0
11,22,1
11,14,2
11,3,9
11,17,4
11,5,13
11,21,6
11,20,7
11,11,8
11,18,10
11,16,12
11,24,15
11,26,19
11,27,23
11,30,25
11,36,28
11,29,31
11,32,37
11,39,33
11,34,38
12,0,20
12,15,1
12,2,8
12,3,17
12,13,4
12,5,12
12,6,11
12,9,7
12,10,16
12,14,18
12,19,34
12,23,21
12,37,22
12,24,39
12,25,36
12,35,26
12,27,29
12,38,28
12,32,30
12,31,33
13,12,0
13,1,13
13,16,2
13,11,3
13,4,14
13,17,5
13,6,15
13,7,10
13,8,9
13,18,37
13,39,19
13,20,38
13,21,31
13,22,32
13,33,23
13,29,24
13,34,25
13,36,26
13,30,27
13,28,35
14,0,9
14,1,39
14,2,22
14,3,16
14,8,4
14,14,5
14,6,12
14,7,33
14,10,37
14,11,18
14,13,20
14,15,34
14,17,32
14,19,29
14,21,28
14,31,23
14,36,24
14,38,25
14,26,30
14,35,27
15,39,0
15,12,1
15,18,2
15,30,3
15,4,11
15,5,19
15,34,6
15,16,7
15,22,8
15,9,15
15,20,10
15,28,13
15,33,14
15,29,17
15,37,21
15,23,36
15,24,35
15,25,31
15,32,26
15,27,38
16,0,13
16,1,19
16,15,2
16,33,3
16,16,4
16,5,37
16,35,6
16,7,36
16,8,12
16,9,20
16,10,28
16,11,30
16,34,14
16,17,23
16,18,22
16,38,21
16,27,24
16,25,32
16,31,26
16,29,39
17,14,0
17,1,38
17,2,19
17,3,37
17,4,18
17,39,5
17,6,16
17,17,7
17,20,8
17,30,9
17,10,25
17,36,11
17,12,27
17,13,15
17,21,33
17,22,31
17,23,35
17,24,32
17,26,34
17,28,29
18,0,38
18,16,1
18,2,13
18,3,18
18,12,4
18,35,5
18,14,6
18,7,31
18,26,8
18,9,36
18,15,10
18,37,11
18,25,17
18,19,30
18,32,20
18,27,21
18,33,22
18,23,29
18,24,34
18,28,39
19,16,0
19,14,1
19,31,2
19,12,3
19,4,36
19,5,18
19,10,6
19,7,15
19,8,35
19,29,9
19,11,23
19,13,33
19,26,17
19,27,19
19,20,25
19,21,32
19,22,34
19,38,24
19,37,28
19,39,30
20,0,15
20,1,36
20,32,2
20,13,3
20,4,35
20,16,5
20,6,29
20,11,7
20,8,27
20,31,9
20,10,33
20,30,12
20,17,14
20,18,25
20,28,19
20,20,26
20,34,21
20,22,38
20,23,39
20,24,37
21,18,0
21,1,17
21,38,2
21,3,35
21,39,4
21,5,30
21,20,6
21,7,27
21,21,8
21,32,9
21,19,10
21,15,11
21,31,12
21,29,13
21,14,28
21,25,16
21,36,22
21,34,23
21,33,24
21,26,37
22,0,36
22,1,28
22,2,20
22,14,3
22,38,4
22,27,5
22,24,6
22,19,7
22,17,8
22,9,18
22,10,26
22,11,31
22,32,12
22,34,13
22,29,15
22,39,16
22,30,21
22,35,22
22,37,23
22,33,25
23,0,33
23,29,1
23,39,2
23,3,36
23,37,4
23,28,5
23,27,6
23,7,18
23,8,32
23,9,26
23,10,31
23,21,11
23,12,24
23,35,13
23,23,14
23,30,15
23,38,16
23,22,17
23,25,19
23,20,34
24,28,0
24,1,33
24,36,2
24,27,3
24,4,32
24,5,38
24,6,39
24,26,7
24,8,24
24,16,9
24,10,17
24,25,11
24,22,12
24,13,37
24,14,35
24,31,15
24,18,34
24,23,19
24,30,20
24,21,29
25,37,0
25,34,1
25,2,33
25,29,3
25,4,24
25,15,5
25,6,32
25,7,39
25,8,18
25,9,38
25,13,10
25,19,11
25,12,25
25,36,14
25,16,35
25,17,27
25,31,20
25,26,21
25,22,30
25,28,23
26,34,0
26,32,1
26,17,2
26,24,3
26,26,4
26,5,22
26,6,38
26,7,28
26,23,8
26,9,39
26,10,29
26,11,16
26,12,35
26,13,27
26,31,14
26,25,15
26,18,30
26,19,37
26,33,20
26,21,36
27,0,22
27,35,1
27,21,2
27,3,28
27,23,4
27,5,25
27,36,6
27,7,29
27,8,30
27,24,9
27,39,10
27,11,27
27,17,12
27,38,13
27,32,14
27,15,26
27,16,34
27,18,31
27,19,33
27,20,37
28,24,0
28,1,25
28,2,28
28,3,22
28,4,29
28,5,31
28,37,6
28,30,7
28,33,8
28,9,19
28,38,10
28,11,34
28,20,12
28,39,13
28,14,26
28,15,23
28,27,16
28,36,17
28,18,32
28,35,21
29,26,0
29,1,18
29,2,25
29,3,31
29,4,19
29,29,5
29,33,6
29,32,7
29,37,8
29,9,34
29,36,10
29,22,11
29,12,38
29,13,23
29,14,24
29,15,27
29,30,16
29,35,17
29,28,20
29,39,21
