28,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,178703,NrInfeasibleMatchings,1718
Time,Value 
1590,175690
1560,175690
1530,175690
1500,175690
1470,175690
1440,175690
1410,175690
1380,175690
1350,175690
1320,175690
1290,175690
1260,175690
1230,175690
1200,175690
1170,175690
1140,175690
1110,175690
1080,175690
1050,175690
1020,175690
990,175690
960,175690
930,175690
900,175690
870,175690
360,177586
330,177586
300,178010
270,178010
240,178010
210,178010
180,178298
150,178298
120,179920
90,179920
60,180876
30,182334
0,219300
390,176488
420,176308
450,176168
480,176132
510,176132
540,176132
570,176132
600,176132
630,176132
660,175778
690,175778
720,175690
750,175690
780,175690
810,175690
840,175690
Final, 175690,1613

Round,H_team,A_team 
0,1,0
0,2,5
0,3,4
0,7,6
0,9,8
0,10,17
0,11,16
0,12,15
0,13,14
0,28,18
0,20,19
0,24,21
0,23,22
0,26,25
0,29,27
0,37,30
0,36,31
0,33,32
0,35,34
0,38,39
1,34,0
1,5,1
1,4,2
1,6,3
1,18,7
1,17,8
1,16,9
1,15,10
1,14,11
1,13,12
1,21,19
1,22,20
1,30,23
1,25,24
1,27,26
1,31,28
1,32,29
1,35,33
1,39,36
1,37,38
2,0,4
2,2,1
2,3,5
2,6,17
2,8,7
2,9,11
2,10,13
2,12,14
2,15,16
2,19,18
2,21,20
2,24,22
2,23,25
2,30,26
2,28,27
2,35,29
2,32,31
2,34,33
2,38,36
2,37,39
3,5,0
3,1,3
3,7,2
3,4,6
3,14,8
3,13,9
3,11,10
3,16,12
3,18,15
3,17,19
3,20,23
3,22,21
3,26,24
3,25,28
3,27,32
3,29,30
3,31,34
3,33,38
3,39,35
3,36,37
4,0,3
4,1,8
4,6,2
4,4,10
4,5,13
4,7,15
4,9,14
4,12,11
4,16,17
4,18,20
4,23,19
4,21,25
4,26,22
4,24,27
4,28,34
4,29,39
4,30,31
4,32,36
4,37,33
4,38,35
5,2,0
5,14,1
5,3,7
5,13,4
5,8,5
5,11,6
5,15,9
5,10,12
5,19,16
5,17,21
5,22,18
5,20,24
5,27,23
5,25,29
5,31,26
5,36,28
5,33,30
5,39,32
5,34,38
5,35,37
6,0,7
6,1,6
6,3,2
6,4,5
6,8,11
6,9,10
6,39,12
6,38,13
6,16,14
6,21,15
6,22,17
6,23,18
6,24,19
6,28,20
6,32,25
6,37,26
6,31,27
6,34,29
6,35,30
6,36,33
7,6,0
7,7,1
7,2,8
7,10,3
7,11,4
7,5,9
7,12,31
7,13,16
7,14,38
7,15,24
7,17,23
7,18,21
7,19,22
7,20,32
7,25,36
7,26,28
7,27,35
7,29,37
7,30,34
7,33,39
8,0,8
8,4,1
8,2,10
8,14,3
8,7,5
8,9,6
8,13,11
8,17,12
8,19,15
8,20,16
8,18,24
8,38,21
8,36,22
8,28,23
8,37,25
8,29,26
8,30,27
8,31,33
8,35,32
8,34,39
9,0,12
9,1,13
9,11,2
9,3,9
9,8,4
9,5,19
9,6,14
9,10,7
9,15,17
9,16,18
9,25,20
9,21,28
9,22,38
9,23,36
9,24,30
9,26,35
9,27,37
9,33,29
9,39,31
9,32,34
10,0,10
10,1,12
10,2,9
10,3,19
10,7,4
10,5,14
10,6,8
10,11,18
10,13,17
10,15,22
10,16,21
10,20,26
10,23,35
10,24,29
10,39,25
10,33,27
10,30,28
10,37,31
10,32,38
10,34,36
11,21,0
11,9,1
11,12,2
11,8,3
11,4,15
11,17,5
11,10,6
11,14,7
11,19,11
11,18,13
11,38,16
11,31,20
11,22,34
11,29,23
11,35,24
11,25,33
11,26,32
11,27,39
11,28,37
11,36,30
12,0,11
12,1,17
12,14,2
12,3,15
12,9,4
12,10,5
12,12,6
12,22,7
12,8,13
12,37,16
12,25,18
12,27,19
12,29,20
12,21,26
12,33,23
12,34,24
12,28,39
12,30,32
12,31,38
12,35,36
13,13,0
13,1,10
13,2,22
13,11,3
13,4,14
13,5,12
13,6,21
13,7,9
13,15,8
13,39,16
13,17,25
13,18,35
13,19,28
13,20,27
13,23,31
13,24,33
13,26,34
13,36,29
13,38,30
13,32,37
14,0,22
14,16,1
14,2,13
14,18,3
14,4,21
14,6,5
14,12,7
14,8,35
14,9,17
14,10,20
14,15,11
14,14,19
14,26,23
14,32,24
14,25,31
14,36,27
14,28,33
14,29,38
14,39,30
14,37,34
15,0,9
15,1,35
15,38,2
15,3,12
15,17,4
15,5,15
15,13,6
15,7,16
15,19,8
15,14,10
15,11,20
15,39,18
15,21,37
15,22,30
15,34,23
15,24,36
15,27,25
15,33,26
15,32,28
15,31,29
16,0,14
16,11,1
16,33,2
16,3,17
16,4,12
16,5,37
16,6,15
16,13,7
16,20,8
16,9,19
16,16,10
16,38,18
16,30,21
16,22,27
16,23,32
16,24,39
