29,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,159393,NrInfeasibleMatchings,28443
Time,Value 
1470,173440
1440,173440
1410,173440
1380,173440
1350,173440
1320,173440
1290,173440
1260,173440
1230,173440
1200,173440
1170,173440
1140,173440
1110,173440
1080,173440
1050,173440
1020,173440
990,173440
960,173440
930,173440
900,173440
870,173440
360,174232
330,174232
300,174438
270,175166
240,175224
210,175224
180,175224
150,175236
120,175236
90,176410
60,177212
30,182240
0,219314
390,174232
420,174108
450,173994
480,173994
510,173994
540,173828
570,173828
600,173828
630,173538
660,173538
690,173538
720,173440
750,173440
780,173440
810,173440
840,173440
Final, 173440,1494

Round,H_team,A_team 
0,0,5
0,1,2
0,3,4
0,6,34
0,7,8
0,9,32
0,10,11
0,12,13
0,14,19
0,15,16
0,17,18
0,20,26
0,21,22
0,23,29
0,24,27
0,25,28
0,30,31
0,33,35
0,36,38
0,37,39
1,0,1
1,2,3
1,5,4
1,7,6
1,8,16
1,9,10
1,11,12
1,13,14
1,15,17
1,32,18
1,22,19
1,27,20
1,31,21
1,28,23
1,29,24
1,26,25
1,37,30
1,38,33
1,35,34
1,39,36
2,0,8
2,1,5
2,2,4
2,3,6
2,7,16
2,9,34
2,10,13
2,11,18
2,12,24
2,14,15
2,17,19
2,20,29
2,21,23
2,22,25
2,26,27
2,28,31
2,30,33
2,32,35
2,37,36
2,39,38
3,2,0
3,3,1
3,4,11
3,5,7
3,6,10
3,8,9
3,16,12
3,15,13
3,17,14
3,18,20
3,19,21
3,23,22
3,24,26
3,25,31
3,27,28
3,29,30
3,36,32
3,33,39
3,34,37
3,35,38
4,0,3
4,4,1
4,5,2
4,8,6
4,10,7
4,11,9
4,14,12
4,18,13
4,20,15
4,17,16
4,23,19
4,25,21
4,24,22
4,28,26
4,27,31
4,29,33
4,30,32
4,34,39
4,36,35
4,37,38
5,7,0
5,1,14
5,2,11
5,3,10
5,6,4
5,5,8
5,9,12
5,13,17
5,15,18
5,16,25
5,19,20
5,21,24
5,22,27
5,26,23
5,32,28
5,31,29
5,39,30
5,33,36
5,38,34
5,37,35
6,4,0
6,9,1
6,8,2
6,7,3
6,6,5
6,10,39
6,11,13
6,12,17
6,14,16
6,15,27
6,18,23
6,19,24
6,20,21
6,22,26
6,25,29
6,28,35
6,38,30
6,31,33
6,32,37
6,34,36
7,13,0
7,1,12
7,2,6
7,3,8
7,4,7
7,5,9
7,16,10
7,17,11
7,30,14
7,21,15
7,35,18
7,26,19
7,22,20
7,24,23
7,27,25
7,36,28
7,29,38
7,37,31
7,39,32
7,33,34
8,0,6
8,1,7
8,13,2
8,5,3
8,4,9
8,11,8
8,17,10
8,15,12
8,26,14
8,16,22
8,18,21
8,28,19
8,20,24
8,23,25
8,34,27
8,32,29
8,30,36
8,38,31
8,33,37
8,35,39
9,9,0
9,6,1
9,2,17
9,3,11
9,8,4
9,12,5
9,7,13
9,10,15
9,14,23
9,16,20
9,18,24
9,19,34
9,21,38
9,22,32
9,25,30
9,36,26
9,27,33
9,39,28
9,29,37
9,31,35
10,0,17
10,11,1
10,7,2
10,9,3
10,4,16
10,13,5
10,6,12
10,10,8
10,14,21
10,15,23
10,19,18
10,20,34
10,22,39
10,24,25
10,38,26
10,30,27
10,28,37
10,35,29
10,36,31
10,32,33
11,0,11
11,1,17
11,2,9
11,3,16
11,21,4
11,5,10
11,15,6
11,12,7
11,8,13
11,18,14
11,25,19
11,23,20
11,37,22
11,24,39
11,26,35
11,27,38
11,33,28
11,29,36
11,34,30
11,31,32
12,12,0
12,1,8
12,2,18
12,3,14
12,4,10
12,5,11
12,16,6
12,15,7
12,13,9
12,17,21
12,35,19
12,20,25
12,22,38
12,23,31
12,24,33
12,26,37
12,27,36
12,30,28
12,29,39
12,34,32
13,39,0
13,10,1
13,19,2
13,28,3
13,14,4
13,18,5
13,6,13
13,7,17
13,8,12
13,9,15
13,11,16
13,38,20
13,21,30
13,33,22
13,36,23
13,32,24
13,25,35
13,31,26
13,37,27
13,34,29
14,0,21
14,15,1
14,2,16
14,3,12
14,4,13
14,5,17
14,18,6
14,11,7
14,8,22
14,14,9
14,10,25
14,19,36
14,35,20
14,23,37
14,30,24
14,33,26
14,27,39
14,29,28
14,31,34
14,32,38
15,38,0
15,1,22
15,36,2
15,13,3
15,4,15
15,16,5
15,6,11
15,7,9
15,17,8
15,12,10
15,34,14
15,28,18
15,37,19
15,20,32
15,21,27
15,23,30
15,24,35
15,25,33
