44,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,177901,NrInfeasibleMatchings,10153
Time,Value 
1290,177982
1260,177982
1230,177982
1200,177982
1170,177982
1140,177982
1110,177982
1080,177982
1050,177982
1020,177982
990,177982
960,177982
930,177982
900,177982
870,177982
360,179072
330,179384
300,179386
270,180318
240,180650
210,180650
180,180932
150,182588
120,185630
90,186820
60,186820
30,194026
0,223880
390,179072
420,179072
450,178380
480,178378
510,178318
540,178318
570,178318
600,178318
630,177982
660,177982
690,177982
720,177982
750,177982
780,177982
810,177982
840,177982
Final, 177982,1307

Round,H_team,A_team 
0,1,0
0,5,2
0,4,3
0,7,6
0,13,8
0,10,9
0,12,11
0,14,15
0,16,18
0,17,19
0,20,21
0,23,22
0,28,24
0,26,25
0,31,27
0,30,29
0,35,32
0,34,33
0,37,36
0,39,38
1,2,0
1,1,4
1,3,7
1,6,5
1,8,10
1,9,12
1,11,14
1,15,13
1,19,16
1,18,17
1,22,20
1,21,23
1,24,26
1,25,30
1,27,28
1,29,31
1,32,34
1,33,35
1,36,39
1,38,37
2,0,4
2,8,1
2,6,2
2,5,3
2,9,7
2,11,10
2,12,14
2,16,13
2,18,15
2,20,17
2,19,23
2,21,22
2,25,24
2,26,28
2,27,30
2,32,29
2,33,31
2,34,38
2,35,36
2,37,39
3,3,0
3,1,6
3,2,9
3,4,5
3,7,8
3,10,16
3,13,11
3,12,20
3,14,18
3,15,19
3,17,21
3,22,25
3,23,26
3,24,27
3,28,37
3,29,33
3,30,34
3,31,32
3,39,35
3,38,36
4,0,8
4,5,1
4,3,2
4,6,4
4,7,17
4,9,16
4,10,12
4,11,19
4,13,14
4,15,21
4,18,22
4,20,24
4,25,23
4,38,26
4,32,27
4,33,28
4,36,29
4,39,30
4,34,31
4,35,37
5,26,0
5,1,3
5,2,7
5,4,9
5,24,5
5,8,6
5,14,10
5,22,11
5,16,12
5,21,13
5,17,15
5,19,18
5,23,20
5,27,25
5,28,35
5,29,38
5,30,32
5,31,39
5,37,33
5,36,34
6,0,5
6,2,1
6,3,8
6,7,4
6,6,24
6,9,23
6,10,13
6,11,15
6,12,17
6,14,16
6,18,20
6,19,22
6,21,25
6,27,26
6,30,28
6,37,29
6,36,31
6,33,32
6,39,34
6,38,35
7,23,0
7,13,1
7,4,2
7,22,3
7,5,7
7,25,6
7,8,9
7,15,10
7,16,11
7,18,12
7,17,14
7,20,19
7,24,21
7,26,33
7,29,27
7,28,39
7,35,30
7,31,38
7,32,36
7,34,37
8,0,11
8,7,1
8,2,13
8,23,3
8,4,10
8,5,9
8,28,6
8,8,12
8,20,14
8,15,16
8,22,17
8,25,18
8,21,19
8,39,24
8,29,26
8,33,27
8,36,30
8,37,31
8,38,32
8,35,34
9,6,0
9,1,28
9,12,2
9,3,15
9,13,4
9,11,5
9,10,7
9,14,8
9,9,20
9,16,22
9,17,23
9,18,21
9,19,25
9,24,33
9,26,39
9,27,36
9,34,29
9,30,38
9,31,35
9,32,37
10,0,7
10,39,1
10,2,15
10,38,3
10,4,8
10,5,10
10,11,6
10,18,9
10,19,12
10,23,13
10,21,14
10,20,16
10,25,17
10,26,22
10,31,24
10,27,34
10,32,28
10,29,35
10,30,37
10,33,36
11,9,0
11,1,10
11,8,2
11,37,3
11,12,4
11,13,5
11,6,18
11,7,11
11,14,19
11,15,20
11,16,21
11,17,39
11,22,33
11,34,23
11,24,29
11,36,25
11,26,32
11,35,27
11,28,38
11,30,31
12,0,13
12,1,9
12,2,11
12,3,6
12,4,14
12,5,8
12,12,7
12,10,21
12,15,22
12,16,17
12,18,38
12,19,29
12,20,34
12,23,31
12,24,30
12,32,25
12,35,26
12,27,37
12,36,28
12,39,33
13,21,0
13,14,1
13,17,2
13,3,10
13,4,11
13,28,5
13,6,12
13,7,18
13,8,16
13,9,15
13,13,19
13,31,20
13,22,32
13,37,23
13,34,24
13,25,35
13,26,36
13,38,27
13,29,39
13,33,30
14,0,35
14,1,15
14,2,16
14,3,13
14,18,4
14,5,14
14,9,6
14,7,22
14,11,8
14,10,17
14,12,21
14,19,36
14,30,20
14,32,23
14,37,24
14,25,34
14,31,26
14,39,27
14,29,28
14,38,33
15,10,0
15,1,11
15,35,2
15,16,3
15,4,39
15,17,5
15,6,14
15,7,33
15,8,25
15,13,9
15,15,12
15,18,29
15,27,19
15,20,37
15,21,32
15,22,30
15,23,38
15,36,24
15,34,26
15,28,31
16,0,39
16,1,33
16,37,2
16,12,3
16,15,4
16,5,16
16,13,6
16,14,7
16,8,27
16,11,9
16,18,10
16,17,32
16,31,19
16,29,20
16,26,21
16,22,36
16,30,23
16,24,35
16,38,25
16,28,34
17,14,0
17,35,1
17,2,39
17,3,11
17,4,38
17,5,12
17,6,15
17,16,7
17,33,8
17,9,17
17,10,37
17,34,13
17,36,18
17,19,26
17,20,28
17,21,30
17,27,22
17,23,29
17,32,24
17,25,31
18,33,0
18,1,12
18,2,38
18,3,17
18,16,4
18,19,5
18,6,37
18,7,15
18,32,8
18,9,14
18,10,28
18,11,34
18,35,13
18,39,18
18,20,36
18,27,21
18,31,22
18,24,23
18,29,25
18,30,26
19,0,16
19,18,1
19,14,2
19,9,3
19,37,4
19,15,5
19,17,6
19,26,7
19,8,35
19,34,10
19,11,27
19,12,30
19,36,13
19,28,19
19,25,20
19,21,31
19,22,29
19,33,23
19,38,24
19,39,32
20,0,27
20,1,16
20,18,2
20,3,39
20,36,4
20,5,35
20,32,6
20,7,30
20,8,15
20,19,9
20,38,10
20,17,11
20,12,34
20,13,25
20,14,31
20,20,33
20,21,29
20,24,22
20,23,28
20,26,37
21,15,0
21,1,17
21,2,30
21,14,3
