71,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,136933,NrInfeasibleMatchings,15325
Time,Value 
1080,172608
1050,172608
1020,172608
990,172608
960,172608
930,172608
900,172608
870,172608
360,172708
330,172708
300,172708
270,172708
240,173328
210,173430
180,173430
150,173664
120,173876
90,175768
60,176574
30,180892
0,216214
390,172608
420,172608
450,172608
480,172608
510,172608
540,172608
570,172608
600,172608
630,172608
660,172608
690,172608
720,172608
750,172608
780,172608
810,172608
840,172608
Final, 172608,1081

Round,H_team,A_team 
0,0,3
0,1,2
0,9,4
0,6,5
0,8,7
0,11,10
0,15,12
0,14,13
0,28,16
0,20,17
0,19,18
0,22,21
0,25,23
0,26,24
0,29,27
0,37,30
0,32,31
0,36,33
0,35,34
0,38,39
1,2,0
1,3,1
1,4,6
1,5,35
1,7,9
1,8,11
1,10,20
1,12,14
1,13,15
1,16,19
1,17,32
1,18,22
1,21,25
1,23,26
1,24,29
1,27,28
1,30,31
1,33,38
1,34,36
1,39,37
2,0,4
2,1,5
2,2,7
2,3,6
2,8,20
2,9,10
2,11,15
2,12,13
2,14,16
2,18,17
2,21,19
2,22,25
2,23,24
2,27,26
2,28,35
2,29,31
2,30,32
2,34,33
2,39,36
2,38,37
3,16,0
3,6,1
3,5,2
3,7,3
3,20,4
3,10,8
3,19,9
3,13,11
3,17,12
3,15,14
3,25,18
3,35,21
3,24,22
3,27,23
3,32,26
3,31,28
3,37,29
3,33,30
3,39,34
3,36,38
4,0,1
4,2,3
4,4,7
4,5,8
4,6,10
4,9,13
4,11,30
4,12,18
4,14,21
4,16,15
4,17,25
4,19,23
4,20,24
4,22,27
4,26,38
4,28,32
4,29,36
4,31,34
4,33,39
4,35,37
5,8,0
5,1,4
5,13,2
5,3,5
5,7,6
5,15,9
5,10,12
5,38,11
5,25,14
5,18,16
5,24,17
5,27,19
5,21,20
5,23,22
5,35,26
5,30,28
5,39,29
5,36,31
5,34,32
5,37,33
6,0,5
6,7,1
6,2,4
6,19,3
6,13,6
6,14,8
6,16,9
6,22,10
6,39,11
6,20,12
6,18,15
6,23,17
6,21,24
6,25,27
6,26,28
6,29,30
6,31,38
6,32,33
6,37,34
6,36,35
7,6,0
7,1,23
7,8,2
7,3,16
7,4,13
7,5,7
7,9,14
7,10,18
7,34,11
7,12,19
7,15,20
7,17,22
7,27,21
7,24,25
7,30,26
7,28,29
7,33,31
7,38,32
7,35,39
7,36,37
8,0,23
8,1,9
8,10,2
8,4,3
8,13,5
8,8,6
8,7,15
8,11,12
8,14,18
8,16,17
8,19,24
8,20,27
8,26,21
8,22,33
8,25,28
8,34,29
8,30,36
8,37,31
8,39,32
8,38,35
9,9,0
9,11,1
9,2,22
9,3,8
9,5,4
9,6,14
9,12,7
9,15,10
9,18,13
9,21,16
9,17,19
9,23,20
9,24,38
9,29,25
9,33,26
9,27,36
9,28,34
9,35,30
9,31,39
9,32,37
10,0,11
10,1,22
10,2,6
10,3,14
10,8,4
10,5,15
10,10,7
10,9,12
10,16,13
10,26,17
10,24,18
10,20,19
10,28,21
10,34,23
10,31,25
10,37,27
10,38,29
10,30,39
10,36,32
10,33,35
11,7,0
11,14,1
11,11,2
11,17,3
11,4,10
11,12,5
11,6,9
11,13,8
11,15,24
11,20,16
11,18,38
11,19,26
11,21,34
11,22,37
11,23,36
11,32,25
11,27,30
11,39,28
11,29,33
11,35,31
12,0,38
12,1,18
12,9,2
12,10,3
12,4,14
12,5,20
12,11,6
12,7,24
12,8,15
12,12,21
12,13,17
12,16,22
12,19,37
12,23,29
12,25,36
12,31,26
12,27,39
12,28,33
12,34,30
12,35,32
13,39,0
13,32,1
13,2,16
13,3,9
13,15,4
13,18,5
13,6,12
13,17,7
13,21,8
13,36,10
13,14,11
13,20,13
13,22,19
13,30,23
13,24,31
13,26,25
13,33,27
13,37,28
13,29,35
13,38,34
14,37,0
14,19,1
14,12,2
14,13,3
14,4,11
14,5,9
14,6,16
14,14,7
14,18,8
14,33,10
14,15,17
14,20,39
14,21,23
14,22,31
14,24,34
14,25,35
14,26,29
14,27,32
14,28,36
14,38,30
15,36,0
15,1,15
15,2,14
15,3,11
15,12,4
15,10,5
15,39,6
15,7,13
15,8,17
15,9,18
15,16,38
15,19,28
15,34,20
15,29,21
15,32,22
15,23,33
15,35,24
15,30,25
15,37,26
15,31,27
16,0,13
16,10,1
16,15,2
16,12,3
16,16,4
16,5,14
16,38,6
16,7,22
16,9,8
16,11,19
16,17,39
16,18,28
16,35,20
16,21,30
16,23,31
16,24,37
16,33,25
16,26,36
16,27,34
16,32,29
17,14,0
17,1,16
17,2,23
17,3,15
17,4,18
17,29,5
17,36,6
17,19,7
17,8,12
17,17,9
17,13,10
17,31,11
17,20,32
17,21,37
17,22,30
17,24,33
17,34,25
17,39,26
17,35,27
17,28,38
18,0,12
18,1,8
18,2,18
18,39,3
18,4,36
18,5,16
18,6,15
18,34,7
18,32,9
18,10,37
18,33,11
18,28,13
18,14,19
18,17,30
18,26,20
18,31,21
18,22,29
18,23,35
18,24,27
18,25,38
19,10,0
19,12,1
19,33,2
19,38,3
19,21,4
19,5,17
19,18,6
19,7,39
19,8,28
19,9,35
19,36,11
19,13,22
19,27,14
19,19,15
19,16,31
19,29,20
19,32,23
19,30,24
19,37,25
19,26,34
20,0,18
20,13,1
20,34,2
20,35,3
20,4,17
20,26,5
20,6,28
20,16,7
20,8,22
20,11,9
20,10,29
20,12,32
20,14,33
20,15,30
20,25,19
20,31,20
20,36,21
20,37,23
20,39,24
20,27,38
21,15,0
21,1,34
21,2,26
21,3,18
21,4,32
21,5,28
21,6,22
21,11,7
21,29,8
21,9,33
21,14,10
21,27,12
21,25,13
21,35,16
21,17,31
21,30,19
21,20,37
21,38,21
21,39,23
21,36,24
22,0,34
22,1,35
22,2,32
22,3,29
22,4,33
22,5,11
22,19,6
22,7,18
22,26,8
22,9,25
22,10,31
22,28,12
22,24,13
22,14,17
22,15,27
22,37,16
22,20,30
22,39,21
22,22,36
22,23,38
23,0,35
23,38,1
23,17,2
23,3,34
23,30,4
23,19,5
23,6,29
23,7,31
23,32,8
23,21,9
23,16,10
23,11,25
23,33,12
23,13,27
23,26,14
23,23,15
23,18,37
23,20,36
23,22,39
23,24,28
24,0,26
24,37,1
24,2,35
24,36,3
24,34,4
24,30,5
24,17,6
24,7,38
24,8,23
24,9,20
24,10,27
24,16,11
24,12,22
24,13,21
24,29,14
24,28,15
24,31,18
24,19,33
24,32,24
24,25,39
25,27,0
25,36,1
25,2,38
25,37,3
25,4,26
25,5,23
25,6,20
25,25,7
25,8,39
25,9,30
25,24,10
25,11,22
25,16,12
25,35,13
25,28,14
25,29,15
25,17,33
25,18,34
25,31,19
25,21,32
26,24,0
26,1,26
26,2,36
26,28,3
26,4,23
26,5,38
26,6,37
26,7,30
26,8,16
26,9,27
26,25,10
26,11,17
26,12,29
26,39,13
26,14,32
26,15,31
26,20,18
26,35,19
26,21,33
26,22,34
27,30,0
27,17,1
27,20,2
27,3,21
27,4,37
27,32,5
27,6,27
27,7,29
27,33,8
27,31,9
27,26,10
27,18,11
27,12,36
27,38,13
27,14,39
27,15,25
27,16,24
27,34,19
27,22,35
27,23,28
28,0,21
28,1,24
28,31,2
28,3,27
28,19,4
28,33,5
28,32,6
28,26,7
28,38,8
28,34,9
28,10,17
28,11,37
28,23,12
28,13,36
28,30,14
28,15,39
28,29,16
28,18,35
28,25,20
28,22,28
29,0,17
29,1,39
29,30,2
29,3,24
29,29,4
29,34,5
29,33,6
29,27,7
29,37,8
29,36,9
29,23,10
29,11,35
29,25,12
29,13,19
29,31,14
29,21,15
29,32,16
29,18,26
29,28,20
29,38,22
