8,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,122325,NrInfeasibleMatchings,267
Time,Value 
900,174574
870,174574
360,174574
330,174574
300,174574
270,174574
240,174574
210,174574
180,174574
150,174690
120,174690
90,174690
60,175200
30,177050
0,219810
390,174574
420,174574
450,174574
480,174574
510,174574
540,174574
570,174574
600,174574
630,174574
660,174574
690,174574
720,174574
750,174574
780,174574
810,174574
840,174574
Final, 174574,923

Round,H_team,A_team 
0,0,1
0,2,7
0,3,6
0,4,5
0,8,19
0,9,18
0,10,12
0,11,15
0,13,14
0,16,17
0,21,20
0,23,22
0,25,24
0,27,26
0,29,28
0,30,31
0,32,33
0,34,36
0,35,37
0,38,39
1,7,0
1,1,2
1,5,3
1,6,4
1,18,8
1,15,9
1,14,10
1,12,11
1,17,13
1,20,16
1,19,21
1,22,25
1,24,23
1,26,29
1,28,27
1,33,30
1,31,32
1,39,34
1,36,35
1,37,38
2,0,6
2,3,1
2,2,5
2,4,8
2,7,12
2,10,9
2,11,14
2,16,13
2,15,17
2,18,20
2,19,22
2,21,23
2,24,27
2,26,25
2,28,35
2,29,31
2,30,32
2,33,36
2,38,34
2,39,37
3,5,0
3,1,4
3,6,2
3,8,3
3,9,7
3,11,10
3,12,15
3,13,18
3,14,16
3,17,21
3,20,19
3,22,24
3,23,26
3,25,28
3,27,30
3,32,29
3,37,31
3,34,33
3,35,39
3,36,38
4,0,2
4,1,23
4,3,7
4,4,15
4,5,10
4,6,11
4,8,9
4,12,18
4,13,19
4,14,17
4,16,21
4,22,20
4,24,28
4,25,32
4,26,30
4,27,29
4,31,33
4,37,34
4,35,38
4,39,36
5,0,3
5,31,1
5,15,2
5,7,4
5,9,5
5,10,6
5,38,8
5,23,11
5,19,12
5,25,13
5,21,14
5,18,16
5,20,17
5,29,22
5,30,24
5,28,26
5,32,27
5,33,39
5,34,35
5,36,37
6,0,19
6,1,8
6,2,3
6,4,12
6,5,17
6,6,18
6,7,16
6,9,14
6,10,15
6,11,13
6,20,23
6,21,22
6,24,26
6,27,25
6,28,36
6,37,29
6,30,39
6,31,35
6,32,34
6,38,33
7,8,0
7,12,1
7,22,2
7,3,4
7,15,5
7,17,6
7,14,7
7,13,9
7,16,10
7,18,11
7,19,24
7,26,20
7,25,21
7,23,27
7,39,28
7,29,38
7,34,30
7,36,31
7,35,32
7,33,37
8,0,12
8,10,1
8,36,2
8,9,3
8,4,13
8,16,5
8,6,8
8,19,7
8,20,11
8,15,14
8,23,17
8,25,18
8,28,21
8,26,22
8,29,24
8,34,27
8,38,30
8,31,39
8,37,32
8,35,33
9,0,9
9,1,7
9,2,4
9,3,10
9,5,6
9,8,21
9,11,16
9,12,14
9,13,15
9,17,19
9,18,23
9,20,25
9,22,31
9,24,34
9,39,26
9,27,35
9,33,28
9,36,29
9,30,37
9,32,38
10,4,0
10,1,5
10,2,9
10,14,3
10,7,6
10,8,10
10,17,11
10,13,12
10,15,16
10,21,18
10,23,19
10,24,20
10,33,22
10,25,35
10,38,26
10,27,36
10,37,28
10,29,30
10,34,31
10,39,32
11,16,0
11,1,9
11,10,2
11,3,15
11,4,14
11,5,7
11,6,12
11,11,8
11,13,21
11,18,17
11,19,39
11,20,37
11,22,27
11,36,23
11,32,24
11,30,25
11,26,33
11,28,34
11,35,29
11,31,38
12,0,14
12,11,1
12,8,2
12,12,3
12,16,4
12,5,13
12,9,6
12,7,10
12,15,18
12,17,22
12,19,37
12,20,35
12,21,26
12,23,30
12,33,24
12,25,34
12,27,31
12,38,28
12,39,29
12,36,32
13,10,0
13,6,1
13,2,16
13,3,11
13,4,9
13,14,5
13,13,7
13,12,8
13,37,15
13,26,17
13,18,19
13,28,20
13,34,21
13,22,39
13,32,23
13,35,24
13,31,25
13,27,38
13,29,33
13,30,36
14,20,0
14,17,1
14,14,2
14,3,16
14,4,11
14,5,18
14,6,13
14,7,8
14,12,9
14,10,19
14,36,15
14,33,21
14,32,22
14,23,39
14,24,31
14,25,38
14,26,35
14,27,37
14,28,30
14,34,29
15,37,0
15,1,13
15,2,12
15,18,3
15,19,4
15,11,5
15,16,6
15,7,31
15,8,14
15,9,33
15,17,10
15,38,15
15,30,20
15,21,32
15,22,28
15,35,23
15,24,36
15,29,25
15,34,26
15,39,27
16,0,31
16,1,18
16,2,33
16,13,3
16,10,4
16,5,8
16,14,6
16,15,7
16,11,9
16,12,17
16,16,39
16,19,27
16,29,20
16,21,36
16,22,34
16,23,25
16,38,24
16,37,26
16,28,32
16,35,30
17,38,0
17,14,1
17,11,2
17,3,19
17,4,18
17,12,5
17,6,15
17,7,39
17,8,13
17,17,9
17,28,10
17,31,16
17,20,34
17,21,35
17,30,22
17,29,23
17,24,37
17,25,36
17,32,26
17,27,33
18,36,0
18,33,1
18,2,13
18,34,3
18,17,4
18,27,5
18,6,19
18,7,11
18,8,15
18,9,39
18,30,10
18,26,12
18,14,20
18,32,16
18,18,29
18,24,21
18,35,22
18,23,38
18,37,25
18,31,28
19,33,0
19,29,1
19,2,35
19,3,17
19,4,24
19,5,32
19,6,30
19,21,7
19,16,8
19,20,9
19,10,34
19,11,37
19,28,12
19,13,27
19,18,14
19,19,15
19,22,38
19,23,31
19,39,25
19,36,26
20,0,13
20,1,35
20,17,2
20,3,24
20,38,4
20,19,5
20,29,6
20,7,18
20,8,30
20,9,37
20,32,10
20,11,34
20,12,16
20,14,27
20,15,20
20,21,39
20,22,36
20,23,28
20,33,25
20,31,26
21,15,0
21,1,19
21,2,29
21,35,3
21,39,4
21,5,30
21,38,6
21,36,7
21,8,17
21,9,16
21,10,27
21,26,11
21,24,12
21,13,28
21,25,14
21,18,33
21,20,32
21,31,21
21,37,22
21,34,23
22,24,0
22,1,15
22,2,19
22,36,3
22,37,4
22,5,29
22,39,6
22,7,17
22,22,8
22,9,28
22,10,35
22,32,11
22,25,12
22,13,34
22,30,14
22,16,26
22,18,31
22,27,20
22,38,21
22,23,33
23,0,17
23,16,1
23,30,2
23,3,38
23,4,29
23,5,34
23,6,23
23,35,7
23,26,8
23,25,9
23,13,10
23,33,11
23,27,12
23,32,14
23,15,22
23,28,18
23,19,36
23,31,20
23,37,21
23,39,24
24,0,34
24,1,38
24,32,2
24,3,23
24,20,4
24,24,5
24,27,6
24,7,37
24,8,39
24,9,31
24,29,10
24,11,28
24,12,22
24,26,13
24,14,19
24,15,25
24,33,16
24,17,36
24,35,18
24,21,30
25,11,0
25,1,39
25,34,2
25,3,37
25,4,23
25,5,38
25,25,6
25,7,28
25,8,31
25,9,22
25,18,10
25,12,30
25,29,13
25,14,35
25,15,32
25,36,16
25,24,17
25,19,26
25,20,33
25,21,27
26,0,39
26,1,37
26,2,18
26,30,3
26,31,4
26,5,28
26,26,6
26,7,32
26,8,35
26,19,9
26,10,24
26,22,11
26,23,12
26,33,13
26,14,34
26,27,15
26,38,16
26,25,17
26,36,20
26,29,21
27,0,18
27,34,1
27,2,24
27,31,3
27,33,4
27,37,5
27,6,32
27,26,7
27,28,8
27,9,35
27,21,10
27,11,29
27,12,36
27,13,23
27,38,14
27,30,15
27,16,22
27,17,27
27,19,25
27,39,20
28,0,25
28,32,1
28,20,2
28,28,3
28,4,27
28,35,5
28,6,24
28,30,7
28,34,8
28,9,29
28,10,36
28,31,11
28,12,38
28,22,13
28,39,14
28,15,21
28,16,19
28,17,33
28,18,26
28,23,37
29,22,0
29,26,1
29,2,27
29,3,29
29,4,25
29,39,5
29,6,36
29,34,7
29,37,8
29,24,9
29,10,38
29,35,11
29,21,12
29,13,20
29,14,31
29,15,33
29,16,23
29,17,32
29,18,30
29,28,19
