81,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,121158,NrInfeasibleMatchings,9815
Time,Value 
930,181096
900,181096
870,181096
360,181096
330,181096
300,181096
270,181096
240,181096
210,181220
180,183966
150,184430
120,184758
90,187212
60,188252
30,193124
0,225062
390,181096
420,181096
450,181096
480,181096
510,181096
540,181096
570,181096
600,181096
630,181096
660,181096
690,181096
720,181096
750,181096
780,181096
810,181096
840,181096
Final, 181096,938

Round,H_team,A_team 
0,0,7
0,1,6
0,2,3
0,4,5
0,9,8
0,10,15
0,11,12
0,13,14
0,17,16
0,19,18
0,27,20
0,22,21
0,26,23
0,25,24
0,39,28
0,38,29
0,31,30
0,33,32
0,35,34
0,37,36
1,8,0
1,3,1
1,5,2
1,6,4
1,7,9
1,10,11
1,12,13
1,15,14
1,16,19
1,18,17
1,20,38
1,21,33
1,22,26
1,23,25
1,24,27
1,28,30
1,29,31
1,32,35
1,34,37
1,36,39
2,0,2
2,1,7
2,3,8
2,4,9
2,5,6
2,33,10
2,32,11
2,22,12
2,15,13
2,19,14
2,18,16
2,37,17
2,21,20
2,24,23
2,31,25
2,27,26
2,29,28
2,34,30
2,35,36
2,39,38
3,1,0
3,2,4
3,6,3
3,7,5
3,8,33
3,9,22
3,10,39
3,11,15
3,12,27
3,13,19
3,14,18
3,16,21
3,17,29
3,20,24
3,23,35
3,25,32
3,26,34
3,28,31
3,30,36
3,38,37
4,0,5
4,2,1
4,3,9
4,4,10
4,7,6
4,8,11
4,14,12
4,13,18
4,15,16
4,20,17
4,19,21
4,25,22
4,27,23
4,31,24
4,32,26
4,33,28
4,30,29
4,39,34
4,37,35
4,36,38
5,11,0
5,9,1
5,6,2
5,5,3
5,21,4
5,12,7
5,14,8
5,17,10
5,16,13
5,18,15
5,22,19
5,23,20
5,24,30
5,26,25
5,28,27
5,29,37
5,38,31
5,36,32
5,34,33
5,35,39
6,0,3
6,11,1
6,2,7
6,33,4
6,13,5
6,9,6
6,38,8
6,18,10
6,16,12
6,17,14
6,23,15
6,27,19
6,25,20
6,30,21
6,34,22
6,26,24
6,35,28
6,32,29
6,36,31
6,37,39
7,4,0
7,1,16
7,8,2
7,3,11
7,5,9
7,6,14
7,7,18
7,10,13
7,12,23
7,15,17
7,19,25
7,20,26
7,21,27
7,24,22
7,28,38
7,29,35
7,30,37
7,31,34
7,39,32
7,33,36
8,0,9
8,5,1
8,2,11
8,7,3
8,8,4
8,6,10
8,17,12
8,20,13
8,14,16
8,24,15
8,25,18
8,26,19
8,23,21
8,28,22
8,30,27
8,29,36
8,31,37
8,32,34
8,39,33
8,38,35
9,10,0
9,1,8
9,9,2
9,3,39
9,4,7
9,11,5
9,12,6
9,13,17
9,14,29
9,15,26
9,16,25
9,18,30
9,19,20
9,21,24
9,22,23
9,27,32
9,36,28
9,35,31
9,37,33
9,34,38
10,0,6
10,4,1
10,2,14
10,3,13
10,17,5
10,8,7
10,10,9
10,16,11
10,15,12
10,18,20
10,24,19
10,21,26
10,36,22
10,23,30
10,25,35
10,34,27
10,37,28
10,29,33
10,39,31
10,32,38
11,12,0
11,1,10
11,13,2
11,14,3
11,11,4
11,5,8
11,6,20
11,7,15
11,9,16
11,19,17
11,18,23
11,21,29
11,38,22
11,35,24
11,33,25
11,26,37
11,27,36
11,28,34
11,30,39
11,31,32
12,0,15
12,38,1
12,2,16
12,20,3
12,14,4
12,19,5
12,11,6
12,13,7
12,10,8
12,12,9
12,23,17
12,28,18
12,25,21
12,37,22
12,36,24
12,26,39
12,31,27
12,34,29
12,32,30
12,35,33
13,17,0
13,39,1
13,15,2
13,3,10
13,4,19
13,5,23
13,6,13
13,7,11
13,8,12
13,9,14
13,16,20
13,18,34
13,21,36
13,22,31
13,24,28
13,27,25
13,29,26
13,30,35
13,37,32
13,33,38
14,0,39
14,1,17
14,2,23
14,3,4
14,5,15
14,8,6
14,7,21
14,13,9
14,10,20
14,14,11
14,12,18
14,16,22
14,19,31
14,24,38
14,25,29
14,35,26
14,27,37
14,28,32
14,33,30
14,36,34
15,38,0
15,32,1
15,39,2
15,17,3
15,4,12
15,18,5
15,6,16
15,20,7
15,15,8
15,9,21
15,14,10
15,11,13
15,37,19
15,22,35
15,23,28
15,34,24
15,30,25
15,26,36
15,29,27
15,31,33
16,0,18
16,36,1
16,2,10
16,3,15
16,4,39
16,5,14
16,6,21
16,16,7
16,8,17
16,11,9
16,12,29
16,13,35
16,19,34
16,20,28
16,22,27
16,23,31
16,32,24
16,37,25
16,26,33
16,38,30
17,14,0
17,1,12
17,35,2
17,28,3
17,15,4
17,10,5
17,39,6
17,7,19
17,20,8
17,9,18
17,17,11
17,29,13
17,34,16
17,21,31
17,22,32
17,33,23
17,24,37
17,25,36
17,30,26
17,27,38
18,0,35
18,1,19
18,2,32
18,3,18
18,4,17
18,5,31
18,36,6
18,7,10
18,16,8
18,15,9
18,11,38
18,12,20
18,39,13
18,14,21
18,30,22
18,23,37
18,29,24
18,34,25
18,28,26
18,27,33
19,0,16
19,1,14
19,28,2
19,26,3
19,13,4
19,36,5
19,37,6
19,17,7
19,8,35
19,9,27
19,10,12
19,18,11
19,31,15
19,19,29
19,20,30
19,21,34
19,33,22
19,32,23
19,24,39
19,38,25
20,0,27
20,15,1
20,2,12
20,31,3
20,4,16
20,37,5
20,6,35
20,7,14
20,13,8
20,9,19
20,10,34
20,11,20
20,17,30
20,18,29
20,21,32
20,39,22
20,36,23
20,24,33
20,25,28
20,26,38
21,19,0
21,27,1
21,25,2
21,30,3
21,4,36
21,5,34
21,6,32
21,7,37
21,8,18
21,17,9
21,16,10
21,22,11
21,12,33
21,24,13
21,14,26
21,15,28
21,20,31
21,35,21
21,23,38
21,29,39
22,36,0
22,35,1
22,26,2
22,3,38
22,4,18
22,5,33
22,29,6
22,7,25
22,19,8
22,9,20
22,10,22
22,31,11
22,12,24
22,28,13
22,30,14
22,32,15
22,16,23
22,34,17
22,37,21
22,27,39
23,37,0
23,1,20
23,29,2
23,3,16
23,25,4
23,12,5
23,6,18
23,22,7
23,8,28
23,9,35
23,10,27
23,11,24
23,30,13
23,39,14
23,33,15
23,36,17
23,32,19
23,38,21
23,23,34
23,31,26
24,0,28
24,1,37
24,2,36
24,3,12
24,26,4
24,5,16
24,6,23
24,24,7
24,8,27
24,9,30
24,21,10
24,11,35
24,13,25
24,38,14
24,34,15
24,39,17
24,18,31
24,33,19
24,20,32
24,22,29
25,34,0
25,13,1
25,2,18
25,35,3
25,4,37
25,5,27
25,6,30
25,7,23
25,39,8
25,25,9
25,10,36
25,11,26
25,12,32
25,14,31
25,15,22
25,16,24
25,17,33
25,38,19
25,29,20
25,28,21
26,29,0
26,1,26
26,27,2
26,34,3
26,4,23
26,5,30
26,15,6
26,7,36
26,37,8
26,28,9
26,10,32
26,19,11
26,12,31
26,21,13
26,14,22
26,16,33
26,17,24
26,18,38
26,35,20
26,25,39
27,30,0
27,18,1
27,31,2
27,33,3
27,32,4
27,20,5
27,17,6
27,28,7
27,36,8
27,9,26
27,24,10
27,11,37
27,25,12
27,22,13
27,14,34
27,15,19
27,16,38
27,21,39
27,23,29
27,27,35
28,0,25
28,1,28
28,2,17
28,3,37
28,35,4
28,38,5
28,19,6
28,32,7
28,8,29
28,24,9
28,31,10
28,30,11
28,26,12
28,13,34
28,33,14
28,21,15
28,27,16
28,22,18
28,20,36
28,23,39
29,0,21
29,1,25
29,2,37
29,3,29
29,38,4
29,39,5
29,6,28
29,31,7
29,8,24
29,23,9
29,35,10
29,33,11
29,34,12
29,13,36
29,32,14
29,20,15
29,26,16
29,22,17
29,18,27
29,19,30
