97,MiaoAlgo,I_INCR40_30,1,100
NrSuccesfullMatchings,142076,NrInfeasibleMatchings,929
Time,Value 
990,180466
960,180466
930,180466
900,180466
870,180466
360,180466
330,180466
300,180668
270,180668
240,180668
210,180722
180,180722
150,180722
120,180782
90,181452
60,186614
30,187386
0,218218
390,180466
420,180466
450,180466
480,180466
510,180466
540,180466
570,180466
600,180466
630,180466
660,180466
690,180466
720,180466
750,180466
780,180466
810,180466
840,180466
Final, 180466,1013

Round,H_team,A_team 
0,0,39
0,1,16
0,2,7
0,3,4
0,5,6
0,8,9
0,10,12
0,11,13
0,14,15
0,17,36
0,18,27
0,19,26
0,20,25
0,21,24
0,22,23
0,28,32
0,29,30
0,31,33
0,34,38
0,35,37
1,4,0
1,39,1
1,6,2
1,7,3
1,9,5
1,13,8
1,15,10
1,12,11
1,16,14
1,23,17
1,36,18
1,27,19
1,26,20
1,25,21
1,24,22
1,30,28
1,33,29
1,32,31
1,37,34
1,38,35
2,0,3
2,19,1
2,2,4
2,11,5
2,8,6
2,9,7
2,14,10
2,13,12
2,18,15
2,17,16
2,22,20
2,23,21
2,24,29
2,25,26
2,27,30
2,28,31
2,32,36
2,33,34
2,35,39
2,37,38
3,1,0
3,3,2
3,4,18
3,5,25
3,6,9
3,7,19
3,8,12
3,10,11
3,13,14
3,15,17
3,16,24
3,20,23
3,21,22
3,30,26
3,31,27
3,29,28
3,34,32
3,38,33
3,36,35
3,39,37
4,0,22
4,1,2
4,3,25
4,4,9
4,5,19
4,6,16
4,7,8
4,10,13
4,11,15
4,12,14
4,17,21
4,18,20
4,24,23
4,26,28
4,34,27
4,37,29
4,38,30
4,36,31
4,35,32
4,39,33
5,2,0
5,4,1
5,27,3
5,13,5
5,25,6
5,16,7
5,22,8
5,21,9
5,23,10
5,14,11
5,15,12
5,20,17
5,19,18
5,26,24
5,28,39
5,29,34
5,30,36
5,31,38
5,32,37
5,33,35
6,0,14
6,1,10
6,5,2
6,29,3
6,6,4
6,7,13
6,11,8
6,9,12
6,15,16
6,17,19
6,18,21
6,27,20
6,25,22
6,26,23
6,28,24
6,30,31
6,33,32
6,34,35
6,37,36
6,38,39
7,0,6
7,3,1
7,2,11
7,4,7
7,8,5
7,10,9
7,12,34
7,13,15
7,14,17
7,16,18
7,19,25
7,20,29
7,21,33
7,22,26
7,23,28
7,24,27
7,35,30
7,31,37
7,32,38
7,39,36
8,0,7
8,1,6
8,2,12
8,3,11
8,4,5
8,10,8
8,13,9
8,29,14
8,23,15
8,25,16
8,18,17
8,22,19
8,24,20
8,27,21
8,32,26
8,35,28
8,39,30
8,31,34
8,37,33
8,36,38
9,11,0
9,5,1
9,9,2
9,6,3
9,8,4
9,7,10
9,12,25
9,16,13
9,14,18
9,15,22
9,17,24
9,19,23
9,20,35
9,21,31
9,26,27
9,28,37
9,38,29
9,30,32
9,33,36
9,34,39
10,0,18
10,1,7
10,2,8
10,3,9
10,4,11
10,5,12
10,6,23
10,10,17
10,21,13
10,14,22
10,20,15
10,19,16
10,24,25
10,26,38
10,32,27
10,33,28
10,39,29
10,37,30
10,35,31
10,36,34
11,9,0
11,11,1
11,2,10
11,8,3
11,22,4
11,17,5
11,13,6
11,12,7
11,23,14
11,15,19
11,16,20
11,18,24
11,38,21
11,25,37
11,34,26
11,27,35
11,28,36
11,29,32
11,30,33
11,31,39
12,0,8
12,9,1
12,13,2
12,3,10
12,23,4
12,15,5
12,7,6
12,11,17
12,16,12
12,24,14
12,18,22
12,19,20
12,37,21
12,25,31
12,26,35
12,33,27
12,38,28
12,36,29
12,30,34
12,32,39
13,10,0
13,1,36
13,17,2
13,5,3
13,4,13
13,6,15
13,7,11
13,8,16
13,14,9
13,12,37
13,39,18
13,29,19
13,20,33
13,21,30
13,22,32
13,34,23
13,35,24
13,28,25
13,31,26
13,27,38
14,0,5
14,1,13
14,16,2
14,17,3
14,12,4
14,10,6
14,7,15
14,8,14
14,9,11
14,18,32
14,37,19
14,20,39
14,36,21
14,30,22
14,35,23
14,38,24
14,25,34
14,33,26
14,27,28
14,29,31
15,13,0
15,34,1
15,2,36
15,3,14
15,17,4
15,5,7
15,6,12
15,15,8
15,9,16
15,31,10
15,11,18
15,19,30
15,28,20
15,21,35
15,22,38
15,23,37
15,24,33
15,32,25
15,26,29
15,39,27
16,0,33
16,38,1
16,2,14
16,12,3
16,4,16
16,10,5
16,11,6
16,7,18
16,8,17
16,9,15
16,13,30
16,19,31
16,36,20
16,26,21
16,29,22
16,32,23
16,39,24
16,35,25
16,37,27
16,28,34
17,12,0
17,37,1
17,27,2
17,3,13
17,15,4
17,5,16
17,6,33
17,14,7
17,20,8
17,17,9
17,18,10
17,30,11
17,34,19
17,21,39
17,22,28
17,31,23
17,24,32
17,25,38
17,36,26
17,35,29
18,0,15
18,1,12
18,2,18
18,16,3
18,39,4
18,23,5
18,17,6
18,29,7
18,8,21
18,9,32
18,38,10
18,31,11
18,13,20
18,28,14
18,35,19
18,33,22
18,24,34
18,25,30
18,37,26
18,27,36
19,16,0
19,1,8
19,15,2
19,3,18
19,38,4
19,5,36
19,6,21
19,28,7
19,9,20
19,32,10
19,11,35
19,12,17
19,19,13
19,14,37
19,34,22
19,30,23
19,24,31
19,33,25
19,26,39
19,27,29
20,0,38
20,1,15
20,2,26
20,34,3
20,4,35
20,18,5
20,6,14
20,7,37
20,19,8
20,28,9
20,10,16
20,32,11
20,33,12
20,17,13
20,20,31
20,21,29
20,39,22
20,23,27
20,30,24
20,36,25
21,30,0
21,14,1
21,21,2
21,35,3
21,4,37
21,5,38
21,18,6
21,7,17
21,26,8
21,29,9
21,10,19
21,11,20
21,31,12
21,13,32
21,15,28
21,16,34
21,22,27
21,23,33
21,24,36
21,25,39
22,31,0
22,1,26
22,20,2
22,3,38
22,4,10
22,14,5
22,19,6
22,7,39
22,8,32
22,33,9
22,16,11
22,12,36
22,13,28
22,15,27
22,17,30
22,18,25
22,34,21
22,22,35
22,23,29
22,37,24
23,0,26
23,17,1
23,2,39
23,15,3
23,36,4
23,5,30
23,6,20
23,34,7
23,8,37
23,9,18
23,24,10
23,11,19
23,28,12
23,29,13
23,33,14
23,16,35
23,32,21
23,31,22
23,38,23
23,27,25
24,0,37
24,24,1
24,28,2
24,3,26
24,33,4
24,5,20
24,6,30
24,36,7
24,29,8
24,19,9
24,10,34
24,11,27
24,12,35
24,38,13
24,32,14
24,21,15
24,22,16
24,25,17
24,18,31
24,39,23
25,19,0
25,1,33
25,30,2
25,3,37
25,32,4
25,5,34
25,6,38
25,35,7
25,39,8
25,9,27
25,20,10
25,11,22
25,12,24
25,13,31
25,14,25
25,15,29
25,21,16
25,26,17
25,18,28
25,36,23
26,0,27
26,1,22
26,37,2
26,19,3
26,4,31
26,24,5
26,34,6
26,7,38
26,35,8
26,30,9
26,10,33
26,23,11
26,12,39
26,13,18
26,14,36
26,15,26
26,16,32
26,17,28
26,20,21
26,29,25
27,35,0
27,29,1
27,2,38
27,21,3
27,4,14
27,27,5
27,37,6
27,7,32
27,8,24
27,31,9
27,10,39
27,26,11
27,18,12
27,23,13
27,25,15
27,16,33
27,34,17
27,28,19
