20,MiaoAlgo,I_LINE40_10,1,100
NrSuccesfullMatchings,170255,NrInfeasibleMatchings,0
Time,Value 
360,1022
330,1022
300,1022
270,1022
240,1022
210,1022
180,1022
150,1022
120,1026
90,1026
60,1026
30,1038
0,1122
Final, 1022,362

Round,H_team,A_team 
0,9,0
0,8,1
0,5,2
0,4,3
0,7,6
0,10,11
0,16,12
0,14,13
0,17,15
0,23,18
0,22,19
0,21,20
0,24,28
0,25,26
0,27,29
0,31,30
0,32,35
0,33,34
0,36,37
0,39,38
1,0,1
1,3,2
1,5,4
1,9,6
1,8,7
1,12,10
1,11,13
1,15,14
1,17,16
1,26,18
1,19,20
1,22,21
1,24,23
1,27,25
1,32,28
1,31,29
1,33,30
1,35,34
1,38,36
1,39,37
2,6,0
2,3,1
2,4,2
2,7,5
2,8,12
2,9,11
2,10,14
2,13,15
2,16,20
2,18,17
2,19,21
2,22,23
2,24,26
2,29,25
2,30,27
2,31,28
2,33,32
2,38,34
2,37,35
2,36,39
3,0,4
3,1,5
3,2,6
3,3,8
3,7,11
3,10,9
3,13,12
3,14,18
3,15,16
3,17,21
3,19,23
3,20,22
3,25,24
3,27,26
3,28,29
3,30,38
3,32,31
3,36,33
3,34,37
3,39,35
4,2,0
4,1,4
4,5,3
4,6,8
4,10,7
4,12,9
4,11,14
4,16,13
4,21,15
4,20,17
4,18,19
4,24,22
4,23,25
4,26,39
4,28,27
4,29,30
4,31,34
4,32,36
4,37,33
4,38,35
5,5,0
5,1,2
5,6,3
5,11,4
5,9,7
5,8,10
5,12,14
5,17,13
5,22,15
5,16,19
5,18,20
5,21,25
5,26,23
5,27,24
5,28,30
5,29,39
5,33,31
5,34,32
5,35,36
5,37,38
6,3,0
6,7,1
6,2,8
6,4,6
6,9,5
6,10,13
6,12,11
6,16,14
6,20,15
6,17,19
6,22,18
6,24,21
6,27,23
6,25,28
6,26,30
6,29,38
6,31,39
6,32,37
6,33,35
6,36,34
7,0,8
7,6,1
7,2,10
7,3,9
7,4,7
7,11,5
7,15,12
7,13,22
7,14,17
7,18,16
7,19,26
7,20,24
7,23,21
7,25,38
7,34,27
7,28,37
7,35,29
7,30,32
7,36,31
7,39,33
8,0,7
8,1,10
8,2,9
8,13,3
8,4,8
8,5,6
8,11,17
8,20,12
8,14,22
8,15,19
8,23,16
8,18,24
8,21,26
8,30,25
8,35,27
8,28,36
8,34,29
8,37,31
8,39,32
8,38,33
9,0,10
9,1,9
9,7,2
9,14,3
9,13,4
9,8,5
9,6,11
9,12,17
9,15,18
9,21,16
9,19,24
9,23,20
9,25,22
9,26,28
9,37,27
9,29,33
9,30,36
9,35,31
9,38,32
9,34,39
