32,MiaoAlgo,I_LINE40_10,1,100
NrSuccesfullMatchings,105465,NrInfeasibleMatchings,0
Time,Value 
180,1056
150,1056
120,1056
90,1056
60,1056
30,1056
0,1220
Final, 1056,210

Round,H_team,A_team 
0,0,1
0,3,2
0,5,4
0,6,7
0,9,8
0,11,10
0,15,12
0,14,13
0,18,16
0,19,17
0,20,21
0,22,23
0,24,25
0,27,26
0,28,29
0,30,33
0,31,32
0,34,35
0,36,37
0,38,39
1,2,0
1,3,1
1,7,4
1,6,5
1,10,8
1,9,12
1,11,13
1,17,14
1,16,15
1,19,18
1,23,20
1,25,21
1,24,22
1,29,26
1,27,28
1,32,30
1,33,31
1,34,39
1,35,36
1,38,37
2,3,0
2,1,2
2,8,4
2,7,5
2,9,6
2,14,10
2,11,12
2,15,13
2,16,17
2,20,18
2,22,19
2,21,23
2,26,24
2,25,27
2,28,32
2,29,33
2,31,30
2,34,36
2,38,35
2,39,37
3,0,10
3,1,11
3,4,2
3,5,3
3,6,8
3,7,9
3,12,14
3,13,16
3,15,18
3,17,21
3,20,19
3,25,22
3,23,24
3,26,28
3,27,30
3,32,29
3,37,31
3,33,34
3,39,35
3,36,38
4,4,0
4,1,10
4,2,11
4,6,3
4,5,9
4,8,7
4,13,12
4,16,14
4,21,15
4,18,17
4,24,19
4,22,20
4,28,23
4,26,25
4,39,27
4,30,29
4,31,38
4,32,35
4,36,33
4,34,37
5,8,0
5,4,1
5,2,5
5,9,3
5,10,6
5,11,7
5,12,16
5,13,17
5,14,18
5,20,15
5,19,21
5,22,26
5,25,23
5,28,24
5,35,27
5,31,29
5,30,36
5,37,32
5,33,39
5,38,34
6,7,0
6,1,5
6,6,2
6,3,4
6,8,13
6,9,10
6,11,16
6,12,17
6,14,15
6,18,22
6,23,19
6,25,20
6,26,21
6,27,24
6,33,28
6,29,36
6,30,34
6,31,39
6,38,32
6,35,37
7,0,9
7,14,1
7,7,2
7,3,13
7,4,6
7,5,8
7,10,12
7,15,11
7,19,16
7,17,22
7,21,18
7,24,20
7,23,26
7,28,25
7,27,36
7,29,38
7,35,30
7,34,31
7,39,32
7,37,33
8,0,6
8,13,1
8,2,8
8,10,3
8,4,9
8,5,14
8,12,7
8,17,11
8,15,19
8,16,20
8,18,25
8,21,22
8,23,27
8,24,29
8,26,38
8,39,28
8,37,30
8,36,31
8,32,34
8,33,35
9,0,5
9,1,6
9,2,9
9,12,3
9,10,4
9,13,7
9,8,14
9,18,11
9,17,15
9,16,23
9,19,25
9,20,26
9,21,24
9,22,27
9,37,28
9,29,34
9,30,38
9,35,31
9,32,33
9,36,39
