46,MiaoAlgo,I_LINE40_10,1,100
NrSuccesfullMatchings,121826,NrInfeasibleMatchings,0
Time,Value 
210,974
180,974
150,974
120,974
90,974
60,974
30,976
0,1254
Final, 974,240

Round,H_team,A_team 
0,0,3
0,1,2
0,4,5
0,6,10
0,7,8
0,9,11
0,15,12
0,14,13
0,18,16
0,19,17
0,20,27
0,21,22
0,23,24
0,25,26
0,39,28
0,30,29
0,38,31
0,33,32
0,37,34
0,36,35
1,2,0
1,4,1
1,3,5
1,8,6
1,11,7
1,10,9
1,12,13
1,15,14
1,19,16
1,18,17
1,20,23
1,21,27
1,22,26
1,25,24
1,38,28
1,31,29
1,30,32
1,34,33
1,39,35
1,37,36
2,7,0
2,5,1
2,8,2
2,4,3
2,9,6
2,10,13
2,12,11
2,14,18
2,16,15
2,17,21
2,19,20
2,23,22
2,26,24
2,27,25
2,28,31
2,29,39
2,30,36
2,32,34
2,33,38
2,35,37
3,5,0
3,3,1
3,7,2
3,6,4
3,8,9
3,11,10
3,14,12
3,13,18
3,17,15
3,16,21
3,22,19
3,24,20
3,26,23
3,29,25
3,28,27
3,31,30
3,36,32
3,37,33
3,34,35
3,38,39
4,0,4
4,1,6
4,9,2
4,7,3
4,5,8
4,12,10
4,13,11
4,14,21
4,15,18
4,16,17
4,24,19
4,22,20
4,25,23
4,27,26
4,28,30
4,29,32
4,31,34
4,35,33
4,39,36
4,37,38
5,0,6
5,1,7
5,2,4
5,8,3
5,10,5
5,9,12
5,11,16
5,15,13
5,17,14
5,18,19
5,20,25
5,21,23
5,22,24
5,26,28
5,27,29
5,30,34
5,35,31
5,32,37
5,33,39
5,38,36
6,0,1
6,2,6
6,3,9
6,4,7
6,11,5
6,8,12
6,15,10
6,17,13
6,16,14
6,18,20
6,19,25
6,21,24
6,28,22
6,23,27
6,38,26
6,29,33
6,30,37
6,36,31
6,35,32
6,34,39
7,13,0
7,1,9
7,3,2
7,4,8
7,5,7
7,6,12
7,14,10
7,11,15
7,16,23
7,17,20
7,18,25
7,19,21
7,29,22
7,24,27
7,36,26
7,28,35
7,33,30
7,31,37
7,32,39
7,34,38
8,12,0
8,1,8
8,2,11
8,6,3
8,10,4
8,5,9
8,7,15
8,13,16
8,20,14
8,24,17
8,21,18
8,23,19
8,27,22
8,25,28
8,26,35
8,37,29
8,39,30
8,31,33
8,32,38
8,36,34
9,0,8
9,10,1
9,2,5
9,3,11
9,13,4
9,6,7
9,9,15
9,12,16
9,23,14
9,25,17
9,22,18
9,26,19
9,20,21
9,24,28
9,27,30
9,34,29
9,32,31
9,33,36
9,35,38
9,39,37
