55,MiaoAlgo,I_LINE40_10,1,100
NrSuccesfullMatchings,147394,NrInfeasibleMatchings,0
Time,Value 
270,984
240,984
210,984
180,984
150,984
120,984
90,1002
60,1012
30,1054
0,1224
Final, 984,290

Round,H_team,A_team 
0,0,1
0,3,2
0,4,5
0,7,6
0,8,9
0,11,10
0,12,15
0,13,14
0,17,16
0,18,24
0,19,20
0,21,22
0,23,27
0,25,26
0,28,33
0,29,30
0,31,32
0,35,34
0,37,36
0,38,39
1,2,0
1,3,1
1,6,4
1,7,5
1,8,10
1,9,11
1,14,12
1,15,13
1,19,16
1,22,17
1,20,18
1,23,21
1,24,26
1,25,27
1,29,28
1,30,31
1,36,32
1,35,33
1,39,34
1,38,37
2,4,0
2,1,2
2,5,3
2,9,6
2,7,8
2,10,15
2,12,11
2,13,17
2,14,19
2,16,18
2,21,20
2,22,23
2,25,24
2,26,27
2,28,30
2,29,31
2,33,32
2,38,34
2,37,35
2,39,36
3,0,3
3,1,4
3,2,7
3,5,6
3,8,12
3,10,9
3,11,13
3,17,14
3,15,16
3,18,19
3,20,22
3,24,21
3,23,25
3,30,26
3,27,28
3,32,29
3,33,31
3,34,37
3,39,35
3,36,38
4,0,5
4,1,7
4,6,2
4,3,4
4,8,11
4,9,13
4,12,10
4,15,14
4,16,20
4,17,19
4,18,22
4,21,25
4,28,23
4,27,24
4,29,26
4,33,30
4,31,38
4,34,32
4,36,35
4,37,39
5,9,0
5,5,1
5,4,2
5,10,3
5,6,8
5,7,11
5,12,13
5,14,16
5,19,15
5,17,20
5,21,18
5,22,25
5,26,23
5,28,24
5,31,27
5,38,29
5,35,30
5,32,37
5,39,33
5,36,34
6,10,0
6,1,6
6,5,2
6,12,3
6,8,4
6,9,7
6,14,11
6,13,16
6,20,15
6,18,17
6,19,21
6,22,26
6,23,24
6,25,28
6,32,27
6,39,29
6,34,30
6,31,36
6,37,33
6,38,35
7,6,0
7,1,9
7,2,8
7,11,3
7,7,4
7,10,5
7,16,12
7,19,13
7,14,18
7,23,15
7,21,17
7,20,25
7,24,22
7,26,28
7,27,35
7,37,29
7,30,36
7,34,31
7,32,39
7,33,38
8,0,8
8,13,1
8,2,9
8,3,7
8,4,14
8,11,5
8,6,10
8,17,12
8,15,18
8,16,25
8,24,19
8,20,23
8,26,21
8,27,22
8,28,37
8,29,36
8,30,38
8,31,39
8,35,32
8,33,34
9,0,7
9,11,1
9,2,14
9,3,6
9,4,9
9,5,8
9,13,10
9,18,12
9,15,17
9,16,23
9,22,19
9,24,20
9,27,21
9,25,29
9,26,37
9,34,28
9,30,39
9,35,31
9,32,38
9,36,33
