98,MiaoAlgo,I_LINE40_10,1,100
NrSuccesfullMatchings,157472,NrInfeasibleMatchings,0
Time,Value 
300,998
270,998
240,998
210,998
180,998
150,998
120,998
90,1010
60,1036
30,1050
0,1256
Final, 998,315

Round,H_team,A_team 
0,0,5
0,1,2
0,3,4
0,6,8
0,7,9
0,10,11
0,12,13
0,14,17
0,15,16
0,23,18
0,20,19
0,22,21
0,24,37
0,25,30
0,26,27
0,28,29
0,31,33
0,32,36
0,34,35
0,39,38
1,0,9
1,1,5
1,2,4
1,3,6
1,7,8
1,10,17
1,11,13
1,12,16
1,14,15
1,19,18
1,21,20
1,22,27
1,23,24
1,25,26
1,31,28
1,29,30
1,35,32
1,36,33
1,39,34
1,37,38
2,1,0
2,2,3
2,4,6
2,5,7
2,8,9
2,12,10
2,11,17
2,13,16
2,14,23
2,15,19
2,18,21
2,20,22
2,26,24
2,27,25
2,28,30
2,29,31
2,34,32
2,38,33
2,35,37
2,36,39
3,2,0
3,3,1
3,5,4
3,6,7
3,10,8
3,9,11
3,17,12
3,13,15
3,16,14
3,18,20
3,19,21
3,23,22
3,24,25
3,26,28
3,30,27
3,33,29
3,32,31
3,37,34
3,39,35
3,36,38
4,3,0
4,4,1
4,8,2
4,6,5
4,11,7
4,9,10
4,15,12
4,13,14
4,16,20
4,17,18
4,22,19
4,21,24
4,23,26
4,25,28
4,27,29
4,30,37
4,31,36
4,32,39
4,33,34
4,38,35
5,0,6
5,7,1
5,11,2
5,8,3
5,4,9
5,10,5
5,14,12
5,19,13
5,18,15
5,16,21
5,17,20
5,22,24
5,25,23
5,26,29
5,27,37
5,28,32
5,31,30
5,33,39
5,34,38
5,35,36
6,0,7
6,1,6
6,12,2
6,10,3
6,4,8
6,5,9
6,11,14
6,20,13
6,15,17
6,18,16
6,23,19
6,26,21
6,22,25
6,24,27
6,38,28
6,29,37
6,30,32
6,31,39
6,35,33
6,34,36
7,0,4
7,1,10
7,2,6
7,3,7
7,5,8
7,9,12
7,15,11
7,21,13
7,20,14
7,17,16
7,18,22
7,24,19
7,27,23
7,25,29
7,36,26
7,39,28
7,30,35
7,34,31
7,32,38
7,37,33
8,8,0
8,9,1
8,7,2
8,5,3
8,4,10
8,6,12
8,16,11
8,13,18
8,19,14
8,21,15
8,17,22
8,24,20
8,28,23
8,32,25
8,39,26
8,27,34
8,29,35
8,33,30
8,38,31
8,37,36
9,13,0
9,8,1
9,2,5
9,9,3
9,7,4
9,6,10
9,12,11
9,14,18
9,20,15
9,16,22
9,19,17
9,21,23
9,29,24
9,36,25
9,38,26
9,28,27
9,30,34
9,35,31
9,33,32
9,37,39
