31,MiaoAlgo,I_LINE40_20,1,100
NrSuccesfullMatchings,113260,NrInfeasibleMatchings,142
Time,Value 
540,4480
510,4480
480,4480
450,4480
420,4480
390,4480
0,7426
30,4598
60,4532
90,4480
120,4480
150,4480
180,4480
210,4480
240,4480
270,4480
300,4480
330,4480
360,4480
Final, 4480,564

Round,H_team,A_team 
0,0,1
0,39,2
0,4,3
0,34,5
0,33,6
0,32,7
0,31,8
0,28,9
0,27,10
0,12,11
0,26,13
0,25,14
0,24,15
0,23,16
0,22,17
0,21,18
0,20,19
0,30,29
0,37,35
0,38,36
1,2,0
1,1,37
1,3,6
1,4,26
1,5,31
1,7,8
1,9,12
1,10,29
1,11,25
1,13,17
1,14,24
1,15,23
1,16,20
1,18,22
1,19,21
1,27,28
1,30,32
1,33,34
1,35,38
1,36,39
2,3,0
2,1,26
2,2,37
2,4,31
2,5,39
2,6,9
2,7,29
2,8,38
2,10,25
2,11,34
2,12,17
2,13,21
2,14,23
2,15,20
2,16,33
2,18,32
2,19,30
2,22,28
2,24,27
2,36,35
3,0,26
3,1,31
3,2,4
3,3,37
3,5,6
3,7,39
3,9,8
3,10,34
3,11,38
3,12,21
3,13,25
3,14,20
3,15,33
3,16,32
3,17,28
3,18,30
3,19,22
3,23,24
3,35,27
3,29,36
4,39,0
4,34,1
4,6,2
4,8,3
4,9,4
4,37,5
4,38,7
4,31,10
4,33,11
4,32,12
4,29,13
4,26,14
4,21,15
4,36,16
4,20,17
4,25,18
4,28,19
4,24,22
4,27,23
4,35,30
5,38,0
5,5,1
5,3,2
5,4,6
5,37,7
5,8,11
5,10,9
5,35,12
5,23,13
5,15,14
5,39,16
5,21,17
5,24,18
5,27,19
5,22,20
5,26,25
5,30,28
5,31,29
5,34,32
5,36,33
6,0,6
6,3,1
6,9,2
6,4,5
6,14,7
6,12,8
6,11,10
6,13,15
6,17,16
6,18,37
6,19,31
6,20,21
6,23,22
6,24,25
6,26,27
6,28,32
6,29,34
6,30,36
6,33,35
6,38,39
7,0,4
7,1,6
7,2,5
7,7,3
7,8,10
7,15,9
7,21,11
7,22,12
7,16,13
7,17,14
7,18,19
7,23,20
7,32,24
7,25,27
7,29,26
7,36,28
7,31,30
7,39,33
7,34,35
7,37,38
8,5,0
8,4,1
8,7,2
8,13,3
8,6,8
8,14,9
8,12,10
8,22,11
8,15,17
8,16,19
8,20,18
8,21,27
8,25,23
8,38,24
8,30,26
8,28,29
8,31,35
8,33,32
8,36,34
8,37,39
9,9,0
9,2,1
9,3,5
9,8,4
9,6,7
9,10,15
9,11,20
9,13,12
9,14,16
9,17,23
9,18,26
9,19,25
9,22,21
9,24,29
9,27,30
9,28,37
9,31,34
9,32,36
9,33,38
9,35,39
10,0,8
10,1,10
10,16,2
10,9,3
10,4,15
10,7,5
10,6,11
10,23,12
10,18,13
10,21,14
10,19,17
10,24,20
10,27,22
10,29,25
10,26,28
10,30,33
10,39,31
10,35,32
10,34,38
10,37,36
11,0,10
11,1,7
11,2,14
11,15,3
11,11,4
11,5,9
11,13,6
11,8,16
11,20,12
11,17,18
11,23,19
11,21,24
11,31,22
11,28,25
11,33,26
11,36,27
11,29,35
11,37,30
11,38,32
11,34,39
12,7,0
12,1,9
12,2,10
12,17,3
12,12,4
12,8,5
12,16,6
12,15,11
12,14,13
12,18,36
12,19,24
12,20,29
12,21,23
12,25,22
12,38,26
12,27,33
12,28,35
12,39,30
12,32,31
12,37,34
13,0,15
13,11,1
13,2,8
13,3,18
13,7,4
13,5,13
13,10,6
13,9,16
13,12,14
13,17,24
13,19,36
13,20,25
13,35,21
13,22,29
13,23,33
13,26,37
13,27,31
13,34,28
13,30,38
13,39,32
14,0,18
14,1,8
14,11,2
14,3,14
14,4,10
14,5,15
14,6,12
14,13,7
14,23,9
14,24,16
14,25,17
14,26,19
14,28,20
14,36,21
14,35,22
14,38,27
14,29,39
14,34,30
14,31,33
14,32,37
15,16,0
15,17,1
15,12,2
15,10,3
15,13,4
15,5,14
15,6,18
15,7,11
15,8,15
15,19,9
15,30,20
15,21,28
15,22,39
15,35,23
15,24,36
15,25,38
15,26,31
15,34,27
15,32,29
15,33,37
16,17,0
16,18,1
16,15,2
16,3,11
16,16,4
16,12,5
16,14,6
16,7,10
16,8,13
16,9,21
16,19,35
16,33,20
16,22,36
16,30,23
16,24,34
16,25,32
16,39,26
16,37,27
16,28,31
16,29,38
17,0,11
17,14,1
17,2,13
17,3,12
17,17,4
17,10,5
17,6,19
17,9,7
17,8,21
17,16,15
17,18,35
17,20,36
17,22,34
17,23,28
17,37,24
17,30,25
17,32,26
17,27,39
17,29,33
17,31,38
18,0,12
18,1,13
18,2,19
18,20,3
18,4,21
18,11,5
18,6,30
18,15,7
18,14,8
18,9,17
18,10,16
18,38,18
18,32,22
18,36,23
18,39,24
18,25,34
18,26,35
18,27,29
18,28,33
18,31,37
19,13,0
19,1,19
19,20,2
19,21,3
19,4,30
19,5,16
19,6,17
19,12,7
19,26,8
19,11,9
19,10,14
19,25,15
19,39,18
19,33,22
19,34,23
19,35,24
19,32,27
19,38,28
19,29,37
19,36,31
