64,MiaoAlgo,I_LINE40_20,1,100
NrSuccesfullMatchings,116074,NrInfeasibleMatchings,236
Time,Value 
570,4656
540,4656
510,4656
480,4656
450,4656
420,4656
390,4656
0,8048
30,4776
60,4758
90,4656
120,4656
150,4656
180,4656
210,4656
240,4656
270,4656
300,4656
330,4656
360,4656
Final, 4656,596

Round,H_team,A_team 
0,0,1
0,37,2
0,4,3
0,36,5
0,31,6
0,30,7
0,29,8
0,28,9
0,25,10
0,24,11
0,13,12
0,17,14
0,16,15
0,23,18
0,22,19
0,21,20
0,27,26
0,34,32
0,35,33
0,38,39
1,6,0
1,3,1
1,39,2
1,13,4
1,34,5
1,33,7
1,32,8
1,29,9
1,20,10
1,22,11
1,14,12
1,19,15
1,17,16
1,21,18
1,23,24
1,26,25
1,31,27
1,30,28
1,36,35
1,38,37
2,2,0
2,1,4
2,3,39
2,5,38
2,6,37
2,7,9
2,8,36
2,10,35
2,11,21
2,12,33
2,13,32
2,14,29
2,15,34
2,16,24
2,17,22
2,18,26
2,19,25
2,20,23
2,27,30
2,28,31
3,3,0
3,1,2
3,5,4
3,12,6
3,39,7
3,9,8
3,21,10
3,38,11
3,31,13
3,26,14
3,29,15
3,30,16
3,24,17
3,25,18
3,27,19
3,28,20
3,23,22
3,33,32
3,36,34
3,37,35
4,0,5
4,1,8
4,4,2
4,20,3
4,21,6
4,38,7
4,12,9
4,22,10
4,39,11
4,35,13
4,36,14
4,30,15
4,31,16
4,23,17
4,37,18
4,26,19
4,25,24
4,32,27
4,29,28
4,34,33
5,0,8
5,7,1
5,5,2
5,16,3
5,9,4
5,15,6
5,10,12
5,37,11
5,36,13
5,39,14
5,17,20
5,38,18
5,24,19
5,22,21
5,23,25
5,29,26
5,33,27
5,32,28
5,31,30
5,35,34
6,4,0
6,6,1
6,2,38
6,3,5
6,7,12
6,8,39
6,9,37
6,10,34
6,11,17
6,13,28
6,14,21
6,15,35
6,16,29
6,18,22
6,19,23
6,20,24
6,25,27
6,26,31
6,30,32
6,33,36
7,0,7
7,1,5
7,3,2
7,4,12
7,6,8
7,10,9
7,14,11
7,38,13
7,17,15
7,34,16
7,27,18
7,28,19
7,22,20
7,23,21
7,26,24
7,32,25
7,31,29
7,33,30
7,35,39
7,36,37
8,0,38
8,9,1
8,2,6
8,7,3
8,4,10
8,8,5
8,11,15
8,12,22
8,13,16
8,14,23
8,17,35
8,18,28
8,19,31
8,20,26
8,21,27
8,24,30
8,25,33
8,29,32
8,37,34
8,39,36
9,9,0
9,1,38
9,2,10
9,6,3
9,7,4
9,5,22
9,8,14
9,11,30
9,12,17
9,13,23
9,15,28
9,16,35
9,18,31
9,19,33
9,20,25
9,21,24
9,26,37
9,27,29
9,32,36
9,34,39
10,35,0
10,1,10
10,7,2
10,12,3
10,8,4
10,5,6
10,15,9
10,23,11
10,14,13
10,22,16
10,25,17
10,24,18
10,21,19
10,27,20
10,34,26
10,28,33
10,30,29
10,32,31
10,36,38
10,37,39
11,18,0
11,11,1
11,2,12
11,3,8
11,6,4
11,9,5
11,10,7
11,13,24
11,15,14
11,16,23
11,17,21
11,20,19
11,22,25
11,26,30
11,28,27
11,29,34
11,31,36
11,39,32
11,33,37
11,38,35
12,0,12
12,13,1
12,2,16
12,3,24
12,4,23
12,5,11
12,6,9
12,7,26
12,8,15
12,10,17
12,14,22
12,18,19
12,20,29
12,21,25
12,27,34
12,39,28
12,30,36
12,31,37
12,32,35
12,33,38
13,0,16
13,12,1
13,2,23
13,9,3
13,4,24
13,5,7
13,11,6
13,8,26
13,10,14
13,13,17
13,15,22
13,18,20
13,19,29
13,21,34
13,25,37
13,27,36
13,35,28
13,39,30
13,33,31
13,32,38
14,0,13
14,1,16
14,11,2
14,3,18
14,4,26
14,5,12
14,6,10
14,7,8
14,14,9
14,15,20
14,19,17
14,36,21
14,22,39
14,23,32
14,24,27
14,28,25
14,29,33
14,37,30
14,35,31
14,34,38
15,14,0
15,1,18
15,9,2
15,3,13
15,15,4
15,17,5
15,7,6
15,8,10
15,12,11
15,16,19
15,20,32
15,37,21
15,24,22
15,23,27
15,25,35
15,26,28
15,29,36
15,30,34
15,38,31
15,33,39
16,11,0
16,14,1
16,8,2
16,10,3
16,17,4
16,19,5
16,6,18
16,7,13
16,9,16
16,12,15
16,20,33
16,39,21
16,22,32
16,30,23
16,28,24
16,25,38
16,36,26
16,27,35
16,29,37
16,31,34
17,10,0
17,17,1
17,2,20
17,15,3
17,19,4
17,21,5
17,6,14
17,18,7
17,8,11
17,13,9
17,16,12
17,22,27
17,23,33
17,24,36
17,30,25
17,26,38
17,34,28
17,35,29
17,31,39
17,32,37
18,0,20
18,1,15
18,2,17
18,11,3
18,4,22
18,5,14
18,16,6
18,19,7
18,12,8
18,18,9
18,10,13
18,32,21
18,37,23
18,24,31
18,34,25
18,26,33
18,27,39
18,28,36
18,38,29
18,35,30
19,0,15
19,1,20
19,2,13
19,3,17
19,4,14
19,5,10
19,28,6
19,11,7
19,16,8
19,9,22
19,18,12
19,34,19
19,33,21
19,36,23
19,24,32
19,25,31
19,35,26
19,37,27
19,39,29
19,38,30
