68,MiaoAlgo,I_LINE40_20,1,100
NrSuccesfullMatchings,187322,NrInfeasibleMatchings,1530
Time,Value 
960,4424
930,4424
900,4424
870,4424
360,4438
330,4438
300,4438
270,4438
240,4438
210,4448
180,4448
150,4454
120,4458
90,4468
60,4512
30,4536
0,9164
390,4438
420,4438
450,4436
480,4424
510,4424
540,4424
570,4424
600,4424
630,4424
660,4424
690,4424
720,4424
750,4424
780,4424
810,4424
840,4424
Final, 4424,972

Round,H_team,A_team 
0,0,5
0,1,4
0,2,3
0,6,7
0,8,11
0,9,13
0,10,12
0,14,15
0,31,16
0,30,17
0,23,18
0,20,19
0,22,21
0,27,24
0,26,25
0,29,28
0,37,32
0,34,33
0,39,35
0,38,36
1,0,35
1,1,2
1,3,7
1,4,8
1,5,37
1,6,13
1,9,16
1,10,14
1,11,22
1,12,24
1,15,25
1,17,19
1,18,20
1,21,23
1,26,27
1,28,30
1,29,31
1,32,33
1,34,38
1,36,39
2,2,0
2,3,1
2,4,35
2,5,13
2,6,37
2,7,9
2,8,10
2,12,11
2,14,24
2,16,15
2,17,20
2,18,29
2,19,23
2,21,26
2,22,28
2,25,27
2,32,30
2,31,33
2,34,36
2,39,38
3,3,0
3,35,1
3,33,2
3,13,4
3,8,5
3,24,6
3,29,7
3,32,9
3,28,10
3,31,11
3,25,12
3,38,14
3,20,15
3,17,16
3,30,18
3,22,19
3,27,21
3,26,23
3,39,34
3,37,36
4,0,1
4,35,2
4,4,3
4,5,6
4,7,8
4,29,9
4,27,10
4,30,11
4,26,12
4,16,13
4,36,14
4,22,15
4,24,17
4,31,18
4,25,19
4,23,20
4,28,21
4,34,32
4,33,39
4,38,37
5,7,0
5,1,5
5,2,4
5,9,3
5,8,6
5,10,33
5,11,16
5,12,31
5,13,24
5,14,30
5,15,23
5,17,28
5,18,22
5,19,26
5,20,27
5,21,25
5,29,34
5,32,38
5,36,35
5,37,39
6,0,31
6,6,1
6,5,2
6,3,33
6,4,23
6,7,10
6,8,12
6,9,30
6,11,24
6,13,14
6,15,34
6,16,39
6,17,38
6,18,26
6,19,27
6,20,21
6,22,36
6,25,29
6,28,32
6,37,35
7,8,0
7,1,31
7,6,2
7,3,23
7,5,4
7,11,7
7,9,33
7,10,24
7,12,38
7,13,15
7,14,34
7,16,20
7,17,26
7,18,27
7,19,21
7,25,22
7,28,35
7,39,29
7,30,37
7,36,32
8,0,4
8,1,9
8,2,8
8,3,5
8,35,6
8,14,7
8,37,10
8,36,11
8,16,12
8,31,13
8,21,15
8,23,17
8,33,18
8,24,19
8,26,20
8,27,22
8,30,25
8,34,28
8,38,29
8,32,39
9,10,0
9,11,1
9,7,2
9,6,3
9,4,12
9,5,15
9,9,8
9,13,17
9,14,16
9,18,19
9,20,31
9,21,37
9,22,26
9,23,34
9,24,25
9,27,32
9,39,28
9,29,30
9,36,33
9,35,38
10,0,9
10,1,7
10,2,10
10,3,8
10,4,6
10,12,5
10,13,11
10,17,14
10,15,26
10,16,23
10,18,37
10,19,34
10,20,22
10,21,24
10,25,32
10,28,27
10,35,29
10,30,39
10,31,36
10,33,38
11,6,0
11,8,1
11,9,2
11,3,12
11,4,11
11,7,5
11,10,13
11,26,14
11,15,17
11,19,16
11,24,18
11,37,20
11,29,21
11,23,22
11,33,25
11,27,39
11,38,28
11,30,36
11,32,31
11,34,35
12,18,0
12,14,1
12,2,12
12,17,3
12,19,4
12,5,11
12,6,9
12,13,7
12,8,15
12,16,10
12,20,35
12,21,33
12,22,29
12,24,23
12,25,38
12,26,32
12,27,30
12,36,28
12,39,31
12,34,37
13,0,17
13,15,1
13,2,14
13,16,3
13,22,4
13,5,9
13,11,6
13,12,7
13,13,8
13,23,10
13,21,18
13,39,19
13,24,20
13,25,34
13,26,30
13,33,27
13,37,28
13,29,36
13,38,31
13,32,35
14,0,13
14,1,17
14,2,18
14,15,3
14,20,4
14,10,5
14,12,6
14,16,7
14,14,8
14,11,9
14,38,19
14,21,39
14,35,22
14,23,32
14,30,24
14,36,25
14,28,26
14,27,29
14,31,34
14,33,37
15,0,11
15,12,1
15,17,2
15,3,13
15,4,21
15,5,16
15,6,10
15,7,15
15,18,8
15,9,14
15,36,19
15,20,39
15,38,22
15,27,23
15,24,32
15,37,25
15,26,29
15,28,31
15,30,34
15,35,33
16,19,0
16,10,1
16,11,2
16,3,21
16,4,7
16,5,14
16,17,6
16,8,16
16,9,15
16,13,12
16,18,32
16,34,20
16,37,22
16,23,39
16,24,29
16,28,25
16,26,38
16,36,27
16,33,30
16,31,35
17,25,0
17,1,18
17,2,21
17,11,3
17,4,14
17,39,5
17,16,6
17,7,17
17,22,8
17,10,9
17,15,12
17,13,19
17,32,20
17,23,28
17,24,36
17,34,26
17,27,38
17,29,33
17,35,30
17,31,37
18,21,0
18,1,16
18,2,13
18,14,3
18,9,4
18,35,5
18,15,6
18,7,18
18,19,8
18,11,10
18,12,17
18,33,20
18,32,22
18,23,36
18,28,24
18,31,25
18,39,26
18,34,27
18,29,37
18,38,30
19,0,16
19,1,13
19,15,2
19,19,3
19,10,4
19,38,5
19,6,18
19,7,21
19,8,17
19,12,9
19,14,11
19,20,36
19,22,34
19,25,23
19,39,24
19,37,26
19,35,27
19,33,28
19,32,29
19,30,31
