83,MiaoAlgo,I_LINE40_20,1,100
NrSuccesfullMatchings,128666,NrInfeasibleMatchings,268
Time,Value 
660,4524
630,4524
600,4524
570,4524
540,4524
510,4524
480,4524
450,4524
420,4524
390,4524
0,8660
30,4704
60,4584
90,4546
120,4546
150,4524
180,4524
210,4524
240,4524
270,4524
300,4524
330,4524
360,4524
Final, 4524,661

Round,H_team,A_team 
0,0,29
0,1,28
0,2,5
0,3,4
0,6,7
0,8,11
0,9,10
0,12,26
0,13,14
0,15,24
0,16,23
0,17,18
0,19,22
0,20,21
0,25,27
0,30,31
0,32,39
0,33,37
0,34,35
0,36,38
1,26,0
1,34,1
1,3,2
1,6,4
1,7,5
1,10,8
1,14,9
1,12,11
1,15,13
1,31,16
1,23,17
1,27,18
1,21,19
1,22,20
1,25,24
1,30,28
1,35,29
1,33,32
1,37,36
1,39,38
2,2,0
2,1,3
2,4,39
2,5,6
2,7,36
2,8,9
2,10,12
2,11,34
2,13,16
2,14,15
2,17,31
2,18,32
2,19,23
2,20,25
2,21,22
2,24,30
2,26,27
2,28,37
2,29,38
2,33,35
3,1,0
3,2,4
3,3,5
3,6,36
3,7,39
3,8,29
3,9,28
3,10,34
3,11,26
3,12,14
3,13,31
3,15,21
3,16,20
3,17,24
3,18,37
3,19,25
3,22,27
3,23,30
3,32,35
3,38,33
4,0,3
4,4,1
4,6,2
4,5,9
4,8,7
4,11,10
4,15,12
4,29,13
4,31,14
4,25,16
4,22,17
4,21,18
4,24,19
4,23,20
4,28,26
4,30,27
4,34,32
4,39,33
4,36,35
4,37,38
5,0,6
5,1,9
5,2,7
5,39,3
5,4,5
5,12,8
5,21,10
5,18,11
5,33,13
5,35,14
5,19,15
5,27,16
5,36,17
5,24,20
5,23,22
5,31,25
5,30,26
5,29,28
5,38,32
5,37,34
6,7,0
6,5,1
6,16,2
6,3,6
6,9,4
6,14,8
6,19,10
6,17,11
6,13,12
6,18,15
6,20,29
6,21,23
6,24,22
6,25,30
6,26,32
6,27,34
6,28,31
6,33,36
6,35,38
6,37,39
7,0,5
7,1,6
7,29,2
7,3,7
7,10,4
7,26,8
7,34,9
7,23,11
7,32,12
7,28,13
7,39,14
7,22,15
7,19,16
7,20,17
7,36,18
7,30,21
7,27,24
7,38,25
7,33,31
7,35,37
8,9,0
8,2,1
8,3,28
8,7,4
8,8,5
8,6,35
8,10,24
8,11,19
8,12,23
8,13,37
8,14,17
8,15,20
8,16,18
8,21,27
8,22,32
8,25,33
8,26,34
8,29,31
8,30,38
8,39,36
9,4,0
9,1,35
9,2,28
9,9,3
9,10,5
9,6,8
9,7,12
9,11,24
9,13,23
9,14,37
9,15,16
9,17,19
9,18,22
9,20,27
9,21,32
9,25,26
9,29,33
9,36,30
9,31,38
9,34,39
10,0,10
10,27,1
10,2,9
10,14,3
10,4,8
10,5,12
10,23,6
10,31,7
10,20,11
10,17,13
10,26,15
10,22,16
10,19,18
10,24,21
10,35,25
10,38,28
10,39,29
10,37,30
10,32,36
10,34,33
11,0,12
11,29,1
11,8,2
11,10,3
11,19,4
11,5,14
11,28,6
11,33,7
11,9,13
11,22,11
11,27,15
11,24,16
11,21,17
11,20,18
11,26,23
11,39,25
11,35,30
11,31,36
11,32,37
11,38,34
12,8,0
12,1,14
12,2,10
12,3,13
12,18,4
12,5,19
12,29,6
12,34,7
12,12,9
12,21,11
12,28,15
12,16,17
12,32,20
12,35,22
12,23,24
12,37,25
12,36,26
12,38,27
12,30,33
12,39,31
13,14,0
13,7,1
13,2,19
13,8,3
13,12,4
13,13,5
13,6,10
13,11,9
13,15,17
13,16,21
13,18,30
13,33,20
13,37,22
13,23,28
13,24,38
13,25,29
13,26,39
13,27,35
13,31,32
13,36,34
14,15,0
14,1,8
14,14,2
14,11,3
14,4,21
14,5,18
14,6,19
14,9,7
14,13,10
14,16,12
14,17,30
14,36,20
14,38,22
14,23,39
14,24,28
14,25,34
14,33,26
14,27,37
14,32,29
14,35,31
15,0,18
15,1,21
15,13,2
15,15,3
15,4,11
15,5,16
15,9,6
15,10,7
15,8,17
15,19,12
15,22,14
15,20,38
15,25,23
15,26,24
15,27,36
15,28,33
15,29,37
15,30,32
15,34,31
15,39,35
16,0,11
16,1,10
16,21,2
16,3,18
16,4,16
16,5,15
16,14,6
16,7,17
16,8,13
16,19,9
16,20,12
16,22,25
16,23,36
16,35,24
16,26,38
16,33,27
16,28,32
16,34,29
16,30,39
16,31,37
17,13,0
17,12,1
17,2,15
17,3,33
17,14,4
17,11,5
17,17,6
17,7,19
17,16,8
17,18,9
17,10,22
17,20,31
17,25,21
17,38,23
17,37,24
17,35,26
17,32,27
17,28,39
17,29,36
17,34,30
18,0,33
18,16,1
18,12,2
18,3,19
18,4,15
18,5,20
18,6,13
18,11,7
18,18,8
18,9,22
18,10,14
18,17,35
18,38,21
18,37,23
18,24,34
18,32,25
18,31,26
18,27,39
18,36,28
18,30,29
19,0,19
19,15,1
19,11,2
19,12,3
19,4,13
19,17,5
19,6,33
19,7,14
19,38,8
19,9,20
19,16,10
19,18,35
19,39,21
19,22,30
19,32,23
19,24,29
19,36,25
19,37,26
19,31,27
19,28,34
