90,MiaoAlgo,I_LINE40_20,1,100
NrSuccesfullMatchings,147809,NrInfeasibleMatchings,178
Time,Value 
720,4116
690,4116
660,4116
630,4116
600,4116
570,4116
540,4116
510,4116
480,4116
450,4116
420,4116
390,4116
0,6402
30,4300
60,4242
90,4204
120,4126
150,4124
180,4124
210,4122
240,4116
270,4116
300,4116
330,4116
360,4116
Final, 4116,726

Round,H_team,A_team 
0,1,0
0,3,2
0,4,39
0,5,38
0,6,37
0,7,36
0,8,9
0,10,33
0,11,30
0,12,29
0,13,28
0,14,25
0,15,24
0,16,23
0,17,20
0,18,19
0,21,22
0,26,27
0,31,32
0,34,35
1,2,0
1,1,3
1,4,5
1,6,39
1,7,38
1,8,36
1,9,37
1,10,30
1,11,33
1,12,28
1,13,29
1,14,24
1,15,23
1,16,20
1,17,26
1,18,22
1,19,21
1,25,27
1,35,31
1,32,34
2,0,3
2,5,1
2,4,2
2,9,6
2,19,7
2,39,8
2,37,10
2,36,11
2,30,12
2,21,13
2,38,14
2,31,15
2,24,16
2,23,17
2,28,18
2,22,20
2,26,25
2,29,27
2,35,32
2,34,33
3,0,6
3,19,1
3,5,2
3,3,4
3,21,7
3,38,8
3,17,9
3,28,10
3,29,11
3,27,12
3,20,13
3,39,14
3,26,15
3,22,16
3,25,18
3,24,23
3,30,31
3,33,32
3,37,34
3,36,35
4,0,4
4,24,1
4,7,2
4,5,3
4,13,6
4,37,8
4,20,9
4,34,10
4,31,11
4,32,12
4,36,14
4,27,15
4,21,16
4,22,17
4,26,18
4,23,19
4,30,25
4,29,28
4,35,33
4,39,38
5,8,0
5,1,39
5,2,30
5,3,29
5,4,7
5,6,5
5,9,31
5,10,13
5,11,35
5,12,24
5,14,20
5,15,22
5,16,27
5,17,21
5,18,23
5,19,26
5,25,34
5,28,32
5,33,36
5,38,37
6,0,39
6,1,2
6,3,30
6,4,29
6,5,24
6,6,35
6,7,23
6,8,31
6,9,27
6,10,11
6,12,14
6,13,22
6,15,21
6,16,17
6,18,34
6,19,25
6,20,26
6,28,33
6,32,37
6,38,36
7,5,0
7,4,1
7,2,29
7,3,39
7,6,30
7,8,7
7,10,9
7,11,27
7,13,12
7,14,22
7,15,35
7,16,31
7,17,34
7,18,38
7,19,33
7,20,25
7,21,26
7,23,32
7,24,28
7,37,36
8,0,10
8,1,6
8,38,2
8,7,3
8,30,4
8,9,5
8,12,8
8,22,11
8,25,13
8,26,14
8,34,15
8,36,16
8,31,17
8,32,18
8,35,19
8,27,20
8,28,21
8,29,23
8,33,24
8,39,37
9,0,7
9,1,10
9,2,6
9,9,3
9,31,4
9,5,12
9,14,8
9,20,11
9,18,13
9,33,15
9,38,16
9,29,17
9,34,19
9,25,21
9,23,22
9,32,24
9,26,28
9,30,27
9,37,35
9,39,36
10,0,12
10,1,9
10,2,10
10,6,3
10,15,4
10,7,5
10,13,8
10,14,11
10,39,16
10,27,17
10,20,18
10,36,19
10,23,21
10,22,26
10,30,24
10,28,25
10,32,29
10,34,31
10,33,37
10,35,38
11,11,0
11,7,1
11,8,2
11,3,14
11,4,9
11,5,13
11,10,6
11,12,15
11,16,26
11,17,18
11,19,20
11,21,38
11,22,28
11,23,27
11,24,34
11,25,32
11,29,33
11,37,30
11,31,36
11,35,39
12,9,0
12,1,14
12,2,11
12,3,23
12,4,13
12,5,10
12,6,8
12,7,26
12,18,12
12,15,17
12,16,28
12,19,38
12,21,20
12,22,34
12,24,25
12,27,32
12,29,36
12,35,30
12,31,37
12,33,39
13,0,13
13,8,1
13,2,23
13,3,11
13,4,6
13,14,5
13,9,7
13,10,17
13,20,12
13,15,16
13,18,21
13,24,19
13,25,22
13,26,32
13,27,34
13,28,37
13,29,35
13,30,36
13,39,31
13,38,33
14,33,0
14,11,1
14,9,2
14,13,3
14,8,4
14,22,5
14,6,7
14,23,10
14,21,12
14,16,14
14,20,15
14,25,17
14,30,18
14,32,19
14,26,24
14,36,27
14,35,28
14,37,29
14,38,31
14,34,39
15,37,0
15,1,16
15,2,20
15,8,3
15,11,4
15,17,5
15,6,14
15,12,7
15,13,9
15,21,10
15,18,15
15,22,19
15,25,23
15,24,39
15,35,26
15,27,33
15,28,30
15,29,31
15,38,32
15,36,34
16,22,0
16,1,20
16,2,16
16,17,3
16,4,14
16,5,8
16,6,11
16,7,13
16,9,12
16,18,10
16,19,15
16,24,21
16,23,35
16,29,25
16,26,37
16,28,27
16,30,39
16,31,33
16,32,36
16,34,38
17,0,20
17,12,1
17,2,13
17,3,16
17,23,4
17,11,5
17,15,6
17,7,18
17,10,8
17,14,9
17,19,17
17,32,21
17,33,22
17,24,35
17,31,25
17,36,26
17,27,37
17,28,38
17,39,29
17,30,34
18,14,0
18,13,1
18,12,2
18,3,18
18,20,4
18,23,5
18,17,6
18,10,7
18,11,8
18,15,9
18,16,19
18,33,21
18,37,22
18,36,24
18,25,35
18,39,26
18,27,38
18,31,28
18,34,29
18,32,30
19,0,18
19,17,1
19,14,2
19,10,3
19,21,4
19,20,5
19,12,6
19,11,7
19,8,15
19,16,9
19,13,19
19,35,22
19,26,23
19,37,24
19,36,25
19,27,31
19,34,28
19,38,29
19,33,30
19,39,32
