96,MiaoAlgo,I_LINE40_20,1,100
NrSuccesfullMatchings,203924,NrInfeasibleMatchings,157
Time,Value 
990,4006
960,4006
930,4006
900,4006
870,4006
360,4036
330,4038
300,4040
270,4080
240,4116
210,4146
180,4250
150,4696
120,4696
90,4696
60,4722
30,4732
0,7620
390,4036
420,4036
450,4036
480,4012
510,4012
540,4006
570,4006
600,4006
630,4006
660,4006
690,4006
720,4006
750,4006
780,4006
810,4006
840,4006
Final, 4006,1004

Round,H_team,A_team 
0,3,0
0,2,1
0,5,4
0,6,7
0,8,13
0,9,12
0,10,11
0,14,17
0,15,39
0,16,38
0,18,25
0,19,20
0,21,24
0,22,23
0,26,28
0,27,29
0,30,31
0,32,37
0,33,34
0,35,36
1,0,12
1,1,7
1,2,3
1,4,9
1,5,10
1,6,8
1,11,39
1,13,14
1,15,21
1,16,18
1,17,20
1,19,22
1,28,23
1,25,24
1,27,26
1,29,31
1,30,38
1,34,32
1,35,33
1,36,37
2,8,0
2,3,1
2,12,2
2,6,4
2,9,5
2,15,7
2,13,10
2,14,11
2,17,16
2,18,39
2,19,38
2,20,22
2,21,26
2,23,29
2,24,27
2,25,31
2,28,30
2,35,32
2,37,33
2,34,36
3,0,2
3,1,12
3,3,4
3,5,6
3,7,8
3,9,16
3,10,17
3,11,13
3,14,15
3,18,19
3,20,23
3,21,22
3,31,24
3,27,25
3,32,26
3,29,28
3,34,30
3,39,33
3,37,35
3,38,36
4,0,16
4,1,6
4,2,5
4,7,3
4,4,8
4,9,10
4,11,18
4,12,14
4,13,15
4,17,19
4,20,24
4,21,23
4,22,27
4,26,25
4,38,28
4,33,29
4,37,30
4,39,31
4,36,32
4,35,34
5,0,9
5,1,4
5,6,2
5,3,8
5,5,7
5,10,38
5,11,20
5,12,13
5,14,22
5,15,28
5,16,29
5,17,21
5,18,24
5,19,27
5,23,26
5,25,37
5,30,35
5,31,34
5,32,39
5,33,36
6,4,0
6,5,1
6,2,9
6,3,6
6,13,7
6,8,11
6,10,12
6,16,14
6,22,15
6,27,17
6,20,18
6,21,19
6,24,23
6,34,25
6,37,26
6,28,35
6,29,30
6,31,32
6,38,33
6,39,36
7,6,0
7,9,1
7,2,8
7,5,3
7,4,13
7,7,10
7,11,12
7,21,14
7,23,15
7,20,16
7,29,17
7,22,18
7,24,19
7,36,25
7,34,26
7,28,27
7,30,33
7,35,31
7,38,32
7,39,37
8,13,0
8,10,1
8,7,2
8,3,11
8,12,4
8,8,5
8,9,6
8,18,14
8,15,16
8,17,22
8,19,23
8,20,21
8,24,28
8,30,25
8,26,29
8,27,35
8,31,36
8,32,33
8,37,34
8,38,39
9,0,5
9,1,11
9,4,2
9,28,3
9,13,6
9,14,7
9,10,8
9,22,9
9,15,12
9,19,16
9,26,17
9,21,18
9,25,20
9,31,23
9,32,24
9,33,27
9,29,35
9,36,30
9,34,39
9,37,38
10,0,1
10,2,11
10,22,3
10,7,4
10,13,5
10,16,6
10,8,12
10,21,9
10,15,10
10,19,14
10,25,17
10,23,18
10,35,20
10,24,26
10,36,27
10,28,33
10,32,29
10,39,30
10,37,31
10,38,34
11,11,0
11,1,15
11,2,13
11,3,10
11,17,4
11,5,12
11,6,19
11,18,7
11,8,9
11,20,14
11,16,21
11,22,24
11,23,25
11,26,33
11,27,37
11,34,28
11,36,29
11,30,32
11,31,38
11,39,35
12,10,0
12,1,13
12,2,19
12,9,3
12,20,4
12,14,5
12,6,11
12,12,7
12,15,8
12,23,16
12,18,17
12,35,21
12,34,22
12,30,24
12,25,39
12,26,36
12,32,27
12,28,37
12,38,29
12,33,31
13,7,0
13,8,1
13,15,2
13,3,13
13,4,11
13,17,5
13,6,10
13,9,14
13,12,19
13,25,16
13,31,18
13,33,20
13,36,21
13,35,22
13,37,23
13,24,39
13,26,30
13,38,27
13,28,32
13,29,34
14,0,28
14,1,36
14,10,2
14,16,3
14,4,15
14,19,5
14,18,6
14,7,11
14,8,14
14,13,9
14,17,12
14,32,20
14,21,31
14,22,26
14,23,30
14,24,34
14,33,25
14,39,27
14,29,37
14,38,35
15,0,36
15,32,1
15,2,28
15,12,3
15,14,4
15,5,15
15,20,6
15,9,7
15,8,18
15,19,10
15,11,16
15,13,17
15,34,21
15,22,31
15,23,33
15,24,37
15,25,38
15,35,26
15,27,30
15,39,29
16,0,18
16,39,1
16,2,36
16,3,15
16,29,4
16,5,28
16,6,14
16,7,17
16,30,8
16,9,11
16,23,10
16,12,16
16,13,19
16,34,20
16,21,37
16,22,33
16,35,24
16,32,25
16,26,38
16,31,27
17,14,0
17,38,1
17,16,2
17,3,17
17,4,18
17,5,21
17,6,12
17,7,19
17,31,8
17,15,9
17,10,35
17,11,32
17,26,13
17,37,20
17,30,22
17,36,23
17,33,24
17,29,25
17,27,34
17,28,39
18,29,0
18,1,21
18,17,2
18,14,3
18,4,19
18,16,5
18,25,6
18,7,35
18,33,8
18,18,9
18,10,32
18,11,15
18,12,34
18,30,13
18,36,20
18,37,22
18,27,23
18,24,38
18,26,39
18,28,31
19,0,21
19,1,35
19,14,2
19,18,3
19,4,10
19,11,5
19,27,6
19,16,7
19,8,34
19,25,9
19,12,32
19,33,13
19,17,15
19,19,37
19,20,30
19,39,22
19,23,38
19,24,29
19,31,26
19,36,28
