13,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,142532,NrInfeasibleMatchings,1298
Time,Value 
1170,9008
1140,9008
1110,9008
1080,9008
1050,9008
1020,9008
990,9008
960,9008
930,9008
900,9008
870,9008
360,9008
330,9028
300,9028
270,9036
240,9036
210,9060
180,9074
150,9086
120,9088
90,9138
60,9160
30,9214
0,10674
390,9008
420,9008
450,9008
480,9008
510,9008
540,9008
570,9008
600,9008
630,9008
660,9008
690,9008
720,9008
750,9008
780,9008
810,9008
840,9008
Final, 9008,1177

Round,H_team,A_team 
0,0,5
0,1,4
0,2,3
0,6,7
0,21,8
0,14,9
0,13,10
0,12,11
0,16,15
0,20,17
0,19,18
0,27,22
0,26,23
0,25,24
0,30,28
0,31,29
0,33,32
0,34,37
0,35,36
0,38,39
1,4,0
1,3,1
1,5,2
1,8,6
1,7,33
1,9,30
1,10,12
1,11,13
1,14,16
1,15,20
1,17,19
1,18,21
1,22,26
1,23,25
1,24,27
1,28,31
1,29,32
1,34,35
1,36,39
1,37,38
2,0,1
2,2,30
2,3,17
2,4,5
2,6,15
2,7,12
2,8,10
2,9,13
2,11,14
2,16,18
2,19,22
2,20,23
2,21,24
2,26,25
2,29,27
2,28,32
2,33,31
2,34,36
2,35,38
2,37,39
3,17,0
3,1,2
3,5,3
3,18,4
3,13,6
3,14,7
3,12,8
3,10,9
3,15,11
3,25,16
3,24,19
3,22,20
3,23,21
3,31,26
3,27,28
3,30,29
3,32,34
3,38,33
3,39,35
3,36,37
4,0,3
4,6,1
4,2,4
4,7,5
4,8,33
4,9,12
4,10,15
4,11,38
4,13,14
4,16,29
4,17,18
4,19,25
4,20,24
4,21,22
4,23,27
4,26,28
4,30,31
4,32,36
4,34,39
4,37,35
5,22,0
5,1,8
5,12,2
5,3,7
5,4,6
5,5,9
5,14,10
5,18,11
5,15,13
5,17,16
5,31,19
5,27,20
5,25,21
5,28,23
5,29,24
5,36,26
5,39,30
5,35,32
5,33,37
5,38,34
6,0,8
6,1,9
6,10,2
6,6,3
6,7,4
6,5,15
6,11,17
6,12,14
6,16,13
6,20,18
6,21,19
6,22,23
6,26,24
6,25,38
6,27,31
6,28,35
6,29,36
6,30,34
6,37,32
6,39,33
7,2,0
7,14,1
7,3,11
7,4,10
7,8,5
7,9,6
7,13,7
7,15,12
7,23,16
7,17,21
7,18,25
7,19,20
7,24,22
7,33,26
7,36,27
7,38,28
7,34,29
7,35,30
7,31,37
7,32,39
8,0,11
8,13,1
8,6,2
8,3,4
8,10,5
8,17,7
8,9,8
8,18,12
8,14,15
8,16,19
8,21,20
8,22,32
8,24,23
8,25,30
8,27,26
8,39,28
8,29,37
8,31,34
8,35,33
8,36,38
9,7,0
9,1,5
9,2,13
9,8,3
9,4,9
9,12,6
9,11,10
9,19,14
9,15,17
9,20,16
9,18,22
9,30,21
9,23,35
9,37,24
9,28,25
9,26,39
9,34,27
9,38,29
9,32,31
9,33,36
10,0,13
10,1,15
10,7,2
10,3,14
10,4,8
10,5,11
10,6,17
10,9,18
10,10,20
10,16,12
10,23,19
10,31,21
10,22,25
10,36,24
10,30,26
10,35,27
10,37,28
10,39,29
10,32,38
10,33,34
11,14,0
11,20,1
11,2,9
11,15,3
11,13,4
11,17,5
11,11,6
11,8,7
11,18,10
11,19,12
11,21,16
11,28,22
11,34,23
11,24,39
11,25,33
11,26,37
11,38,27
11,29,35
11,32,30
11,36,31
12,0,9
12,1,7
12,2,17
12,3,20
12,11,4
12,5,12
12,6,14
12,8,13
12,16,10
12,19,15
12,18,24
12,26,21
12,38,22
12,36,23
12,39,25
12,27,32
12,28,34
12,29,33
12,30,37
12,31,35
13,0,16
13,10,1
13,15,2
13,9,3
13,4,14
13,6,5
13,7,11
13,17,8
13,12,38
13,13,18
13,34,19
13,20,39
13,21,29
13,35,22
13,23,31
13,24,28
13,25,36
13,32,26
13,37,27
13,33,30
14,0,15
14,11,1
14,33,2
14,3,16
14,12,4
14,5,14
14,10,6
14,7,9
14,19,8
14,13,17
14,36,18
14,30,20
14,21,35
14,22,31
14,37,23
14,24,34
14,32,25
14,38,26
14,27,39
14,28,29
15,6,0
15,1,12
15,2,32
15,39,3
15,4,17
15,16,5
15,7,10
15,8,11
15,15,9
15,35,13
15,14,36
15,18,27
15,26,19
15,20,28
15,34,21
15,29,22
15,23,33
15,24,30
15,25,37
15,31,38
16,0,10
16,17,1
16,8,2
16,35,3
16,15,4
16,5,32
16,21,6
16,18,7
16,9,11
16,12,36
16,34,13
16,14,20
16,26,16
16,28,19
16,22,37
16,29,23
16,33,24
16,27,25
16,30,38
16,31,39
17,38,0
17,1,18
17,2,14
17,3,12
17,20,4
17,5,31
17,6,29
17,19,7
17,16,8
17,9,17
17,10,36
17,11,26
17,37,13
17,32,15
17,21,28
17,39,22
17,23,30
17,24,35
17,25,34
17,27,33
18,35,0
18,16,1
18,2,11
18,10,3
18,22,4
18,13,5
18,18,6
18,25,7
18,8,26
18,9,19
18,12,37
18,14,38
18,34,15
18,17,27
18,29,20
18,39,21
18,32,23
18,31,24
18,33,28
18,36,30
19,37,0
19,1,33
19,19,2
19,3,22
19,4,29
19,5,18
19,6,31
19,7,16
19,15,8
19,27,9
19,30,10
19,20,11
19,13,12
19,14,17
19,38,21
19,23,39
19,24,32
19,35,25
19,26,34
19,28,36
20,0,18
20,1,29
20,39,2
20,13,3
20,19,4
20,5,33
20,26,6
20,7,27
20,25,8
20,31,9
20,35,10
20,11,16
20,12,28
20,24,14
20,15,37
20,17,30
20,20,32
20,36,21
20,22,34
20,38,23
21,12,0
21,30,1
21,2,29
21,3,18
21,4,27
21,23,5
21,33,6
21,7,38
21,8,39
21,9,24
21,10,17
21,31,11
21,28,13
21,25,14
21,15,26
21,16,35
21,32,19
21,34,20
21,21,37
21,36,22
22,0,21
22,39,1
22,2,38
22,3,27
22,4,31
22,5,24
22,37,6
22,32,7
22,14,8
22,9,26
22,23,10
22,34,11
22,12,17
22,30,13
22,18,15
22,16,28
22,36,19
22,35,20
22,22,33
22,29,25
23,0,23
23,38,1
23,2,18
23,3,26
23,24,4
23,5,35
23,6,16
23,30,7
23,29,8
23,25,9
23,10,28
23,33,11
23,27,12
23,31,13
23,22,14
23,15,36
23,17,34
23,39,19
23,37,20
23,21,32
24,0,24
24,1,23
24,20,2
24,19,3
24,4,16
24,5,38
24,6,35
24,7,15
24,8,18
24,39,9
24,37,10
24,11,36
24,32,12
24,13,22
24,14,34
24,28,17
24,21,33
24,25,31
24,26,29
24,27,30
25,33,0
25,1,24
25,2,16
25,3,23
25,4,38
25,19,5
25,32,6
25,20,7
25,28,8
25,36,9
25,34,10
25,11,37
25,12,39
25,13,25
25,18,14
25,15,29
25,31,17
25,21,27
25,22,30
25,35,26
26,34,0
26,22,1
26,2,21
26,3,38
26,26,4
26,5,39
26,36,6
26,24,7
26,31,8
26,9,37
26,33,10
26,23,11
26,12,25
26,20,13
26,14,29
26,15,27
26,16,30
26,32,17
26,18,28
26,35,19
27,30,0
27,19,1
27,22,2
27,33,3
27,28,4
27,29,5
27,38,6
27,26,7
27,8,37
27,9,21
27,10,39
27,11,35
27,12,31
27,13,36
27,14,32
27,24,15
27,27,16
27,17,23
27,18,34
27,25,20
28,0,32
28,1,31
28,23,2
28,37,3
28,4,35
28,27,5
28,6,34
28,7,21
28,8,36
28,16,9
28,10,22
28,11,28
28,24,12
28,13,33
28,39,14
28,38,15
28,17,25
28,29,18
28,19,30
28,26,20
29,20,0
29,1,32
29,27,2
29,29,3
29,4,34
29,28,5
29,6,19
29,7,36
29,8,35
29,9,22
29,10,31
29,11,25
29,23,12
29,21,13
29,37,14
29,39,15
29,16,33
29,17,26
29,30,18
29,38,24
