18,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,207855,NrInfeasibleMatchings,11096
Time,Value 
1590,8660
1560,8660
1530,8660
1500,8660
1470,8660
1440,8660
1410,8660
1380,8660
1350,8660
1320,8660
1290,8660
1260,8660
1230,8660
1200,8660
1170,8660
1140,8660
1110,8660
1080,8660
1050,8660
1020,8660
990,8660
960,8660
930,8660
900,8660
870,8726
360,9042
330,9050
300,9050
270,9050
240,9068
210,9068
180,9068
150,9068
120,9186
90,9286
60,9312
30,9398
0,11082
390,9036
420,9012
450,9012
480,8958
510,8944
540,8836
570,8768
600,8756
630,8756
660,8756
690,8756
720,8756
750,8744
780,8732
810,8726
840,8726
Final, 8660,1600

Round,H_team,A_team 
0,0,1
0,2,35
0,3,34
0,4,11
0,5,9
0,6,7
0,8,10
0,12,17
0,13,16
0,14,15
0,18,23
0,19,22
0,20,21
0,24,25
0,26,27
0,28,31
0,29,30
0,32,33
0,39,36
0,38,37
1,0,3
1,1,2
1,7,4
1,11,5
1,10,6
1,9,8
1,15,12
1,17,13
1,16,14
1,21,18
1,23,19
1,22,20
1,27,24
1,25,26
1,30,28
1,31,29
1,35,32
1,34,33
1,36,38
1,37,39
2,0,11
2,1,5
2,2,6
2,3,4
2,7,8
2,9,10
2,13,12
2,14,19
2,15,18
2,16,17
2,25,20
2,21,22
2,24,23
2,28,26
2,27,29
2,30,32
2,31,33
2,39,34
2,38,35
2,36,37
3,5,0
3,4,1
3,8,2
3,6,3
3,10,7
3,12,9
3,11,13
3,17,14
3,16,15
3,18,22
3,19,21
3,20,27
3,23,25
3,26,24
3,29,28
3,37,30
3,32,31
3,33,39
3,34,38
3,35,36
4,2,0
4,1,3
4,6,4
4,7,5
4,8,16
4,9,14
4,11,10
4,12,22
4,13,15
4,17,21
4,19,18
4,20,23
4,28,24
4,25,27
4,29,26
4,31,30
4,32,38
4,37,33
4,34,36
4,35,39
5,10,0
5,7,1
5,3,2
5,5,4
5,21,6
5,18,8
5,15,9
5,26,11
5,16,12
5,14,13
5,19,17
5,24,20
5,22,25
5,23,27
5,39,28
5,33,29
5,30,34
5,38,31
5,36,32
5,37,35
6,0,21
6,1,11
6,2,5
6,3,16
6,4,10
6,6,8
6,7,15
6,9,13
6,12,19
6,14,18
6,17,20
6,27,22
6,23,26
6,30,24
6,28,25
6,32,29
6,31,35
6,33,36
6,34,37
6,39,38
7,8,0
7,10,1
7,11,2
7,5,3
7,15,4
7,9,6
7,13,7
7,21,12
7,25,14
7,16,18
7,24,17
7,20,19
7,22,23
7,26,30
7,27,28
7,29,39
7,36,31
7,37,32
7,38,33
7,35,34
8,0,6
8,1,13
8,2,7
8,8,3
8,4,9
8,5,10
8,12,11
8,26,14
8,20,15
8,16,19
8,18,17
8,21,23
8,24,22
8,25,38
8,34,27
8,32,28
8,36,29
8,39,30
8,31,37
8,33,35
9,9,0
9,6,1
9,10,2
9,3,7
9,13,4
9,17,5
9,11,8
9,14,12
9,15,21
9,22,16
9,20,18
9,19,39
9,23,31
9,35,24
9,37,25
9,38,26
9,27,32
9,28,36
9,29,34
9,30,33
10,0,4
10,9,1
10,13,2
10,3,20
10,5,8
10,6,16
10,7,17
10,10,14
10,11,21
10,18,12
10,19,15
10,34,22
10,32,23
10,38,24
10,25,35
10,39,26
10,31,27
10,33,28
10,37,29
10,36,30
11,7,0
11,1,20
11,2,9
11,17,3
11,4,18
11,16,5
11,12,6
11,8,13
11,15,10
11,14,11
11,24,19
11,21,25
11,22,37
11,28,23
11,26,36
11,27,33
11,29,38
11,35,30
11,31,34
11,32,39
12,0,20
12,1,12
12,14,2
12,3,18
12,8,4
12,6,5
12,9,7
12,13,10
12,16,11
12,15,17
12,27,19
12,24,21
12,39,22
12,36,23
12,31,25
12,26,33
12,37,28
12,35,29
12,30,38
12,32,34
13,17,0
13,18,1
13,2,15
13,10,3
13,4,14
13,5,13
13,11,6
13,7,16
13,12,8
13,29,9
13,19,37
13,20,39
13,21,36
13,22,31
13,23,30
13,33,24
13,25,32
13,34,26
13,38,27
13,28,35
14,0,15
14,8,1
14,2,4
14,12,3
14,5,19
14,6,13
14,7,31
14,11,9
14,10,16
14,14,21
14,17,39
14,18,37
14,20,36
14,22,30
14,23,33
14,24,34
14,29,25
14,26,32
14,27,35
14,28,38
15,13,0
15,1,14
15,16,2
15,3,11
15,4,12
15,39,5
15,15,6
15,19,7
15,8,17
15,9,18
15,33,10
15,30,20
15,21,29
15,32,22
15,38,23
15,31,24
15,25,36
15,35,26
15,37,27
15,34,28
16,0,14
16,16,1
16,2,12
16,3,9
16,4,17
16,38,5
16,18,6
16,33,7
16,15,8
16,34,10
16,22,11
16,13,19
16,20,32
16,28,21
16,35,23
16,29,24
16,25,30
16,37,26
16,36,27
16,39,31
17,12,0
17,1,30
17,2,25
17,14,3
17,31,4
17,5,15
17,19,6
17,7,38
17,36,8
17,17,9
17,10,28
17,11,35
17,18,13
17,32,16
17,29,20
17,21,33
17,26,22
17,23,34
17,24,37
17,27,39
18,35,0
18,1,15
18,33,2
18,13,3
18,32,4
18,12,5
18,6,30
18,11,7
18,38,8
18,9,28
18,10,26
18,24,14
18,36,16
18,25,17
18,18,27
18,19,31
18,34,20
18,21,37
18,22,29
18,39,23
19,29,0
19,17,1
19,31,2
19,3,39
19,4,19
19,5,18
19,6,33
19,7,34
19,8,26
19,9,25
19,10,12
19,15,11
19,35,13
19,14,36
19,16,24
19,20,38
19,21,32
19,28,22
19,23,37
19,30,27
20,0,39
20,1,34
20,2,18
20,24,3
20,4,16
20,5,33
20,6,14
20,12,7
20,25,8
20,32,9
20,36,10
20,17,11
20,37,13
20,27,15
20,19,38
20,28,20
20,30,21
20,22,35
20,29,23
20,26,31
21,0,34
21,1,39
21,17,2
21,3,19
21,4,35
21,14,5
21,20,6
21,7,30
21,27,8
21,31,9
21,37,10
21,18,11
21,12,28
21,36,13
21,29,15
21,16,23
21,26,21
21,22,38
21,24,32
21,33,25
22,0,19
22,25,1
22,2,30
22,3,35
22,39,4
22,23,5
22,6,17
22,14,7
22,28,8
22,9,16
22,38,10
22,11,27
22,12,37
22,13,26
22,32,15
22,18,29
22,31,20
22,34,21
22,33,22
22,24,36
23,23,0
23,35,1
23,2,24
23,15,3
23,34,4
23,30,5
23,31,6
23,7,18
23,8,14
23,9,27
