19,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,206646,NrInfeasibleMatchings,1873
Time,Value 
1470,8906
1440,8906
1410,8906
1380,8906
1350,8906
1320,8906
1290,8906
1260,8906
1230,8906
1200,8906
1170,8906
1140,8906
1110,8906
1080,8906
1050,8906
1020,8906
990,8906
960,8906
930,8906
900,8906
870,8906
360,8970
330,8970
300,8970
270,8980
240,8988
210,8988
180,8988
150,8988
120,8998
90,9044
60,9126
30,9566
0,11090
390,8932
420,8924
450,8924
480,8924
510,8924
540,8924
570,8920
600,8920
630,8920
660,8920
690,8920
720,8920
750,8912
780,8906
810,8906
840,8906
Final, 8906,1492

Round,H_team,A_team 
0,0,3
0,1,2
0,39,4
0,6,5
0,16,7
0,9,8
0,11,10
0,15,12
0,14,13
0,20,17
0,19,18
0,23,21
0,38,22
0,25,24
0,35,26
0,28,27
0,34,29
0,31,30
0,33,32
0,37,36
1,2,0
1,3,1
1,5,4
1,6,39
1,7,9
1,8,11
1,10,16
1,12,14
1,13,15
1,17,19
1,18,20
1,21,38
1,22,25
1,23,37
1,24,28
1,26,36
1,27,33
1,29,31
1,30,35
1,32,34
2,0,4
2,1,12
2,3,2
2,5,11
2,6,16
2,7,8
2,9,14
2,10,13
2,17,15
2,39,18
2,35,19
2,21,20
2,28,22
2,25,23
2,29,24
2,33,26
2,30,27
2,32,31
2,36,34
2,38,37
3,8,0
3,4,1
3,2,5
3,12,3
3,13,6
3,11,7
3,15,9
3,14,10
3,16,17
3,18,35
3,19,21
3,20,25
3,22,33
3,23,30
3,24,32
3,26,28
3,27,29
3,31,36
3,34,38
3,37,39
4,0,1
4,2,4
4,11,3
4,8,5
4,14,6
4,10,7
4,16,9
4,12,13
4,19,15
4,18,17
4,20,35
4,21,25
4,22,23
4,26,24
4,27,31
4,29,28
4,30,34
4,32,37
4,36,33
4,38,39
5,5,0
5,1,11
5,6,2
5,3,14
5,4,8
5,7,12
5,9,10
5,13,18
5,15,20
5,16,19
