32,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,258438,NrInfeasibleMatchings,11056
Time,Value 
1860,8486
1830,8486
1800,8486
1770,8486
840,8530
810,8530
780,8530
750,8530
720,8530
690,8530
660,8530
630,8530
600,8530
570,8534
540,8534
510,8534
480,8548
450,8548
420,8566
390,8566
0,10222
30,8986
60,8832
90,8636
120,8606
150,8580
180,8578
210,8578
240,8578
270,8566
300,8566
330,8566
360,8566
870,8530
900,8530
930,8530
960,8530
990,8530
1020,8530
1050,8530
1080,8530
1110,8530
1140,8530
1170,8518
1200,8486
1230,8486
1260,8486
1290,8486
1320,8486
1350,8486
1380,8486
1410,8486
1440,8486
1470,8486
1500,8486
1530,8486
1560,8486
1590,8486
1620,8486
1650,8486
1680,8486
1710,8486
1740,8486
Final, 8486,1877

Round,H_team,A_team 
0,0,19
0,1,12
0,2,11
0,3,10
0,4,9
0,5,6
0,7,8
0,13,16
0,14,18
0,15,17
0,21,20
0,23,22
0,31,24
0,28,25
0,27,26
0,30,29
0,32,33
0,34,39
0,35,36
0,37,38
1,5,0
1,22,1
1,12,2
1,6,3
1,8,4
1,9,7
1,11,10
1,19,13
1,20,14
1,16,15
1,18,17
1,26,21
1,24,23
1,25,27
1,39,28
1,38,29
1,37,30
1,33,31
1,36,32
1,35,34
2,0,1
2,2,3
2,11,4
2,9,5
2,8,6
2,10,7
2,12,13
2,15,14
2,16,17
2,19,18
2,24,20
2,21,22
2,27,23
2,25,26
2,29,28
2,38,30
2,31,32
2,35,33
2,36,34
2,39,37
3,3,0
3,1,2
3,4,10
3,5,8
3,6,9
3,7,11
3,14,12
3,13,15
3,18,16
3,17,21
3,20,19
3,22,24
3,23,25
3,26,29
3,28,27
3,30,31
3,32,35
3,33,39
3,34,38
3,37,36
4,0,2
4,3,1
4,5,4
4,7,6
4,8,9
4,10,19
4,11,16
4,12,24
4,13,18
4,14,17
4,15,21
4,20,23
4,22,27
4,25,29
4,26,28
4,32,30
4,37,31
4,33,34
4,35,39
4,38,36
5,0,7
5,1,5
5,2,8
5,4,3
5,6,11
5,9,10
5,16,12
5,17,13
5,21,14
5,19,15
5,18,20
5,28,22
5,23,26
5,24,25
5,27,32
5,29,33
5,30,35
5,36,31
5,34,37
5,39,38
6,6,0
6,4,1
6,2,5
6,19,3
6,12,7
6,11,8
6,17,9
6,16,10
6,14,13
6,20,15
6,21,18
6,25,22
6,23,29
6,24,27
6,26,32
6,28,36
6,34,30
6,31,39
6,38,33
6,37,35
7,8,0
7,1,6
7,9,2
7,3,17
7,7,4
7,5,16
7,10,14
7,13,11
7,15,12
7,18,23
7,39,19
7,22,20
7,27,21
7,29,24
7,36,25
