43,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,106830,NrInfeasibleMatchings,9824
Time,Value 
810,8722
780,8722
750,8722
720,8722
690,8722
660,8722
630,8722
600,8722
570,8722
540,8722
510,8722
480,8722
450,8722
420,8722
390,8722
0,10704
30,8802
60,8756
90,8740
120,8722
150,8722
180,8722
210,8722
240,8722
270,8722
300,8722
330,8722
360,8722
Final, 8722,834

Round,H_team,A_team 
0,0,1
0,2,27
0,3,22
0,4,19
0,5,6
0,7,12
0,8,11
0,9,10
0,13,15
0,14,18
0,16,17
0,20,21
0,23,24
0,25,26
0,28,29
0,32,30
0,35,31
0,34,33
0,37,36
0,38,39
1,22,0
1,1,2
1,10,3
1,6,4
1,19,5
1,14,7
1,21,8
1,11,9
1,15,12
1,17,13
1,18,16
1,24,20
1,27,23
1,31,25
1,29,26
1,30,28
1,33,32
1,35,34
1,36,38
1,39,37
2,0,7
2,3,1
2,2,4
2,5,11
2,6,9
2,8,10
2,12,19
2,13,14
2,15,16
2,17,18
2,26,20
2,24,21
2,23,22
2,33,25
2,28,27
2,29,30
2,32,31
2,39,34
2,36,35
2,38,37
3,4,0
3,1,5
3,7,2
3,21,3
3,10,6
3,9,8
3,19,11
3,14,12
3,16,13
3,18,15
3,20,17
3,22,24
3,25,23
3,26,28
3,27,32
3,31,29
3,30,33
3,37,34
3,35,38
3,39,36
4,0,2
4,6,1
4,9,3
4,5,4
4,8,7
4,10,11
4,13,12
4,15,14
4,16,23
4,19,17
4,18,20
4,21,22
4,25,24
4,30,26
4,29,27
4,38,28
4,31,39
4,34,32
4,36,33
4,37,35
5,3,0
5,1,8
5,2,5
5,4,9
5,7,6
5,12,10
5,11,13
5,22,14
5,17,15
5,26,16
5,24,18
5,20,19
5,23,21
5,27,25
5,28,31
5,39,29
5,35,30
5,32,38
5,33,37
5,34,36
6,0,5
6,1,19
6,2,9
6,3,27
6,4,7
6,6,18
6,8,13
6,10,23
6,11,15
6,12,24
6,14,17
6,16,20
6,21,26
6,25,22
6,28,33
6,37,29
6,30,31
6,36,32
6,34,38
6,39,35
7,9,0
7,7,1
7,19,2
7,5,3
7,27,4
7,17,6
7,15,8
7,13,10
7,18,11
7,23,12
7,26,14
7,24,16
7,22,20
7,35,21
7,28,25
7,29,34
7,30,38
7,31,36
7,32,37
7,33,39
8,0,8
8,1,4
8,2,3
8,7,5
8,15,6
8,9,13
8,10,16
8,14,11
8,17,12
8,19,18
8,23,20
8,38,21
8,27,22
8,26,24
8,29,25
8,37,28
8,30,36
8,31,34
8,32,39
8,35,33
9,6,0
9,12,1
9,8,2
9,3,7
9,4,10
9,5,9
9,11,17
9,13,19
9,16,14
9,20,15
9,18,23
9,21,31
9,22,26
9,24,37
9,25,35
9,34,27
9,28,32
9,36,29
9,39,30
9,38,33
10,0,10
10,1,9
10,2,11
10,3,6
10,4,8
10,12,5
10,15,7
10,13,18
10,14,20
10,16,19
10,17,21
10,22,37
10,23,26
10,32,24
10,25,39
10,35,27
10,36,28
10,29,38
10,30,34
10,31,33
11,11,0
11,10,1
11,6,2
11,8,3
11,20,4
11,5,13
11,7,9
11,16,12
11,19,14
11,21,15
11,24,17
11,18,22
11,28,23
11,34,25
11,39,26
11,27,36
11,33,29
11,37,30
11,38,31
11,32,35
12,12,0
12,1,11
12,2,13
12,3,4
12,5,10
12,8,6
12,17,7
12,9,16
12,21,14
12,15,19
12,30,18
12,20,39
12,22,29
12,33,23
12,24,36
12,25,32
12,26,35
12,27,38
12,28,34
12,31,37
13,13,0
13,14,1
13,10,2
13,11,3
13,4,15
13,5,8
13,6,20
13,7,22
13,12,9
13,16,30
13,32,17
13,37,18
13,19,21
13,23,31
13,38,24
13,36,25
13,34,26
13,33,27
13,39,28
13,29,35
14,0,27
14,1,39
14,2,30
14,15,3
14,13,4
14,16,5
14,6,22
14,7,11
14,12,8
14,18,9
14,10,14
14,34,17
14,19,38
14,20,31
14,29,21
14,32,23
14,24,33
14,37,25
14,36,26
14,35,28
15,14,0
15,13,1
15,2,15
15,3,30
15,4,12
15,5,27
15,11,6
15,39,7
15,8,16
15,9,37
15,31,10
15,35,17
15,18,32
15,25,19
15,28,20
15,21,33
15,22,36
15,34,23
15,24,29
15,38,26
16,0,16
16,15,1
16,14,2
16,3,12
16,4,11
16,5,37
16,6,13
16,31,7
16,8,18
16,9,19
16,28,10
16,17,22
16,30,20
16,21,34
16,36,23
16,24,35
16,25,38
16,26,33
16,27,39
16,29,32
17,0,18
17,1,16
17,2,37
17,39,3
17,38,4
17,35,5
17,6,14
17,7,13
17,17,8
17,33,9
17,10,15
17,12,11
17,19,27
17,20,36
17,32,21
17,22,28
17,23,29
17,34,24
17,25,30
17,26,31
18,0,17
18,20,1
18,2,18
18,38,3
18,39,4
18,33,5
18,6,25
18,10,7
18,8,14
18,15,9
18,11,36
18,12,28
18,13,29
18,16,34
18,19,30
18,37,21
18,22,32
18,23,35
18,31,24
18,27,26
19,15,0
19,18,1
19,12,2
19,32,3
19,4,25
19,29,5
19,16,6
19,7,35
19,19,8
19,9,31
19,17,10
19,11,28
19,23,13
19,14,34
19,20,33
19,36,21
19,38,22
19,24,39
19,26,37
19,30,27
20,0,38
20,1,31
20,2,16
20,3,25
20,4,14
20,5,15
20,6,12
20,27,7
20,39,8
20,17,9
20,36,10
20,21,11
20,13,34
20,29,18
20,28,19
20,35,20
20,22,33
20,37,23
20,24,30
20,26,32
21,30,0
21,1,38
21,2,17
21,18,3
21,4,16
21,34,5
21,19,6
21,29,7
21,8,28
21,9,14
21,37,10
21,11,35
21,12,26
21,33,13
21,36,15
21,20,32
21,25,21
21,31,22
21,39,23
21,27,24
22,0,19
22,1,17
22,21,2
22,3,16
22,18,4
22,32,5
22,30,6
22,33,7
22,26,8
22,23,9
22,10,38
22,11,25
22,12,35
22,37,13
22,14,36
22,34,15
22,20,29
22,22,39
22,28,24
22,31,27
23,31,0
23,23,1
23,26,2
23,3,17
23,35,4
23,38,5
23,6,39
23,7,19
23,32,8
23,24,9
23,10,18
23,16,11
23,25,12
23,13,36
23,14,33
23,15,29
23,20,34
23,28,21
23,30,22
23,27,37
24,28,0
24,26,1
24,25,2
24,3,19
24,37,4
24,5,39
24,6,38
24,7,16
24,29,8
24,9,20
24,10,24
24,11,33
24,12,36
24,13,27
24,14,32
24,15,31
24,17,23
24,18,34
24,21,30
24,35,22
25,39,0
25,1,25
25,2,38
25,37,3
25,4,26
25,17,5
25,36,6
25,7,20
25,8,27
25,9,32
25,33,10
25,11,31
25,34,12
25,24,13
25,29,14
25,22,15
25,16,28
25,21,18
25,19,35
25,30,23
26,0,25
26,1,32
26,39,2
26,36,3
26,17,4
26,21,5
26,6,26
26,24,7
26,22,8
26,27,9
26,34,10
26,11,20
26,37,12
26,35,13
26,30,14
26,15,33
26,16,31
26,28,18
26,29,19
26,23,38
27,0,21
27,1,28
27,36,2
27,3,26
27,22,4
27,5,25
27,23,6
27,18,7
27,8,24
27,9,39
27,35,10
27,27,11
27,38,12
27,32,13
27,31,14
27,15,30
27,16,29
27,33,17
27,34,19
27,20,37
28,20,0
28,27,1
28,33,2
28,3,28
28,4,21
28,5,24
28,31,6
28,7,30
28,8,35
28,9,34
28,10,39
28,26,11
28,12,29
28,13,22
28,14,37
28,23,15
28,25,16
28,38,17
28,18,36
28,19,32
29,0,35
29,33,1
29,2,28
29,13,3
29,4,24
29,5,30
29,32,6
29,7,34
29,8,37
29,9,29
29,10,22
29,11,39
29,18,12
29,14,23
29,26,15
29,38,16
29,17,36
29,19,31
29,25,20
29,21,27
