46,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,147962,NrInfeasibleMatchings,3618
Time,Value 
1050,9246
1020,9246
990,9246
960,9246
930,9246
900,9246
870,9246
360,9248
330,9268
300,9268
270,9268
240,9268
210,9272
180,9272
150,9272
120,9272
90,9324
60,9398
30,9548
0,11128
390,9246
420,9246
450,9246
480,9246
510,9246
540,9246
570,9246
600,9246
630,9246
660,9246
690,9246
720,9246
750,9246
780,9246
810,9246
840,9246
Final, 9246,1079

Round,H_team,A_team 
0,0,17
0,1,16
0,2,11
0,3,5
0,4,8
0,6,7
0,9,10
0,12,13
0,14,15
0,18,20
0,19,29
0,21,25
0,22,23
0,24,26
0,27,28
0,30,37
0,31,36
0,32,35
0,33,34
0,38,39
1,5,0
1,8,1
1,7,2
1,6,3
1,10,4
1,11,9
1,15,12
1,13,14
1,16,17
1,25,18
1,20,19
1,23,21
1,26,22
1,28,24
1,29,27
1,30,31
1,34,32
1,35,33
1,36,38
1,37,39
2,1,0
2,3,2
2,5,4
2,6,8
2,7,9
2,13,10
2,12,11
2,17,14
2,16,15
2,18,19
2,20,23
2,21,22
2,25,24
2,28,26
2,30,27
2,29,31
2,36,32
2,39,33
2,34,35
2,38,37
3,11,0
3,2,1
3,4,3
3,8,5
3,9,6
3,10,7
3,14,12
3,15,13
3,26,16
3,19,17
3,23,18
3,22,20
3,24,21
3,27,25
3,31,28
3,33,29
3,32,30
3,37,34
3,35,38
3,36,39
4,0,16
4,1,10
4,2,4
4,3,28
4,5,24
4,6,26
4,7,11
4,8,13
4,9,15
4,12,20
4,14,21
4,17,18
4,19,23
4,22,25
4,27,31
4,29,30
4,32,38
4,37,33
4,39,34
4,35,36
5,28,0
5,4,1
5,16,2
5,24,3
5,21,5
5,13,6
5,15,7
5,30,8
5,26,9
5,11,10
5,18,12
5,23,14
5,20,17
5,25,19
5,31,22
5,38,27
5,34,29
5,33,32
5,35,39
5,36,37
6,0,4
6,1,3
6,2,5
6,10,6
6,16,7
6,8,11
6,9,13
6,17,12
6,19,14
6,18,15
6,21,20
6,22,24
6,25,23
6,27,26
6,29,28
6,39,30
6,31,32
6,33,38
6,36,34
6,37,35
7,3,0
7,5,1
7,6,2
7,4,9
7,7,8
7,12,10
7,11,16
7,13,17
7,14,18
7,15,22
7,24,19
7,20,25
7,26,21
7,23,37
7,34,27
7,28,33
7,38,29
7,30,36
7,35,31
7,32,39
8,0,2
8,1,9
8,3,8
8,6,4
8,5,7
8,10,18
8,11,13
8,12,28
8,14,26
8,15,34
8,16,19
8,17,24
8,20,30
8,21,33
8,22,37
8,23,35
8,25,32
8,27,36
8,39,29
8,31,38
9,8,0
9,7,1
9,2,12
9,9,3
9,4,11
9,13,5
9,19,6
9,10,14
9,17,15
9,18,16
9,26,20
9,37,21
9,33,22
9,24,23
9,36,25
9,32,27
9,28,39
9,29,35
9,38,30
9,34,31
10,0,7
10,1,11
10,2,8
10,3,17
10,12,4
10,5,10
10,6,15
10,9,18
10,13,19
10,14,16
10,20,24
10,35,21
10,29,22
10,23,27
10,26,25
10,30,28
10,39,31
10,32,37
10,33,36
10,34,38
11,10,0
11,17,1
11,21,2
11,7,3
11,4,14
11,15,5
11,11,6
11,8,9
11,19,12
11,18,13
11,16,20
11,22,34
11,36,23
11,24,30
11,25,38
11,26,39
11,27,35
11,28,32
11,37,29
11,31,33
12,0,39
12,1,33
12,9,2
12,3,12
12,4,7
12,5,11
12,6,17
12,8,19
12,10,15
12,13,29
12,14,20
12,16,21
12,18,34
12,22,30
12,23,31
12,24,32
12,25,35
12,38,26
12,27,37
12,28,36
13,12,0
13,39,1
13,2,10
13,11,3
13,4,13
13,29,5
13,18,6
13,17,7
13,15,8
13,20,9
13,30,14
13,34,16
13,21,19
13,36,22
13,32,23
13,35,24
13,31,25
13,37,26
13,33,27
13,38,28
14,0,13
14,6,1
14,2,17
14,10,3
14,16,4
14,9,5
14,7,12
14,8,20
14,11,15
14,32,14
14,21,18
14,19,33
14,22,27
14,23,30
14,38,24
14,39,25
14,26,35
14,34,28
14,29,36
14,31,37
15,15,0
15,1,19
15,13,2
15,3,16
15,17,4
15,5,6
15,7,32
15,12,8
15,14,9
15,37,10
15,18,11
15,20,38
15,28,21
15,35,22
15,33,23
15,24,31
15,25,29
15,36,26
15,27,39
15,30,34
16,0,19
16,12,1
16,2,39
16,20,3
16,4,15
16,5,18
16,6,32
16,23,7
16,17,8
16,9,31
16,36,10
16,11,14
16,16,13
16,29,21
16,38,22
16,24,27
16,25,37
16,34,26
16,28,35
16,33,30
17,14,0
17,1,18
17,15,2
17,3,37
