79,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,196182,NrInfeasibleMatchings,3418
Time,Value 
1410,9032
1380,9032
1350,9032
1320,9032
1290,9032
1260,9032
1230,9032
1200,9032
1170,9032
1140,9032
1110,9032
1080,9032
1050,9032
1020,9032
990,9032
960,9032
930,9032
900,9032
870,9032
360,9100
330,9104
300,9104
270,9104
240,9104
210,9104
180,9152
150,9152
120,9194
90,9224
60,9274
30,9430
0,11040
390,9072
420,9072
450,9072
480,9072
510,9072
540,9072
570,9072
600,9072
630,9068
660,9068
690,9054
720,9032
750,9032
780,9032
810,9032
840,9032
Final, 9032,1438

Round,H_team,A_team 
0,0,13
0,1,12
0,2,3
0,4,11
0,5,6
0,7,8
0,9,10
0,37,14
0,16,15
0,36,17
0,19,18
0,25,20
0,24,21
0,23,22
0,29,26
0,33,27
0,32,28
0,31,30
0,35,34
0,39,38
1,3,0
1,13,1
1,11,2
1,6,4
1,8,5
1,10,7
1,12,9
1,14,16
1,15,39
1,17,19
1,18,35
1,20,24
1,21,23
1,22,25
1,26,33
1,27,31
1,28,29
1,30,32
1,34,36
1,38,37
2,0,12
2,1,20
2,2,5
2,3,6
2,4,7
2,8,19
2,9,11
2,10,16
2,13,15
2,14,21
2,17,18
2,39,22
2,33,23
2,25,24
2,28,26
2,29,27
2,37,30
2,32,31
2,38,34
2,36,35
3,6,0
3,5,1
3,12,2
3,7,3
3,10,4
3,11,8
3,16,9
3,18,13
3,15,14
3,23,17
3,19,20
3,22,21
3,24,39
3,26,25
3,27,28
3,29,32
3,30,34
3,31,33
3,35,37
3,38,36
4,0,2
4,1,3
4,4,9
4,5,14
4,6,11
4,7,13
4,8,10
4,12,15
4,16,18
4,20,17
4,19,22
4,21,26
4,23,24
4,25,27
4,28,30
4,33,29
4,36,31
4,32,34
4,35,38
4,37,39
5,4,0
5,2,1
5,3,5
5,10,6
5,11,7
5,12,8
5,13,9
5,14,18
5,15,19
5,17,16
5,22,20
5,27,21
5,26,23
5,24,28
5,29,25
5,30,35
5,38,31
5,32,33
5,34,37
5,39,36
6,0,5
6,1,39
6,2,10
6,3,11
6,4,12
6,6,36
6,7,22
6,8,15
6,9,35
6,13,27
6,14,19
6,16,23
6,17,21
6,18,25
6,20,28
6,24,34
6,26,30
6,29,31
6,32,37
6,33,38
7,0,1
7,6,2
7,10,3
7,5,4
7,12,7
7,21,8
7,15,9
7,11,13
7,22,14
7,19,16
7,25,17
7,28,18
7,23,20
7,33,24
7,31,26
7,39,27
7,34,29
7,30,38
7,35,32
7,37,36
8,7,0
8,1,6
8,2,4
8,8,3
8,5,9
8,11,10
8,12,13
8,25,14
8,15,17
8,20,16
8,23,18
8,19,21
8,24,22
8,34,26
8,38,27
8,28,31
8,35,29
8,39,30
8,36,32
8,33,37
9,14,0
9,4,1
9,9,2
9,3,12
9,10,5
9,6,7
9,17,8
9,16,11
9,13,19
9,18,15
9,21,20
9,22,35
9,27,23
9,26,24
9,30,25
9,38,28
9,29,37
9,31,34
9,32,39
9,36,33
10,0,21
10,1,11
10,2,13
10,4,3
10,7,5
10,6,15
10,8,9
10,10,19
10,12,16
10,14,23
10,17,35
10,20,18
10,22,31
10,24,29
10,33,25
10,26,27
10,37,28
10,30,36
10,32,38
10,34,39
