8,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,164739,NrInfeasibleMatchings,1585
Time,Value 
1260,9056
1230,9056
1200,9056
1170,9056
1140,9056
1110,9056
1080,9056
1050,9056
1020,9056
990,9056
960,9056
930,9056
900,9056
870,9056
360,9134
330,9140
300,9140
270,9146
240,9152
210,9152
180,9152
150,9152
120,9158
90,9268
60,9304
30,9514
0,10756
390,9132
420,9116
450,9102
480,9072
510,9056
540,9056
570,9056
600,9056
630,9056
660,9056
690,9056
720,9056
750,9056
780,9056
810,9056
840,9056
Final, 9056,1275

Round,H_team,A_team 
0,0,1
0,2,7
0,3,6
0,4,5
0,8,12
0,9,19
0,10,15
0,11,18
0,13,14
0,16,17
0,21,20
0,23,22
0,25,24
0,27,26
0,29,28
0,30,31
0,32,33
0,34,37
0,35,36
0,38,39
1,7,0
1,1,2
1,5,3
1,6,4
1,18,8
1,15,9
1,12,10
1,14,11
1,17,13
1,19,16
1,20,25
1,22,21
1,24,23
1,26,29
1,28,27
1,33,30
1,31,32
1,36,34
1,39,35
1,37,38
2,0,6
2,3,1
2,2,5
2,4,9
2,7,8
2,10,14
2,11,12
2,16,13
2,15,17
2,18,22
2,19,20
2,21,25
2,26,23
2,24,27
2,28,31
2,29,36
2,30,32
2,33,34
2,38,35
2,39,37
3,5,0
3,1,4
3,6,2
3,8,3
3,12,7
3,9,10
3,13,11
3,14,15
3,20,16
3,17,18
3,27,19
3,23,21
3,22,24
3,25,26
3,32,28
3,31,29
3,37,30
3,35,33
3,34,38
3,36,39
4,0,2
4,1,38
4,3,30
4,4,10
4,5,19
4,6,7
4,8,9
4,11,32
4,12,21
4,13,15
4,14,20
4,16,18
4,17,23
4,22,25
4,24,28
4,26,31
4,27,29
4,39,33
4,35,34
4,37,36
5,38,0
5,30,1
5,9,2
5,19,3
5,25,4
5,7,5
5,20,6
5,10,8
5,21,11
5,15,12
5,18,13
5,17,14
5,23,16
5,28,22
5,29,24
5,36,26
5,31,27
5,32,35
5,33,37
5,34,39
6,0,3
6,1,8
6,2,16
6,4,22
6,5,18
6,6,17
6,7,14
6,9,12
6,10,13
6,11,15
6,21,19
6,20,23
6,24,26
6,27,25
6,28,33
6,30,29
6,31,39
6,32,34
6,37,35
6,38,36
7,19,0
7,12,1
7,3,2
7,16,4
7,15,5
7,8,6
7,13,7
7,14,9
7,18,10
7,17,11
7,22,20
7,26,21
7,23,27
7,36,24
7,25,28
7,29,37
7,34,30
7,35,31
7,39,32
7,33,38
8,0,8
8,6,1
8,4,2
8,9,3
8,10,5
8,15,7
8,31,11
8,16,12
8,19,13
8,23,14
8,25,17
8,20,18
8,28,21
8,26,22
8,37,24
8,34,27
8,29,39
8,35,30
8,38,32
8,36,33
9,11,0
9,1,16
9,2,10
9,3,4
9,5,6
9,7,9
9,8,15
9,12,14
9,13,25
9,17,19
9,18,23
9,20,26
9,21,38
9,22,29
9,24,34
9,27,35
9,39,28
9,30,36
9,33,31
9,32,37
10,0,10
10,9,1
10,2,11
10,14,3
10,8,4
10,13,5
10,12,6
10,17,7
10,15,16
10,21,18
10,23,19
10,24,20
10,37,22
10,25,35
10,33,26
10,27,36
10,38,28
10,29,32
10,39,30
10,34,31
11,4,0
11,1,14
11,13,2
11,3,12
11,5,8
11,6,9
11,10,7
11,11,23
11,18,15
11,16,21
11,20,17
11,19,24
11,22,33
11,36,25
11,26,39
11,32,27
11,28,34
11,35,29
11,30,38
11,31,37
12,0,14
12,5,1
12,8,2
12,7,3
12,12,4
12,15,6
12,9,13
12,11,10
12,16,22
12,17,26
12,19,18
12,20,30
12,21,37
12,23,28
12,24,35
12,25,34
12,39,27
12,33,29
12,38,31
12,36,32
13,30,0
13,1,17
13,2,12
13,3,15
13,4,7
13,14,5
13,6,11
13,13,8
13,18,9
13,10,16
13,26,19
13,28,20
13,35,21
13,22,39
13,34,23
13,32,24
13,37,25
13,27,33
13,29,38
13,31,36
14,0,17
14,10,1
14,23,2
14,3,11
14,4,15
14,5,9
14,6,16
14,20,7
14,14,8
14,12,13
14,33,18
14,31,19
14,36,21
14,32,22
14,24,39
14,25,38
14,26,30
14,27,37
14,28,35
14,34,29
15,9,0
15,1,20
15,2,14
15,16,3
15,11,4
15,5,12
15,13,6
15,7,32
15,8,33
15,17,10
15,15,23
15,18,31
15,19,36
15,39,21
15,22,34
15,38,24
15,29,25
15,35,26
15,30,27
15,37,28
16,0,12
16,1,7
16,2,20
16,18,3
16,13,4
16,5,32
16,10,6
16,34,8
16,9,11
16,16,14
16,15,31
16,35,17
16,19,39
16,21,29
16,22,36
16,23,25
16,33,24
16,37,26
16,38,27
16,28,30
17,39,0
17,11,1
17,32,2
17,3,10
17,4,38
17,30,5
17,6,37
17,7,18
17,8,16
17,17,9
17,12,19
17,20,13
17,14,35
17,24,15
17,31,21
17,27,22
17,29,23
17,25,33
17,26,34
17,36,28
18,37,0
18,15,1
18,2,38
18,17,3
18,4,14
18,33,5
18,18,6
18,7,16
18,8,39
18,9,29
18,10,28
18,11,19
18,12,20
18,27,13
18,34,21
