87,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,142696,NrInfeasibleMatchings,4473
Time,Value 
1020,8806
990,8806
960,8806
930,8806
900,8806
870,8806
360,8806
330,8824
300,8824
270,8824
240,8824
210,8842
180,8842
150,8876
120,8944
90,9018
60,9072
30,9438
0,10704
390,8806
420,8806
450,8806
480,8806
510,8806
540,8806
570,8806
600,8806
630,8806
660,8806
690,8806
720,8806
750,8806
780,8806
810,8806
840,8806
Final, 8806,1042

Round,H_team,A_team 
0,0,15
0,1,14
0,2,5
0,3,4
0,6,7
0,8,12
0,9,10
0,11,13
0,16,17
0,21,18
0,20,19
0,23,22
0,37,24
0,26,25
0,36,27
0,29,28
0,35,30
0,32,31
0,34,33
0,39,38
1,7,0
1,15,1
1,4,2
1,14,3
1,19,5
1,17,6
1,10,8
1,13,9
1,12,11
1,18,16
1,20,21
1,22,26
1,24,23
1,25,32
1,27,29
1,28,39
1,30,34
1,31,36
1,33,35
1,38,37
2,0,4
2,2,1
2,3,15
2,5,9
2,6,16
2,7,12
2,8,21
2,10,11
2,13,20
2,14,17
2,18,19
2,24,22
2,25,23
2,26,27
2,38,28
2,36,29
2,31,30
2,33,32
2,35,34
2,39,37
3,1,0
3,15,2
3,20,3
3,4,5
3,9,6
3,16,7
3,11,8
3,12,10
3,17,13
3,19,14
3,22,18
3,21,24
3,23,26
3,27,25
3,28,31
3,29,39
3,30,33
3,32,35
3,34,38
3,37,36
4,0,24
4,1,21
4,2,7
4,3,5
4,4,15
4,6,11
4,8,13
4,9,12
4,10,17
4,14,16
4,18,25
4,19,22
4,20,23
4,26,29
4,27,28
4,30,32
4,33,31
4,37,34
4,35,38
4,39,36
5,21,0
5,5,1
5,11,2
5,24,3
5,7,4
5,12,6
5,17,8
5,16,9
5,13,10
5,15,14
5,23,18
5,25,19
5,22,20
5,28,26
5,31,27
5,29,30
5,32,37
5,38,33
5,34,39
5,36,35
6,0,11
6,3,1
6,2,9
6,4,8
6,5,7
6,10,6
6,12,26
6,13,14
6,15,24
6,16,27
6,17,18
6,19,23
6,20,25
6,21,22
6,28,34
6,29,31
6,30,37
6,38,32
6,36,33
6,35,39
7,14,0
7,1,4
7,6,2
7,7,3
7,11,5
7,9,8
7,24,10
7,21,12
7,25,13
7,18,15
7,23,16
7,22,17
7,26,19
7,37,20
7,27,34
7,33,28
7,35,29
7,39,30
7,31,38
7,32,36
8,0,2
8,1,12
8,6,3
8,4,11
8,5,13
8,7,9
8,8,14
8,10,18
8,15,23
8,16,21
8,17,19
8,20,26
8,22,27
8,25,24
8,28,36
8,32,29
8,30,38
8,34,31
8,39,33
8,37,35
9,9,0
9,24,1
9,3,2
9,26,4
9,12,5
9,13,6
9,11,7
9,18,8
9,14,10
9,21,15
9,19,16
9,23,17
